Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
AON PLC;003221;AON;31/12/2017;2017;INDL;C;D;STD;USD;26088,00;183,00;2155,00;2497,00;2497,00;1226,00;9998,00;A
COMCAST CORP;003226;CMCSA;31/12/2017;2017;INDL;C;D;STD;USD;186949,00;9968,00;17795,00;28062,00;28062,00;22714,00;84526,00;A
COMERICA INC;003231;CMA;31/12/2017;2017;FS;C;D;STD;USD;71567,00;;;;;;;A
COMERICA INC;003231;CMA;31/12/2017;2017;INDL;C;D;STD;USD;71567,00;69,00;1866,50;1987,50;3094,00;743,00;3289,00;A
CITIGROUP INC;003243;C;31/12/2017;2017;FS;C;D;STD;USD;1842465,00;;;;;;;A
CITIGROUP INC;003243;C;31/12/2017;2017;INDL;C;D;STD;USD;1842465,00;3361,00;32433,00;36092,00;36092,00;-6798,00;87367,00;A
CONAGRA BRANDS INC;003362;CAG;31/05/2017;2016;INDL;C;D;STD;USD;10096,30;242,10;1234,50;1502,50;2627,80;639,30;7826,90;A
CONSOLIDATED EDISON INC;003413;ED;31/12/2017;2017;INDL;C;D;STD;USD;48111,00;3028,00;2609,00;3950,00;3950,00;1525,00;12033,00;A
CMS ENERGY CORP;003439;CMS;31/12/2017;2017;INDL;C;D;STD;USD;23050,00;1665,00;1338,00;2219,00;2219,00;460,00;6583,00;A
MOLSON COORS BEVERAGE CO;003505;TAP;31/12/2017;2017;INDL;C;D;STD;USD;30246,90;599,60;1834,50;2626,80;5366,50;1414,20;11002,80;A
CORNING INC;003532;GLW;31/12/2017;2017;INDL;C;D;STD;USD;27494,00;1804,00;1689,00;2847,00;5147,00;-497,00;10116,00;A
CUMMINS INC;003650;CMI;31/12/2017;2017;INDL;C;D;STD;USD;18075,00;506,00;1936,00;2515,00;5657,00;999,00;20428,00;A
