Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
005234;16432;GT;38255010;31/12/2017;31/12/2017;28/02/2018;0,61;0,13;0,07;0,14;0,72;2,65
005597;16600;HSY;42786610;31/12/2017;31/12/2017;28/02/2018;0,04;0,32;0,88;0,41;0,83;5,05
142460;16689;BTU;70455110;31/12/2017;31/12/2017;28/02/2018;0,73;0,13;0,29;0,27;0,55;1,25
030098;16692;GDI;36555P10;31/12/2017;31/12/2017;28/02/2018;0,26;0,07;0,01;0,05;0,68;2,13
004060;16851;DWDP;26078J10;31/12/2017;31/12/2017;28/02/2018;0,64;0,08;0,02;0,08;0,47;0,90
007241;17005;CVS;12665010;31/12/2017;31/12/2017;28/02/2018;0,55;0,13;0,16;0,16;0,60;1,52
032530;17034;ALTR;02136910;31/12/2017;31/12/2017;28/02/2018;0,04;-0,09;;-0,63;0,78;3,57
007163;17478;SPGI;78409V10;31/12/2017;31/12/2017;28/02/2018;0,02;0,32;2,03;0,65;0,78;10,28
006435;17750;KMB;49436810;31/12/2017;31/12/2017;28/02/2018;0,02;0,27;;0,43;0,94;22,59
010983;17830;UTX;91301710;31/12/2017;31/12/2017;28/02/2018;0,31;0,10;0,15;0,14;0,67;2,21
009850;18411;SO;84258710;31/12/2017;31/12/2017;28/02/2018;0,69;0,08;0,02;0,08;0,77;3,48
002817;18542;CAT;14912310;31/12/2017;31/12/2017;28/02/2018;0,15;0,12;0,06;0,13;0,82;4,61
003170;18729;CL;19416210;31/12/2017;31/12/2017;28/02/2018;;0,35;;0,61;0,98;-207,22
004510;19166;FMC;30249130;31/12/2017;31/12/2017;28/02/2018;0,22;0,08;-0,03;0,10;0,71;2,42
002403;19393;BMY;11012210;31/12/2017;31/12/2017;28/02/2018;0,12;0,15;0,07;0,20;0,65;1,85
002285;19561;BA;09702310;31/12/2017;31/12/2017;28/02/2018;0,01;0,13;3,77;0,91;1,00;258,93
006682;20415;LUK;52728810;31/12/2017;31/12/2017;28/02/2018;1,07;0,05;0,02;0,06;0,77;3,57
001078;20482;ABT;00282410;31/12/2017;31/12/2017;28/02/2018;0,33;0,11;0,01;0,08;0,59;1,46
006774;21178;LMT;53983010;31/12/2017;31/12/2017;28/02/2018;;0,15;;0,39;1,01;-69,00
007881;21207;NEM;65163910;31/12/2017;31/12/2017;28/02/2018;0,56;0,13;-0,01;0,09;0,43;0,84
006104;21573;IP;46014610;31/12/2017;31/12/2017;28/02/2018;0,37;0,11;0,26;0,10;0,81;4,20
008539;21776;EXC;30161N10;31/12/2017;31/12/2017;28/02/2018;1,08;0,07;0,09;0,06;0,72;2,83
005742;21792;CNP;15189T10;31/12/2017;31/12/2017;28/02/2018;0,64;0,09;0,22;0,08;0,79;3,85
008530;21936;PFE;71708110;31/12/2017;31/12/2017;28/02/2018;0,35;0,12;0,26;0,14;0,58;1,40
006266;22111;JNJ;47816010;31/12/2017;31/12/2017;28/02/2018;0,18;0,17;0,02;0,21;0,62;1,61
003532;22293;GLW;21935010;31/12/2017;31/12/2017;28/02/2018;0,50;0,10;-0,03;0,09;0,43;0,75
008247;22509;PPG;69350610;31/12/2017;31/12/2017;28/02/2018;0,20;0,16;0,24;0,22;0,66;1,96
008455;22517;PPL;69351T10;31/12/2017;31/12/2017;28/02/2018;0,62;0,10;0,08;0,10;0,74;2,85
007435;22592;MMM;88579Y10;31/12/2017;31/12/2017;28/02/2018;0,08;0,25;0,44;0,31;0,69;2,28
007257;22752;MRK;58933Y10;31/12/2017;31/12/2017;28/02/2018;0,24;0,14;0,06;0,13;0,61;1,55
007585;22779;MSI;62007630;31/12/2017;31/12/2017;28/02/2018;;0,20;;0,43;1,21;-5,70
008099;23026;FE;33793210;31/12/2017;31/12/2017;28/02/2018;0,39;0,10;-0,23;0,10;0,91;9,77
009445;23085;SCG;80589M10;31/12/2017;31/12/2017;28/02/2018;1,15;0,08;-0,02;0,09;0,72;2,57
003439;23229;CMS;12589610;31/12/2017;31/12/2017;28/02/2018;0,44;0,10;0,07;0,09;0,81;4,15
014824;23473;CINF;17206210;31/12/2017;31/12/2017;28/02/2018;0,73;0,04;0,12;0,09;0,62;1,65
011550;23536;WEC;92939U10;31/12/2017;31/12/2017;28/02/2018;0,59;0,08;0,09;0,09;0,70;2,33
010519;23579;TXT;88320310;31/12/2017;31/12/2017;28/02/2018;0,39;0,10;0,05;0,11;0,63;1,72
008810;23712;PEG;74457310;31/12/2017;31/12/2017;28/02/2018;0,73;0,08;0,08;0,09;0,68;2,08
005439;23819;HAL;40621610;31/12/2017;31/12/2017;28/02/2018;0,20;0,14;-0,05;0,10;0,67;2,01
135484;23887;FTR;35906A30;31/12/2017;31/12/2017;28/02/2018;6,44;0,13;-0,35;0,07;0,91;9,94
007977;23931;XEL;98389B10;31/12/2017;31/12/2017;28/02/2018;0,63;0,09;0,07;0,08;0,73;2,76
007366;24010;ETR;29364G10;31/12/2017;31/12/2017;28/02/2018;0,86;0,08;0,03;0,07;0,82;4,70
001440;24109;AEP;02553710;31/12/2017;31/12/2017;28/02/2018;0,70;0,08;0,07;0,08;0,72;2,54
004517;24205;NEE;65339F10;31/12/2017;31/12/2017;28/02/2018;0,46;0,10;0,15;0,11;0,70;2,42
004430;24328;EQT;26884L10;31/12/2017;31/12/2017;28/02/2018;1,00;0,10;0,13;0,08;0,38;0,83
008606;24459;PBI;72447910;31/12/2017;31/12/2017;28/02/2018;0,20;0,10;;0,13;0,97;34,42
028192;24643;ARNC;03965L10;31/12/2017;31/12/2017;28/02/2018;0,38;0,10;-0,01;0,10;0,74;2,81
007985;24766;NOC;66680710;31/12/2017;31/12/2017;28/02/2018;0,13;0,12;0,33;0,19;0,80;3,95
008972;24942;RTN;75511150;31/12/2017;31/12/2017;28/02/2018;0,18;0,13;0,20;0,22;0,66;2,05
010860;24985;AEE;02360810;31/12/2017;31/12/2017;28/02/2018;0,68;0,09;0,05;0,10;0,72;2,54
003231;25081;CMA;20034010;31/12/2017;31/12/2017;28/02/2018;0,53;0,03;0,09;0,15;0,89;7,99
008151;25232;OKE;68268010;31/12/2017;31/12/2017;28/02/2018;0,27;0,11;0,10;0,12;0,66;2,02
011465;25419;WHR;96332010;31/12/2017;31/12/2017;28/02/2018;0,36;0,11;0,08;0,16;0,74;3,55
004839;25785;F;34537086;31/12/2017;31/12/2017;28/02/2018;0,72;0,07;0,23;0,04;0,86;6,39
004058;25953;DOV;26000310;31/12/2017;31/12/2017;28/02/2018;0,31;0,13;0,17;0,13;0,59;1,43
003424;26607;BH;08986R10;31/12/2017;31/12/2017;28/02/2018;1,33;0,02;0,07;0,00;0,46;0,86
006781;26710;L;54042410;31/12/2017;31/12/2017;28/02/2018;1,20;0,04;0,06;0,07;0,69;2,87
006375;26825;K;48783610;31/12/2017;31/12/2017;28/02/2018;0,11;0,17;0,51;0,22;0,86;6,38
003107;27422;CLF;18589910;31/12/2017;31/12/2017;28/02/2018;;0,20;;0,30;1,15;-7,65
009299;27633;R;78354910;31/12/2017;31/12/2017;28/02/2018;0,91;0,16;0,20;0,06;0,75;3,04
002086;27887;BAX;07181310;31/12/2017;31/12/2017;28/02/2018;0,27;0,14;0,08;0,13;0,47;0,88
004093;27959;DUK;26441C20;31/12/2017;31/12/2017;28/02/2018;0,83;0,07;0,06;0,07;0,70;2,30
011636;27983;XRX;98412160;31/12/2017;31/12/2017;28/02/2018;0,72;0,09;0,04;0,10;0,65;1,92
001075;27991;PNW;72348410;31/12/2017;31/12/2017;28/02/2018;0,73;0,09;0,07;0,10;0,70;2,37
007620;28345;MUR;62671710;31/12/2017;31/12/2017;28/02/2018;0,89;0,13;-0,06;0,03;0,53;1,13
001380;28484;HES;42809H10;31/12/2017;31/12/2017;28/02/2018;0,73;-0,08;-0,31;-0,27;0,47;0,93
003158;30648;COHU;19257610;31/12/2017;31/12/2017;28/02/2018;0,47;0,12;0,12;0,14;0,31;0,45
004066;30681;OMC;68191910;31/12/2017;31/12/2017;28/02/2018;0,18;0,10;0,38;0,28;0,87;8,26
004108;30940;FLS;34354P10;31/12/2017;31/12/2017;28/02/2018;0,33;0,09;0,00;0,09;0,66;1,96
007085;34032;MAS;57459910;31/12/2017;31/12/2017;28/02/2018;;0,24;;0,41;0,97;-88,53
004640;34746;FITB;31677310;31/12/2017;31/12/2017;28/02/2018;0,74;0,02;0,14;0,09;0,88;7,69
008030;34817;NUE;67034610;31/12/2017;31/12/2017;28/02/2018;0,45;0,17;0,15;0,15;0,43;0,77
008068;34833;OXY;67459910;31/12/2017;31/12/2017;28/02/2018;0,38;0,11;0,06;0,02;0,51;1,04
004674;35044;RF;7591EP10;31/12/2017;31/12/2017;28/02/2018;0,78;0,02;0,08;0,12;0,87;6,68
004699;35554;MTB;55261F10;31/12/2017;31/12/2017;28/02/2018;0,59;0,03;0,09;0,14;0,86;6,30
004737;36397;FHN;32051710;31/12/2017;31/12/2017;28/02/2018;0,64;0,02;0,05;0,10;0,89;8,60
009667;36468;SHW;82434810;31/12/2017;31/12/2017;28/02/2018;0,13;0,19;0,51;0,23;0,82;4,41
010466;37284;ANDV;03349M10;31/12/2017;31/12/2017;28/02/2018;0,65;0,10;0,17;0,12;0,53;1,54
011506;38156;WMB;96945710;31/12/2017;31/12/2017;28/02/2018;0,51;0,08;0,20;0,06;0,65;3,13
004040;38682;RRD;25786720;31/12/2017;31/12/2017;28/02/2018;;0,12;;0,14;1,05;-18,88
008007;38703;WFC;94974610;31/12/2017;31/12/2017;28/02/2018;0,64;0,02;0,12;0,09;0,89;8,36
007974;38762;NI;65473P10;31/12/2017;31/12/2017;28/02/2018;0,65;0,08;0,02;0,07;0,78;3,62
001678;39490;APA;03741110;31/12/2017;31/12/2017;28/02/2018;0,49;0,15;0,16;0,04;0,60;1,77
007116;39538;MAT;57708110;31/12/2017;31/12/2017;28/02/2018;0,25;0,02;-0,56;-0,04;0,80;3,96
006078;40272;IFF;45950610;31/12/2017;31/12/2017;28/02/2018;0,14;0,18;0,17;0,21;0,63;1,73
001920;40416;AVP;05430310;31/12/2017;31/12/2017;28/02/2018;;0,13;;0,32;1,07;-13,60
003650;41080;CMI;23102110;31/12/2017;31/12/2017;28/02/2018;0,26;0,15;0,14;0,22;0,55;1,37
004145;42200;PKI;71404610;31/12/2017;31/12/2017;28/02/2018;0,35;0,09;0,06;0,09;0,59;1,43
005786;42906;HBAN;44615010;31/12/2017;31/12/2017;28/02/2018;0,63;0,02;0,12;0,08;0,90;8,63
010405;43123;ATI;01741R10;31/12/2017;31/12/2017;28/02/2018;0,58;0,07;-0,06;0,06;0,64;1,92
010016;43350;SWK;85450210;31/12/2017;31/12/2017;28/02/2018;0,31;0,13;0,16;0,16;0,56;1,30
007154;43449;MCD;58013510;31/12/2017;31/12/2017;28/02/2018;;0,30;;0,34;1,10;-11,34
011060;43553;VFC;91820410;31/12/2017;31/12/2017;28/02/2018;0,13;0,19;0,16;0,22;0,63;1,68
002154;43772;BMS;08143710;31/12/2017;31/12/2017;28/02/2018;0,31;0,14;0,07;0,13;0,68;2,08
007970;44206;ES;30040W10;31/12/2017;31/12/2017;28/02/2018;0,72;0,08;0,06;0,08;0,69;2,22
001913;44601;AVY;05361110;31/12/2017;31/12/2017;28/02/2018;0,11;0,18;0,28;0,28;0,80;3,91
007065;45751;MMC;57174810;31/12/2017;31/12/2017;28/02/2018;0,19;0,18;0,21;0,24;0,64;1,76
005125;46674;GPC;37246010;31/12/2017;31/12/2017;28/02/2018;0,26;0,12;0,18;0,20;0,72;2,62
002968;47896;JPM;46625H10;31/12/2017;31/12/2017;28/02/2018;0,64;0,02;0,11;0,07;0,90;8,91
004988;47941;TGNA;87901J10;31/12/2017;31/12/2017;28/02/2018;0,46;0,09;0,20;0,11;0,80;3,99
139665;48506;MCO;61536910;31/12/2017;31/12/2017;28/02/2018;;0,29;;0,50;1,01;-26,58
027914;48653;HUM;44485910;31/12/2017;31/12/2017;28/02/2018;0,29;0,15;0,24;0,24;0,64;1,76
010867;48725;UNP;90781810;31/12/2017;31/12/2017;28/02/2018;0,34;0,18;0,30;0,21;0,57;1,33
006742;49015;LNC;53418710;31/12/2017;31/12/2017;28/02/2018;1,16;0,01;0,11;0,10;0,94;15,27
002019;49656;BK;06405810;31/12/2017;31/12/2017;28/02/2018;0,75;0,02;0,10;0,09;0,89;8,00
003735;49680;DHR;23585110;31/12/2017;31/12/2017;28/02/2018;0,41;0,10;0,10;0,09;0,43;0,77
006788;50017;RRC;75281A10;31/12/2017;31/12/2017;28/02/2018;1,53;0,10;0,05;0,03;0,51;1,03
006730;50876;LLY;53245710;31/12/2017;31/12/2017;28/02/2018;0,13;0,15;-0,02;0,20;0,74;2,87
010453;51369;TER;88077010;31/12/2017;31/12/2017;28/02/2018;0,24;0,22;0,14;0,24;0,37;0,59
002312;52230;RHI;77032310;31/12/2017;31/12/2017;28/02/2018;0,16;0,32;0,27;0,47;0,41;0,69
007750;52337;THC;88033G40;31/12/2017;31/12/2017;28/02/2018;;0,09;;0,09;0,90;-142,72
004423;52476;EFX;29442910;31/12/2017;31/12/2017;28/02/2018;0,25;0,18;0,18;0,17;0,55;1,26
005256;52695;GWW;38480210;31/12/2017;31/12/2017;28/02/2018;0,13;0,25;0,32;0,29;0,69;2,35
005518;52978;HAS;41805610;31/12/2017;31/12/2017;28/02/2018;0,16;0,19;0,21;0,22;0,65;1,89
006136;53065;IPG;46069010;31/12/2017;31/12/2017;28/02/2018;0,31;0,09;0,25;0,27;0,80;4,64
011300;53225;GHC;38463710;31/12/2017;31/12/2017;28/02/2018;1,07;0,07;0,10;0,07;0,41;0,69
008823;54148;PHM;74586710;31/12/2017;31/12/2017;28/02/2018;0,44;0,10;0,10;0,12;0,57;1,33
005878;56573;ITW;45230810;31/12/2017;31/12/2017;28/02/2018;0,08;0,24;0,37;0,27;0,73;2,66
001988;57568;BLL;05849810;31/12/2017;31/12/2017;28/02/2018;0,35;0,11;0,09;0,09;0,76;3,33
001449;57904;AFL;00105510;31/12/2017;31/12/2017;28/02/2018;0,85;0,03;0,17;0,16;0,82;4,58
007982;58246;NTRS;66585910;31/12/2017;31/12/2017;28/02/2018;0,43;0,02;0,13;0,14;0,93;12,57
009882;58683;LUV;84474110;31/12/2017;31/12/2017;28/02/2018;0,33;0,20;0,28;0,28;0,58;1,41
001447;59176;AXP;02581610;31/12/2017;31/12/2017;28/02/2018;0,19;0,06;0,15;0,11;0,90;8,22
003505;59248;TAP;60871R20;31/12/2017;31/12/2017;28/02/2018;0,84;0,09;0,10;0,08;0,56;1,27
006008;59328;INTC;45814010;31/12/2017;31/12/2017;28/02/2018;0,33;0,23;0,14;0,20;0,43;0,76
007647;59408;BAC;06050510;31/12/2017;31/12/2017;28/02/2018;0,81;0,02;0,07;0,07;0,88;7,54
062689;59459;TRV;89417E10;31/12/2017;31/12/2017;28/02/2018;0,64;0,03;0,09;0,09;0,77;3,36
009778;60206;SNA;83303410;31/12/2017;31/12/2017;28/02/2018;0,30;0,20;0,20;0,24;0,43;0,77
008245;60442;PNC;69347510;31/12/2017;31/12/2017;28/02/2018;0,67;0,02;0,12;0,08;0,88;7,01
008253;60506;PCAR;69371810;31/12/2017;31/12/2017;28/02/2018;0,35;0,15;0,21;0,14;0,66;1,91
002884;60599;CTL;15670010;31/12/2017;31/12/2017;28/02/2018;1,45;0,10;0,06;0,05;0,69;2,22
006649;60943;LEG;52466010;31/12/2017;31/12/2017;28/02/2018;0,20;0,17;0,24;0,20;0,66;1,98
007875;60986;NWL;65122910;31/12/2017;31/12/2017;28/02/2018;1,16;0,07;0,16;0,07;0,57;1,34
001161;61241;AMD;00790310;31/12/2017;31/12/2017;28/02/2018;0,06;0,07;0,11;0,08;0,83;4,79
007912;61815;NBL;65504410;31/12/2017;31/12/2017;28/02/2018;0,77;0,10;-0,10;0,01;0,51;1,09
010530;62092;TMO;88355610;31/12/2017;31/12/2017;28/02/2018;0,37;0,10;0,09;0,08;0,55;1,23
002574;62148;CSX;12640810;31/12/2017;31/12/2017;28/02/2018;0,43;0,14;0,26;0,15;0,59;1,43
010614;62308;TMK;89102710;31/12/2017;31/12/2017;28/02/2018;0,60;0,04;0,27;0,13;0,73;2,77
009904;63765;SWN;84546710;31/12/2017;31/12/2017;28/02/2018;0,69;0,17;0,72;0,12;0,74;2,80
002547;64186;CI;12550910;31/12/2017;31/12/2017;28/02/2018;0,28;0,08;0,16;0,23;0,78;3,49
007923;64311;NSC;65584410;31/12/2017;31/12/2017;28/02/2018;0,55;0,13;0,24;0,14;0,54;1,18
013341;64390;PGR;74331510;31/12/2017;31/12/2017;28/02/2018;0,29;0,07;0,18;0,19;0,75;3,11
004029;64936;D;25746U10;31/12/2017;31/12/2017;28/02/2018;0,41;0,08;0,13;0,08;0,75;3,34
009783;64995;KEY;49326710;31/12/2017;31/12/2017;28/02/2018;0,65;0,02;0,09;0,11;0,89;8,17
002136;65875;VZ;92343V10;31/12/2017;31/12/2017;28/02/2018;0,34;0,18;0,42;0,19;0,83;4,93
009899;66093;T;00206R10;31/12/2017;31/12/2017;28/02/2018;0,77;0,12;0,16;0,09;0,68;2,14
004723;66157;USB;90297330;31/12/2017;31/12/2017;28/02/2018;0,49;0,03;0,14;0,13;0,89;8,41
020430;66325;SLM;78442P10;31/12/2017;31/12/2017;28/02/2018;0,42;0,03;0,15;0,13;0,89;7,80
001487;66800;AIG;02687478;31/12/2017;31/12/2017;28/02/2018;1,22;0,01;-0,09;0,02;0,87;6,64
010187;68144;STI;86791410;31/12/2017;31/12/2017;28/02/2018;0,76;0,02;0,10;0,12;0,88;7,22
012124;69032;MS;61744644;31/12/2017;31/12/2017;28/02/2018;0,73;0,02;0,09;0,04;0,91;9,98
012389;70033;HOG;41282210;31/12/2017;31/12/2017;28/02/2018;0,22;0,13;0,28;0,12;0,82;4,41
011923;70332;APC;03251110;31/12/2017;31/12/2017;28/02/2018;0,45;0,08;-0,03;-0,06;0,67;2,65
003243;70519;C;17296742;31/12/2017;31/12/2017;28/02/2018;0,95;0,02;-0,03;0,05;0,89;8,17
004213;70578;ECL;27886510;31/12/2017;31/12/2017;28/02/2018;0,21;0,15;0,19;0,14;0,61;1,61
012726;71175;UNM;91529Y10;31/12/2017;31/12/2017;28/02/2018;0,80;0,03;0,11;0,12;0,85;5,69
011856;71563;BBT;05493710;31/12/2017;31/12/2017;28/02/2018;0,69;0,03;0,09;0,10;0,87;6,47
010035;72726;STT;85747710;31/12/2017;31/12/2017;28/02/2018;0,53;0,03;0,12;0,16;0,91;9,68
010115;73139;SYK;86366710;31/12/2017;31/12/2017;28/02/2018;0,17;0,16;0,10;0,16;0,55;1,23
032106;75034;BHGE;05722G10;31/12/2017;31/12/2017;28/02/2018;1,14;;;;0,31;1,22
013988;75186;SCHW;80851310;31/12/2017;31/12/2017;28/02/2018;0,23;0,02;0,16;0,15;0,92;12,09
014359;75241;PXD;72378710;31/12/2017;31/12/2017;28/02/2018;0,41;0,10;0,07;0,02;0,34;0,51
016478;75825;EOG;26875P10;31/12/2017;31/12/2017;28/02/2018;0,32;0,16;0,13;0,05;0,45;0,83
020548;76082;COG;12709710;31/12/2017;31/12/2017;28/02/2018;0,21;0,11;0,03;-0,01;0,47;0,87
013714;76226;CBS;12485720;31/12/2017;31/12/2017;28/02/2018;0,11;0,13;0,39;0,22;0,91;9,54
009063;76282;AN;05329W10;31/12/2017;31/12/2017;28/02/2018;0,52;0,09;0,18;0,09;0,77;3,34
010631;76639;TSS;89190610;31/12/2017;31/12/2017;28/02/2018;0,17;0,17;0,23;0,14;0,63;1,77
023978;76644;X;91290910;31/12/2017;31/12/2017;28/02/2018;0,54;0,11;0,14;0,09;0,66;1,97
024216;76712;AES;00130H10;31/12/2017;31/12/2017;28/02/2018;0,49;0,10;-0,14;0,10;0,83;11,13
024468;76841;BIIB;09062X10;31/12/2017;31/12/2017;28/02/2018;0,19;0,29;0,20;0,31;0,47;0,88
008215;77157;OI;69076840;31/12/2017;31/12/2017;28/02/2018;0,25;0,10;0,29;0,09;0,90;10,93
024856;77274;GILD;37555810;31/12/2017;31/12/2017;28/02/2018;0,22;0,25;0,24;0,29;0,71;2,44
024925;77338;ROP;77669610;31/12/2017;31/12/2017;28/02/2018;0,29;0,11;0,13;0,10;0,52;1,09
025056;77418;TWX;88731730;31/12/2017;31/12/2017;28/02/2018;0,42;0,13;0,18;0,16;0,59;1,44
025279;77605;BSX;10113710;31/12/2017;31/12/2017;28/02/2018;0,21;0,14;0,01;0,14;0,63;1,72
025356;77668;ESRX;30219G10;31/12/2017;31/12/2017;28/02/2018;0,49;0,14;0,22;0,17;0,67;1,99
025124;77768;PX;74005P10;31/12/2017;31/12/2017;28/02/2018;0,16;0,19;0,19;0,17;0,68;2,31
027786;78877;CHK;16516710;31/12/2017;31/12/2017;28/02/2018;;0,20;;0,20;1,03;-25,80
028118;79089;FOSL;34988V10;31/12/2017;31/12/2017;28/02/2018;1,53;0,06;-0,58;0,02;0,65;1,87
028180;79103;ORLY;67103H10;31/12/2017;31/12/2017;28/02/2018;0,04;0,26;0,92;0,48;0,91;10,59
028477;79265;FLIR;30244510;31/12/2017;31/12/2017;28/02/2018;0,29;0,15;0,06;0,15;0,35;0,53
028349;79323;ALL;02000210;31/12/2017;31/12/2017;28/02/2018;0,58;0,04;0,16;0,15;0,80;3,97
028742;79545;BWA;09972410;31/12/2017;31/12/2017;28/02/2018;0,35;0,17;0,12;0,22;0,61;1,60
029173;79915;NFX;65129010;31/12/2017;31/12/2017;28/02/2018;0,24;0,21;0,35;0,14;0,72;2,52
029392;80080;EMN;27743210;31/12/2017;31/12/2017;28/02/2018;0,48;0,14;0,23;0,14;0,66;1,95
030990;81055;COF;14040H10;31/12/2017;31/12/2017;28/02/2018;0,92;0,02;0,05;0,07;0,87;6,49
013888;81593;WMIH;92936P10;31/12/2017;31/12/2017;28/02/2018;;-0,01;;-0,04;0,03;0,02
014590;81774;FCX;35671D85;31/12/2017;31/12/2017;28/02/2018;0,42;0,16;0,16;0,18;0,70;3,26
020653;82196;DNR;24791620;31/12/2017;31/12/2017;28/02/2018;0,95;0,10;0,20;0,06;0,86;5,90
061409;82298;DO;25271C10;31/12/2017;31/12/2017;28/02/2018;1,55;0,09;0,00;0,04;0,40;0,66
061483;82307;DVA;23918K10;31/12/2017;31/12/2017;28/02/2018;0,39;0,12;0,17;0,12;0,69;2,78
061496;82621;MLSS;59935P20;31/12/2017;31/12/2017;28/02/2018;0,18;-0,32;-0,66;-0,66;0,52;1,12
061574;82651;WAT;94184810;31/12/2017;31/12/2017;28/02/2018;0,15;0,16;0,01;0,17;0,58;1,38
061676;82686;CTXS;17737610;31/12/2017;31/12/2017;28/02/2018;0,08;0,13;0,01;0,19;0,83;4,86
061739;82775;HIG;41651510;31/12/2017;31/12/2017;28/02/2018;0,67;0,01;-0,02;0,08;0,94;15,69
