Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
012138;10138;TROW;74144T10;31/12/2017;31/12/2017;28/02/2018;0,23;0,32;0,28;0,38;0,10;0,12
001300;10145;HON;43851610;31/12/2017;31/12/2017;28/02/2018;0,18;0,16;0,08;0,23;0,71;2,43
001722;10516;ADM;03948310;31/12/2017;31/12/2017;28/02/2018;0,87;0,06;0,08;0,06;0,54;1,18
012635;10696;FISV;33773810;31/12/2017;31/12/2017;28/02/2018;0,12;0,19;0,37;0,21;0,73;2,77
012850;10909;CERN;15678210;31/12/2017;31/12/2017;28/02/2018;0,23;0,25;0,19;0,20;0,26;0,35
003144;11308;KO;19121610;31/12/2017;31/12/2017;28/02/2018;0,10;0,12;0,05;0,14;0,78;4,04
003413;11404;ED;20911510;31/12/2017;31/12/2017;28/02/2018;0,79;0,08;0,07;0,08;0,68;2,12
013599;11552;CELG;15102010;31/12/2017;31/12/2017;28/02/2018;0,10;0,22;0,40;0,27;0,77;3,36
013700;11600;XRAY;24906P10;31/12/2017;31/12/2017;28/02/2018;0,49;0,08;-0,19;0,06;0,36;0,57
014225;11618;FAST;31190010;31/12/2017;31/12/2017;28/02/2018;0,14;0,36;0,28;0,36;0,28;0,39
003897;11674;DTE;23333110;31/12/2017;31/12/2017;28/02/2018;0,59;0,08;0,09;0,08;0,70;2,50
004503;11850;XOM;30231G10;31/12/2017;31/12/2017;28/02/2018;0,61;0,09;0,09;0,05;0,44;0,82
014477;11955;WM;94106L10;31/12/2017;31/12/2017;28/02/2018;0,19;0,19;0,28;0,17;0,72;2,62
005046;12052;GD;36955010;31/12/2017;31/12/2017;28/02/2018;0,19;0,14;0,26;0,28;0,67;2,06
005047;12060;GE;36960410;31/12/2017;31/12/2017;28/02/2018;0,42;0,05;-0,08;0,05;0,77;4,55
014960;12062;LH;50540R40;31/12/2017;31/12/2017;28/02/2018;0,47;0,13;0,18;0,12;0,59;1,42
016245;12073;PBCT;71270410;31/12/2017;31/12/2017;28/02/2018;0,88;0,02;0,06;0,07;0,87;6,64
006066;12490;IBM;45920010;31/12/2017;31/12/2017;28/02/2018;0,13;0,13;0,31;0,17;0,86;6,12
006310;12558;KMI;49456B10;31/12/2017;31/12/2017;28/02/2018;0,84;0,07;0,01;0,05;0,56;1,31
186989;12872;MPC;56585A10;31/12/2017;31/12/2017;28/02/2018;0,52;0,12;0,20;0,13;0,55;1,94
189491;13035;XYL;98419M10;31/12/2017;31/12/2017;28/02/2018;0,22;0,13;0,12;0,14;0,63;1,73
187128;13141;WPX;98212B10;31/12/2017;31/12/2017;28/02/2018;0,71;0,09;0,00;-0,02;0,50;0,99
199356;13168;TRIP;89694520;31/12/2017;31/12/2017;28/02/2018;0,29;0,10;-0,01;0,08;0,40;0,67
170841;13356;PSX;71854610;31/12/2017;31/12/2017;28/02/2018;0,59;0,06;0,17;0,06;0,50;1,07
008264;13688;PCG;69331C10;31/12/2017;31/12/2017;28/02/2018;1,09;0,09;0,06;0,09;0,71;2,49
008479;13856;PEP;71344810;31/12/2017;31/12/2017;28/02/2018;0,08;0,17;0,32;0,22;0,86;6,34
008543;13901;MO;02209S10;31/12/2017;31/12/2017;28/02/2018;0,15;0,22;0,49;0,35;0,64;1,81
008549;13928;COP;20825C10;31/12/2017;31/12/2017;28/02/2018;0,56;0,11;-0,02;0,03;0,58;1,39
001602;14008;AMGN;03116210;31/12/2017;31/12/2017;28/02/2018;0,21;0,16;0,07;0,17;0,68;2,17
019574;14490;NEWM;64704V10;31/12/2017;31/12/2017;28/02/2018;0,76;0,12;0,00;0,07;0,47;0,90
002991;14541;CVX;16676410;31/12/2017;31/12/2017;28/02/2018;0,68;0,08;0,06;0,01;0,41;0,71
007017;15069;MRO;56584910;31/12/2017;31/12/2017;28/02/2018;0,87;0,08;-0,05;-0,02;0,47;0,88
011228;15202;VMC;92916010;31/12/2017;31/12/2017;28/02/2018;0,32;0,11;0,11;0,09;0,48;0,91
023627;15378;LIFE;00212010;31/12/2017;31/12/2017;28/02/2018;0,62;-0,55;-0,76;-0,60;0,28;0,39
023821;15391;GCI;36473H10;31/12/2017;31/12/2017;28/02/2018;0,79;0,13;0,01;0,15;0,60;1,53
010499;15579;TXN;88250810;31/12/2017;31/12/2017;28/02/2018;0,10;0,41;0,35;0,43;0,41;0,71
009846;15720;EIX;28102010;31/12/2017;31/12/2017;28/02/2018;0,79;0,08;0,04;0,09;0,74;2,79
027638;16347;AA;01387210;31/12/2017;31/12/2017;28/02/2018;0,48;0,14;0,04;0,24;0,61;2,35
