BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2017;5;5;4;100,00%;80,00%
ABBOTT LABORATORIES;ABT;01/12/2017;5;3;1;60,00%;20,00%
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/12/2017;4;4;4;100,00%;100,00%
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);AET;01/12/2017;5;3;4;60,00%;80,00%
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/12/2017;5;3;4;60,00%;80,00%
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2017;7;6;1;85,71%;14,29%
ALCOA CORP;AA;01/12/2017;5;5;5;100,00%;100,00%
ALLSTATE CORP;ALL;01/12/2017;4;4;3;100,00%;75,00%
ALPHABET INC (Google Inc prior to 10/2015);GOOG;01/12/2017;3;2;1;66,67%;33,33%
ALPHABET INC (Google Inc prior to 10/2015);GOOGL;01/12/2017;3;2;1;66,67%;33,33%
ALTABA INC (Yahoo Inc prior to 06/2017) (De-listed 10/2019);ALA;01/12/2017;8;6;5;75,00%;62,50%
ALTABA INC (Yahoo Inc prior to 06/2017) (De-listed 10/2019);YHOO;01/12/2017;8;6;5;75,00%;62,50%
ALTAIR ENGINEERING INC;ALTR;01/12/2017;4;4;2;100,00%;50,00%
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2017;6;5;2;83,33%;33,33%
AMAZON.COM INC;AMZN;01/12/2017;3;3;3;100,00%;100,00%
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2017;7;7;7;100,00%;100,00%
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2017;7;7;5;100,00%;71,43%
AMERICAN TOWER CORP;AMT;01/12/2017;5;4;5;80,00%;100,00%
AMERIGO RESOURCES LTD;ARG;01/12/2017;4;3;0;75,00%;0,00%
AMERIPRISE FINANCIAL INC;AMP;01/12/2017;3;3;2;100,00%;66,67%
AMGEN INC;AMG;01/12/2017;10;7;5;70,00%;50,00%
AMGEN INC;AMGN;01/12/2017;10;7;5;70,00%;50,00%
AMPHENOL CORP;APH;01/12/2017;4;3;2;75,00%;50,00%
ANADARKO PETROLEUM CORP (De-listed 08/2019);AAZ;01/12/2017;5;5;1;100,00%;20,00%
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2017;5;5;1;100,00%;20,00%
ANDEAVOR (Tesoro Corp prior to 08/2017) (De-listed 10/2018);ANDV;01/12/2017;6;6;5;100,00%;83,33%
ANDEAVOR (Tesoro Corp prior to 08/2017) (De-listed 10/2018);TSO;01/12/2017;6;6;5;100,00%;83,33%
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2017;5;4;2;80,00%;40,00%
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2017;5;3;5;60,00%;100,00%
APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO);AIV;01/12/2017;7;2;6;28,57%;85,71%
ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2017;5;5;1;100,00%;20,00%
ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2017;4;3;0;75,00%;0,00%
ASSURANT INC;AIZ;01/12/2017;5;4;5;80,00%;100,00%
AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2017;4;4;2;100,00%;50,00%
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2017;4;3;1;75,00%;25,00%
ATYR PHARMA INC;LIFE;01/12/2017;5;5;3;100,00%;60,00%
AUTONATION INC;AN;01/12/2017;5;4;2;80,00%;40,00%
