BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise
AVALONBAY COMMUNITIES INC;AVB;01/12/2017;6;6;1;100,00%;16,67%
BANK OF AMERICA CORP;BAC;01/12/2017;8;8;8;100,00%;100,00%
BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2017;6;6;3;100,00%;50,00%
BAXTER INTERNATIONAL INC;BAX;01/12/2017;6;4;5;66,67%;83,33%
BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2017;5;5;0;100,00%;0,00%
BEMIS CO INC (De-listed 06/2019);BE7;01/12/2017;5;5;1;100,00%;20,00%
BEMIS CO INC (De-listed 06/2019);BMS;01/12/2017;5;5;1;100,00%;20,00%
BERKSHIRE HATHAWAY INC;BRK.A;01/12/2017;5;3;3;60,00%;60,00%
BERKSHIRE HATHAWAY INC;BRK.B;01/12/2017;5;3;3;60,00%;60,00%
BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2017;4;0;3;0,00%;75,00%
BLACKROCK INC;BLK;01/12/2017;7;5;7;71,43%;100,00%
BOEING CO;BA;01/12/2017;9;9;6;100,00%;66,67%
BORGWARNER INC;BWA;01/12/2017;6;6;4;100,00%;66,67%
BOSTON PROPERTIES INC;BXP;01/12/2017;4;2;3;50,00%;75,00%
BOSTON SCIENTIFIC CORP;BSX;01/12/2017;5;5;5;100,00%;100,00%
BRISTOL-MYERS SQUIBB CO;BMY;01/12/2017;7;7;6;100,00%;85,71%
CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2017;3;3;0;100,00%;0,00%
CAPITAL ONE FINANCIAL CORP;COF;01/12/2017;5;5;3;100,00%;60,00%
CATERPILLAR INC;CAT;01/12/2017;4;3;4;75,00%;100,00%
CELGENE CORP (De-listed 11/2019);CELG;01/12/2017;5;3;2;60,00%;40,00%
CELGENE CORP (De-listed 11/2019);CG3;01/12/2017;5;3;2;60,00%;40,00%
CENTERPOINT ENERGY INC;CNP;01/12/2017;6;6;1;100,00%;16,67%
CERNER CORP (De-listed 06/2022);CERN;01/12/2017;6;4;1;66,67%;16,67%
CERNER CORP (De-listed 06/2022);CRE;01/12/2017;6;4;1;66,67%;16,67%
CF INDUSTRIES HLDGS INC;CF;01/12/2017;7;3;6;42,86%;85,71%
CH ROBINSON WORLDWIDE INC;CHRW;01/12/2017;6;5;6;83,33%;100,00%
CHARLES SCHWAB CORP;SCHW;01/12/2017;6;4;5;66,67%;83,33%
CHEVRON CORP;CVX;01/12/2017;5;5;5;100,00%;100,00%
CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2017;6;5;1;83,33%;16,67%
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2017;6;5;6;83,33%;100,00%
CINCINNATI FINANCIAL CORP;CINF;01/12/2017;9;5;4;55,56%;44,44%
CITIGROUP INC;C;01/12/2017;6;6;4;100,00%;66,67%
CITRIX SYSTEMS INC (De-listed 09/2022);CTX;01/12/2017;5;5;4;100,00%;80,00%
CITRIX SYSTEMS INC (De-listed 09/2022);CTXS;01/12/2017;5;5;4;100,00%;80,00%
CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);CLF;01/12/2017;6;6;5;100,00%;83,33%
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);CME;01/12/2017;6;1;3;16,67%;50,00%
CMS ENERGY CORP;CMS;01/12/2017;6;6;4;100,00%;66,67%
CMS ENERGY CORP;CSG;01/12/2017;6;6;4;100,00%;66,67%
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2017;5;5;5;100,00%;100,00%
COCA-COLA CO;KO;01/12/2017;4;3;2;75,00%;50,00%
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2017;9;8;4;88,89%;44,44%
COLGATE-PALMOLIVE CO;CL;01/12/2017;8;7;8;87,50%;100,00%
COLOURED TIES CAPITAL INC (Growmax Resources Corp prior to 11/2021);TIE;01/12/2017;3;3;0;100,00%;0,00%
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2017;8;8;3;100,00%;37,50%
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2017;8;8;3;100,00%;37,50%
COMERICA INC;CMA;01/12/2017;6;3;3;50,00%;50,00%
CONSOLIDATED EDISON INC;ED;01/12/2017;6;1;6;16,67%;100,00%
CORNING INC;GLW;01/12/2017;9;7;6;77,78%;66,67%
CR BARD INC (De-listed 12/2017);BCR;01/12/2017;4;4;3;100,00%;75,00%
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2017;4;4;4;100,00%;100,00%
CSX CORP;CSX;01/12/2017;8;7;5;87,50%;62,50%
CUMMINS INC;CMI;01/12/2017;8;7;2;87,50%;25,00%
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2017;5;3;3;60,00%;60,00%
DANAHER CORP;DHR;01/12/2017;4;2;4;50,00%;100,00%
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2017;4;3;4;75,00%;100,00%
DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);DF;01/12/2017;5;5;5;100,00%;100,00%
DEVON ENERGY CORP;DVN;01/12/2017;4;3;1;75,00%;25,00%
DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2017;4;4;4;100,00%;100,00%
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2017;6;6;5;100,00%;83,33%
DOVER CORP;DOV;01/12/2017;7;4;7;57,14%;100,00%
DTE ENERGY CO;DTE;01/12/2017;5;2;4;40,00%;80,00%
DUKE ENERGY CORP;DUK;01/12/2017;7;6;5;85,71%;71,43%
DUN & BRADSTREET CORP (De-listed 02/2019);DB5;01/12/2017;5;4;1;80,00%;20,00%
DUN & BRADSTREET CORP (De-listed 02/2019);DNB;01/12/2017;5;4;1;80,00%;20,00%
DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019);DD;01/12/2017;4;4;4;100,00%;100,00%
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;6;5;3;83,33%;50,00%
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETRA;01/12/2017;6;5;3;83,33%;50,00%
EASTMAN CHEMICAL CO;EMN;01/12/2017;7;2;6;28,57%;85,71%
EATON CORP PLC (Eaton Corp prior to 11/2012);ETN;01/12/2017;5;4;4;80,00%;80,00%
EBAY INC;EBAY;01/12/2017;4;3;1;75,00%;25,00%
ECOLAB INC;ECL;01/12/2017;7;7;6;100,00%;85,71%
EDISON INTERNATIONAL;EIX;01/12/2017;8;8;6;100,00%;75,00%
EDWARDS LIFESCIENCES CORP;EW;01/12/2017;4;4;4;100,00%;100,00%
ELI LILLY & CO;LLY;01/12/2017;6;5;4;83,33%;66,67%
EMBLEM CORP (Saber Capital Corp prior to 12/2016) (De-listed 03/2019);EMC;01/12/2017;4;4;0;100,00%;0,00%
ENERFLEX LTD;EFX;01/12/2017;5;5;0;100,00%;0,00%
ENTERGY CORP;ETR;01/12/2017;5;4;2;80,00%;40,00%
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;9;3;4;33,33%;44,44%
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;4;3;3;75,00%;75,00%
EQUIFAX INC;EFX;01/12/2017;5;5;5;100,00%;100,00%
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2017;5;4;4;80,00%;80,00%
EXELON CORP;EXC;01/12/2017;5;3;5;60,00%;100,00%
EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);EXPE;01/12/2017;3;0;2;0,00%;66,67%
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;5;5;1;100,00%;20,00%
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;5;4;5;80,00%;100,00%
EXXON MOBIL CORP;XOM;01/12/2017;6;6;5;100,00%;83,33%
FASTENAL CO;FAST;01/12/2017;4;3;2;75,00%;50,00%
FENNEC PHARMACEUTICALS INC (Adherex Technologies Inc prior to 09/2014);FRX;01/12/2017;3;3;1;100,00%;33,33%
FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);FIS;01/12/2017;6;4;6;66,67%;100,00%
FIFTH THIRD BANCORP;FITB;01/12/2017;5;5;2;100,00%;40,00%
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;7;6;1;85,71%;14,29%
FIRST SOLAR INC;FSLR;01/12/2017;5;3;2;60,00%;40,00%
FIRSTENERGY CORP;FE;01/12/2017;6;5;4;83,33%;66,67%
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2017;4;2;1;50,00%;25,00%
FLOWSERVE CORP;FLS;01/12/2017;5;2;1;40,00%;20,00%
FLUOR CORP;FLR;01/12/2017;7;7;3;100,00%;42,86%
FMC CORP;FMC;01/12/2017;6;4;3;66,67%;50,00%
FORD MOTOR CO;F;01/12/2017;8;6;2;75,00%;25,00%
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2017;4;4;2;100,00%;50,00%
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2017;3;2;3;66,67%;100,00%
GANNETT CO INC (Gannett SpinCo Inc prior to 06/2015) (De-listed 11/2019);GCI;01/12/2017;7;7;1;100,00%;14,29%
GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);GCI;01/12/2017;6;6;4;100,00%;66,67%
GENERAL DYNAMICS CORP;GD;01/12/2017;6;4;4;66,67%;66,67%
GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;12;10;10;83,33%;83,33%
GENERAL ELECTRIC CO (GE Aerospace);GEC;01/12/2017;12;10;10;83,33%;83,33%
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2017;12;10;10;83,33%;83,33%
GENUINE PARTS CO;GPC;01/12/2017;8;8;6;100,00%;75,00%
GENWORTH FINANCIAL INC;GNW;01/12/2017;6;5;6;83,33%;100,00%
GILEAD SCIENCES INC;GILD;01/12/2017;6;4;4;66,67%;66,67%
GOLDMAN SACHS GROUP INC;GS;01/12/2017;4;4;1;100,00%;25,00%
GOODYEAR TIRE & RUBBER CO;GT;01/12/2017;5;4;2;80,00%;40,00%
HALLIBURTON CO;HAL;01/12/2017;5;4;5;80,00%;100,00%
HARTFORD FINANCIAL SERVICES GROUP INC;HIG;01/12/2017;7;7;6;100,00%;85,71%
HASBRO INC;HAS;01/12/2017;7;7;5;100,00%;71,43%
HERSHEY CO (THE);HSY;01/12/2017;9;9;6;100,00%;66,67%
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;5;5;3;100,00%;60,00%
HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2017;7;7;4;100,00%;57,14%
HOST HOTELS & RESORTS INC;HST;01/12/2017;5;4;4;80,00%;80,00%
HUMANA INC;HUM;01/12/2017;6;2;3;33,33%;50,00%
HUNTINGTON BANCSHARES INC;HBAN;01/12/2017;4;4;4;100,00%;100,00%
ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2017;7;7;2;100,00%;28,57%
INGERSOLL RAND INC (Gardner Denver Holdings Inc prior to 03/2020);IR;01/12/2017;4;4;1;100,00%;25,00%
INTEL CORP;INTC;01/12/2017;5;4;2;80,00%;40,00%
INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);ICE;01/12/2017;4;4;2;100,00%;50,00%
INTERNATIONAL BUSINESS MACHINES (IBM) CORP;IBM;01/12/2017;7;6;6;85,71%;85,71%
INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;01/12/2017;6;6;6;100,00%;100,00%
INTERPUBLIC GROUP OF COMPANIES INC;IPG;01/12/2017;9;7;9;77,78%;100,00%
INTUITIVE SURGICAL INC;ISRG;01/12/2017;5;3;2;60,00%;40,00%
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2017;11;10;5;90,91%;45,45%
IRON MOUNTAIN INC;IRM;01/12/2017;5;3;5;60,00%;100,00%
JOHNSON & JOHNSON;JNJ;01/12/2017;4;4;1;100,00%;25,00%
JOURNEY ENERGY INC;JOY;01/12/2017;5;5;0;100,00%;0,00%
JPMORGAN CHASE & CO;JPM;01/12/2017;4;3;4;75,00%;100,00%
JUNIPER NETWORKS INC;JNPR;01/12/2017;3;2;2;66,67%;66,67%
KELLANOVA CO (Kellogg Co prior to 10/2023);K;01/12/2017;7;7;3;100,00%;42,86%
KEYCORP;KEY;01/12/2017;4;4;2;100,00%;50,00%
KEYERA CORP;KEY;01/12/2017;4;4;0;100,00%;0,00%
KIMBERLY-CLARK CORP;KMB;01/12/2017;6;4;6;66,67%;100,00%
KIMCO REALTY CORP;KIM;01/12/2017;5;3;5;60,00%;100,00%
KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011);KMI;01/12/2017;5;5;4;100,00%;80,00%
L3 TECHNOLOGIES INC (L-3 Communications Holdings Inc prior to 01/2017) (De-listed 07/2019);LLL;01/12/2017;5;2;2;40,00%;40,00%
LABCORP HOLDINGS INC (Laboratory Corporation of America Holdings (Labcorp) prior to 05/2024);LH;01/12/2017;14;6;8;42,86%;57,14%
LEGGETT & PLATT INC;LEG;01/12/2017;8;6;7;75,00%;87,50%
LIFE STORAGE INC (Sovran Self Storage Inc prior to 08/2016) (De-listed 07/2023);LSI;01/12/2017;4;3;1;75,00%;25,00%
LIFE STORAGE INC (Sovran Self Storage Inc prior to 08/2016) (De-listed 07/2023);SSS;01/12/2017;4;3;1;75,00%;25,00%
LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022);LWRK;01/12/2017;5;5;0;100,00%;0,00%
LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022);MSI;01/12/2017;5;5;0;100,00%;0,00%
LINCOLN NATIONAL CORP;LNC;01/12/2017;5;2;1;40,00%;20,00%
LOBLAW COMPANIES LTD;L;01/12/2017;5;4;0;80,00%;0,00%
LOCKHEED MARTIN CORP;LMT;01/12/2017;6;6;5;100,00%;83,33%
LOEWS CORP;L;01/12/2017;8;2;2;25,00%;25,00%
M&T BANK CORP;MTB;01/12/2017;5;5;2;100,00%;40,00%
MARATHON PETROLEUM CORP;MPC;01/12/2017;8;8;4;100,00%;50,00%
MARRIOTT INTERNATIONAL INC;MAR;01/12/2017;4;3;4;75,00%;100,00%
MARSH & MCLENNAN COMPANIES INC;MMC;01/12/2017;6;6;5;100,00%;83,33%
MASCO CORP;MAS;01/12/2017;7;6;6;85,71%;85,71%
MASTERCARD INC;MA;01/12/2017;6;6;2;100,00%;33,33%
MATTEL INC;MAT;01/12/2017;6;4;5;66,67%;83,33%
MERCK & CO INC (Schering-Plough Corp prior to 11/2009);MRK;01/12/2017;5;5;2;100,00%;40,00%
METLIFE INC;MET;01/12/2017;8;8;5;100,00%;62,50%
METLIFE INC;MET.PRA;01/12/2017;8;8;5;100,00%;62,50%
MINCO CAPITAL CORP (Minco Gold Corp prior to 02/2019);MMM;01/12/2017;3;3;0;100,00%;0,00%
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP;01/12/2017;4;3;2;75,00%;50,00%
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2017;4;3;2;75,00%;50,00%
MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011);MNST;01/12/2017;5;1;3;20,00%;60,00%
MOODYS CORP;MCO;01/12/2017;14;11;12;78,57%;85,71%
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2017;6;6;5;100,00%;83,33%
MOSAIC CO;MOS;01/12/2017;8;7;4;87,50%;50,00%
MOTOROLA SOLUTIONS INC;MSI;01/12/2017;5;5;4;100,00%;80,00%
MURPHY OIL CORP;MUR;01/12/2017;5;2;2;40,00%;40,00%
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2017;4;4;4;100,00%;100,00%
NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015);NDAQ;01/12/2017;7;7;6;100,00%;85,71%
NETFLIX INC;NFLX;01/12/2017;4;1;1;25,00%;25,00%
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2017;4;2;4;50,00%;100,00%
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/12/2017;6;4;5;66,67%;83,33%
NEWFIELD EXPLORATION CO (De-listed 02/2019);NX9;01/12/2017;6;4;5;66,67%;83,33%
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2017;8;8;6;100,00%;75,00%
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2017;5;5;2;100,00%;40,00%
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2017;5;5;1;100,00%;20,00%
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2017;7;4;2;57,14%;28,57%
NORFOLK SOUTHERN CORP;NSC;01/12/2017;6;5;6;83,33%;100,00%
NORTHERN TRUST CORP;NTRS;01/12/2017;5;4;4;80,00%;80,00%
NORTHROP GRUMMAN CORP;NOC;01/12/2017;7;4;3;57,14%;42,86%
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2017;4;3;4;75,00%;100,00%
NRG ENERGY INC;NRG;01/12/2017;7;6;4;85,71%;57,14%
NUCOR CORP;NUE;01/12/2017;8;5;1;62,50%;12,50%
O'REILLY AUTOMOTIVE INC;ORLY;01/12/2017;6;2;1;33,33%;16,67%
O-I GLASS INC (Owens-Illinois Inc prior to 12/2019);OI;01/12/2017;7;7;3;100,00%;42,86%
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2017;6;6;6;100,00%;100,00%
OMNICOM GROUP INC;OMC;01/12/2017;7;6;6;85,71%;85,71%
ONEOK INC (WAI Inc prior to 11/1997);OKE;01/12/2017;5;4;5;80,00%;100,00%
PACCAR INC;PCAR;01/12/2017;4;4;4;100,00%;100,00%
PARKLAND CORP (Parkland Fuel Corp prior to 05/2020);PKI;01/12/2017;6;6;0;100,00%;0,00%
PEABODY ENERGY CORP;BTU;01/12/2017;3;3;3;100,00%;100,00%
PEMBINA PIPELINE CORP;PPL;01/12/2017;6;6;3;100,00%;50,00%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCT;01/12/2017;8;4;4;50,00%;50,00%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCTP;01/12/2017;8;4;4;50,00%;50,00%
PEPSICO INC;PEP;01/12/2017;7;7;4;100,00%;57,14%
PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013);PRGO;01/12/2017;9;8;6;88,89%;66,67%
PFIZER INC;PFE;01/12/2017;5;4;5;80,00%;100,00%
PG&E CORP;PCG;01/12/2017;7;7;6;100,00%;85,71%
PHILIP MORRIS INTERNATIONAL INC;PM;01/12/2017;5;4;1;80,00%;20,00%
PINNACLE WEST CAPITAL CORP;PNW;01/12/2017;6;4;2;66,67%;33,33%
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);PXD;01/12/2017;14;14;10;100,00%;71,43%
PITNEY BOWES INC;PBI;01/12/2017;6;3;4;50,00%;66,67%
PNC FINANCIAL SERVICES GROUP INC;PNC;01/12/2017;5;3;2;60,00%;40,00%
POLYMET MINING CORP (De-listed 11/2023);POM;01/12/2017;4;4;1;100,00%;25,00%
PPG INDUSTRIES INC;PPG;01/12/2017;5;5;5;100,00%;100,00%
PPL CORP;PPL;01/12/2017;7;7;6;100,00%;85,71%
PRAXAIR INC (De-listed 10/2018);PX;01/12/2017;4;3;1;75,00%;25,00%
PRINCIPAL FINANCIAL GROUP INC;PFG;01/12/2017;6;5;1;83,33%;16,67%
PROGRESSIVE CORP (OHIO);PGR;01/12/2017;6;3;5;50,00%;83,33%
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2017;4;3;4;75,00%;100,00%
PRUDENTIAL FINANCIAL INC;PRU;01/12/2017;3;3;3;100,00%;100,00%
PUBLIC SERVICE ENTERPRISE GROUP INC;PEG;01/12/2017;7;5;5;71,43%;71,43%
PUBLIC STORAGE (Public Storage Inc prior to 06/2007);PSA;01/12/2017;4;4;4;100,00%;100,00%
PULTEGROUP INC;PHM;01/12/2017;6;6;6;100,00%;100,00%
QEP RESOURCES INC (De-listed 03/2021);QEP;01/12/2017;6;6;6;100,00%;100,00%
QUANTA SERVICES INC;PWR;01/12/2017;4;4;4;100,00%;100,00%
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2017;8;8;8;100,00%;100,00%
RANGE RESOURCES CORP;RRC;01/12/2017;5;5;5;100,00%;100,00%
RED EAGLE MINING CORP (De-listed 12/2018);R;01/12/2017;3;3;0;100,00%;0,00%
REGIONS FINANCIAL CORP;RF;01/12/2017;5;4;4;80,00%;80,00%
REPUBLIC SERVICES INC;RSG;01/12/2017;8;7;1;87,50%;12,50%
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);RHI;01/12/2017;4;4;2;100,00%;50,00%
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);ROP;01/12/2017;4;4;3;100,00%;75,00%
ROWAN COMPANIES PLC (Rowan Companies Inc prior to 05/2012) (De-listed 04/2019);RDC;01/12/2017;9;7;6;77,78%;66,67%
RYDER SYSTEM INC;R;01/12/2017;5;2;5;40,00%;100,00%
SCANA CORP (De-listed 01/2019);SCG;01/12/2017;5;4;1;80,00%;20,00%
SCHLUMBERGER LIMITED;SLB;01/12/2017;5;4;3;80,00%;60,00%
SEALED AIR CORP;SEE;01/12/2017;6;6;5;100,00%;83,33%
SEMPRA (Sempra Energy prior to 05/2023);SRE;01/12/2017;7;7;1;100,00%;14,29%
SHERRITT INTERNATIONAL CORPORATION;S;01/12/2017;4;4;0;100,00%;0,00%
SHERWIN-WILLIAMS CO;SHW;01/12/2017;4;4;3;100,00%;75,00%
SIMON PROPERTY GROUP INC;SPG;01/12/2017;4;2;4;50,00%;100,00%
SLM CORP (SALLIE MAE);SLM;01/12/2017;7;7;3;100,00%;42,86%
SNAP-ON INC;SNA;01/12/2017;4;4;4;100,00%;100,00%
SOUTHERN CO;SO;01/12/2017;5;4;2;80,00%;40,00%
SOUTHWEST AIRLINES CO;LUV;01/12/2017;5;3;5;60,00%;100,00%
SOUTHWESTERN ENERGY CO;SWN;01/12/2017;5;4;5;80,00%;100,00%
STANLEY BLACK & DECKER INC;SWK;01/12/2017;5;5;3;100,00%;60,00%
STERICYCLE INC;SRCL;01/12/2017;5;4;2;80,00%;40,00%
STORNOWAY DIAMOND CORPORATION (Northern Empire Minerals Ltd prior to 07/2003) (De-listed 10/2019);SWY;01/12/2017;4;4;0;100,00%;0,00%
STRYKER CORP;SYK;01/12/2017;3;3;3;100,00%;100,00%
SUNOCO LP (Susser Petroleum Partners LP prior to 10/2014);SUN;01/12/2017;3;3;1;100,00%;33,33%
SUNTRUST BANKS INC (De-listed 12/2019);STI;01/12/2017;6;6;2;100,00%;33,33%
SUNTRUST BANKS INC (De-listed 12/2019);STI.PRA;01/12/2017;6;6;2;100,00%;33,33%
SUNTRUST BANKS INC (De-listed 12/2019);STI.PRECL;01/12/2017;6;6;2;100,00%;33,33%
T ROWE PRICE GROUP INC;TROW;01/12/2017;5;4;3;80,00%;60,00%
TELUS CORP;T;01/12/2017;9;9;2;100,00%;22,22%
TENET HEALTHCARE CORP;THC;01/12/2017;9;9;9;100,00%;100,00%
