Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
3M CO;7435;22592;88579Y10;MMM;31/12/2017;5;5;4;1;0,8;0,08;0,25;0,44;0,31;0,69;2,28;USD;37987;1373;7333;8877;17286;4858;31657;A
ABBOTT LABORATORIES;1078;20482;00282410;ABT;31/12/2017;5;3;1;0,6;0,2;0,33;0,11;0,01;0,08;0,59;1,46;USD;76250;1135;3996;7017;17277;477;27390;A
AETNA INC;1177;88845;00817Y10;AET;31/12/2017;5;3;4;0,6;0,8;0,26;0,09;0,11;0,16;0,71;2,52;USD;55151;;;;;;;I
AETNA INC;1177;88845;00817Y10;AET;31/12/2017;5;3;4;0,6;0,8;0,26;0,09;0,11;0,16;0,71;2,52;USD;55151;410;5038;5428;15819;1904;60447;I
AKAMAI TECHNOLOGIES INC;125595;87299;00971T10;AKAM;31/12/2017;7;6;1;0,8571;0,1429;0,3;0,17;0,07;0,1;0,28;0,39;USD;4602,84;414,78;378,08;750,39;1892,52;218,32;2503;A
ALCOA CORP;27638;16347;01387210;AA;31/12/2017;5;5;5;1;1;0,48;0,14;0,04;0,24;0,61;2,35;USD;17447;405;1569;2319;2635;217;11652;A
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2017;4;4;3;1;0,75;0,58;0,04;0,16;0,15;0,8;3,97;USD;112422;;;;;;;A
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2017;4;4;3;1;0,75;0,58;0,04;0,16;0,15;0,8;3,97;USD;112422;299;3972;4367;4367;3189;37834;A
ALTAIR ENGINEERING INC;32530;17034;02136910;ALTR;31/12/2017;4;4;2;1;0,5;0,04;-0,09;;-0,63;0,78;3,57;USD;287,87;7,52;-35,26;-23,51;237,66;-99,41;337,95;A
ALTRIA GROUP INC;8543;13901;02209S10;MO;31/12/2017;6;5;2;0,8333;0,3333;0,15;0,22;0,49;0,35;0,64;1,81;USD;43202;199;9715;9924;12223;10222;19494;A
