Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
AMAZON.COM INC;64768;84788;02313510;AMZN;31/12/2017;3;3;3;1;1;0,05;0,12;0,13;0,07;0,79;3,74;USD;131310;11955;3954;13151;74763;3033;177866;A
AMERICAN ELECTRIC POWER CO;1440;24109;02553710;AEP;31/12/2017;7;7;7;1;1;0,7;0,08;0,07;0,08;0,72;2,54;USD;64729,1;5799,3;3431,2;5428,4;5428,4;1912,6;15424,9;A
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;31/12/2017;7;7;5;1;0,7143;1,22;0,01;-0,09;0,02;0,87;6,64;USD;498301;;;;;;;A
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;31/12/2017;7;7;5;1;0,7143;1,22;0,01;-0,09;0,02;0,87;6,64;USD;498301;0;2518;6392;6392;-6084;49004;A
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2017;3;3;2;1;0,6667;0,24;0,02;0,24;0,22;0,96;23,59;USD;147470;;;;;;;A
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2017;3;3;2;1;0,6667;0,24;0,02;0,24;0,22;0,96;23,59;USD;147470;162;2515;2683;5691;1480;12126;A
AMGEN INC;1602;14008;03116210;AMGN;31/12/2017;10;7;5;0,7;0,5;0,21;0,16;0,07;0,17;0,68;2,17;USD;79954;664;10497;12452;20881;1979;22849;A
AMPHENOL CORP;14282;84769;03209510;APH;31/12/2017;4;3;2;0,75;0,5;0,16;0,18;0,16;0,2;0,6;1,49;USD;10003,9;226,6;1431,6;1653,2;2531,5;650,5;7011,3;A
ANADARKO PETROLEUM CORP;11923;70332;03251110;APC;31/12/2017;5;5;1;1;0,2;0,45;0,08;-0,03;-0,06;0,67;2,65;USD;42086;5031;-1589;3478;6285;-456;10969;I
APA CORP;1678;39490;03741110;APA;31/12/2017;5;3;5;0,6;1;0,49;0,15;0,16;0,04;0,6;1,77;USD;21922;2760;668;3324;4022;1304;5752;A
ARCHER-DANIELS-MIDLAND CO;1722;10516;03948310;ADM;31/12/2017;5;5;1;1;0,2;0,87;0,06;0,08;0,06;0,54;1,18;USD;39963;1049;1513;2437;4430;1595;60828;A
AUTONATION INC;9063;76282;05329W10;AN;31/12/2017;4;3;0;0,75;0;0,52;0,09;0,18;0,09;0,77;3,34;USD;10271,5;313,4;767,2;925,8;3359;434,6;21534,6;A
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2017;5;4;5;0,8;1;0,81;0,02;0,12;0,09;0,87;6,45;USD;31843;;;;;;;A
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2017;5;4;5;0,8;1;0,81;0,02;0,12;0,09;0,87;6,45;USD;31843;62,1;514,2;628,9;628,9;519,6;6415;A
AT&T INC;9899;66093;00206R10;T;31/12/2017;4;4;2;1;0,5;0,77;0,12;0,16;0,09;0,68;2,14;USD;444097;21550;24974;49361;83410;29450;160789;A
ATI INC -NEW;10405;43123;01741R10;ATI;31/12/2017;4;3;1;0,75;0,25;0,58;0,07;-0,06;0,06;0,64;1,92;USD;5185,4;122,7;194,7;339,9;594,2;-91,9;3525,1;A
AUTONATION INC;9063;76282;05329W10;AN;31/12/2017;5;4;2;0,8;0,4;0,52;0,09;0,18;0,09;0,77;3,34;USD;10271,5;313,4;767,2;925,8;3359;434,6;21534,6;A
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2017;8;8;8;1;1;0,81;0,02;0,07;0,07;0,88;7,54;USD;2281234;;;;;;;A
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2017;8;8;8;1;1;0,81;0,02;0,07;0,07;0,88;7,54;USD;2281234;0;44663;46766;84109;18232;100417;A
BANK OF NEW YORK MELLON CORP;2019;49656;06405810;BK;31/12/2017;6;6;3;1;0,5;0,75;0,02;0,1;0,09;0,89;8;USD;371758;;;;;;;A
BANK OF NEW YORK MELLON CORP;2019;49656;06405810;BK;31/12/2017;6;6;3;1;0,5;0,75;0,02;0,1;0,09;0,89;8;USD;371758;1197;7311;8785;15567;4090;16617;A
BAXTER INTERNATIONAL INC;2086;27887;07181310;BAX;31/12/2017;6;4;5;0,6667;0,8333;0,27;0,14;0,08;0,13;0,47;0,88;USD;17111;634;1532;2275;5316;717;10561;A
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2017;5;5;0;1;0;0,21;0,14;0,01;0,14;0,63;1,72;USD;19042;319;1693;2530;6734;104;9048;A
BEMIS CO INC;2154;43772;08143710;BMS;31/12/2017;5;5;1;1;0,2;0,31;0,14;0,07;0,13;0,68;2,08;USD;3699,9;188,5;361,9;531,7;955;94;4046,2;I
BIOGEN INC;24468;76841;09062X10;BIIB;31/12/2017;4;0;3;0;0,75;0,19;0,29;0,2;0,31;0,47;0,88;USD;23652,6;867,4;5709;6638,8;10809,4;2539,1;12273,9;A
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2017;7;5;7;0,7143;1;0,43;0,03;0,14;0,15;0,85;5,9;USD;220217;;;;;;;A
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2017;7;5;7;0,7143;1;0,43;0,03;0,14;0,15;0,85;5,9;USD;220217;155;5294;5515;5515;4970;12491;A
BOEING CO;2285;19561;09702310;BA;31/12/2017;9;9;6;1;0,6667;0,01;0,13;3,77;0,91;1;258,93;USD;92333;1739;10123;11911;19184;8197;93392;A
BORGWARNER INC;28742;79545;09972410;BWA;31/12/2017;6;6;4;1;0,6667;0,35;0,17;0,12;0,22;0,61;1,6;USD;9787,6;560;1221,6;1629,4;2527,9;439,9;9799,3;A
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2017;5;5;5;1;1;0,21;0,14;0,01;0,14;0,63;1,72;USD;19042;319;1693;2530;6734;104;9048;A
BRISTOL-MYERS SQUIBB CO;2403;19393;11012210;BMY;31/12/2017;7;7;6;1;0,8571;0,12;0,15;0,07;0,2;0,65;1,85;USD;33551;1055;4220;5092;15731;1007;20776;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2017;3;3;0;1;0;0,47;0,04;0,13;0,11;0,78;3,62;USD;78264;;;;;;;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2017;3;3;0;1;0;0,47;0,04;0,13;0,11;0,78;3,62;USD;78264;357;2435;2964;3623;2514;5834;A
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2017;5;5;3;1;0,6;0,92;0,02;0,05;0,07;0,87;6,49;USD;365693;;;;;;;A
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2017;5;5;3;1;0,6;0,92;0,02;0,05;0,07;0,87;6,49;USD;365693;1018;7083;7990;7990;1982;30089;A
CATERPILLAR INC;2817;18542;14912310;CAT;31/12/2017;4;3;4;0,75;1;0,15;0,12;0,06;0,13;0,82;4,61;USD;76962;2336;6521;9399;16481;754;45462;A
CELGENE CORP;13599;11552;15102010;CELG;31/12/2017;5;3;2;0,6;0,4;0,1;0,22;0,4;0,27;0,77;3,36;USD;30141;279;5805;6275;12683;2940;13003;I
CENTERPOINT ENERGY INC;5742;21792;15189T10;CNP;31/12/2017;6;6;1;1;0,1667;0,64;0,09;0,22;0,08;0,79;3,85;USD;22736;1426;1072;2108;2108;1792;9614;A
CERNER CORP;12850;10909;15678210;CERN;31/12/2017;6;4;1;0,6667;0,1667;0,23;0,25;0,19;0,2;0,26;0,35;USD;6469,31;362,08;960,54;1541,79;4605,61;866,98;5142,27;I
CF INDUSTRIES HOLDINGS INC;163946;90829;12526910;CF;31/12/2017;7;3;6;0,4286;0,8571;0,47;0,08;0,07;0,03;0,5;1,89;USD;13463;473;220;1077;1287;358;4130;A
C H ROBINSON WORLDWIDE INC;65609;85459;12541W20;CHRW;31/12/2017;6;5;6;0,8333;1;0,12;0,22;0,36;0,29;0,66;1,97;USD;4235,83;40,12;775,12;868,1;2461,03;504,89;14869,38;A
SCHWAB (CHARLES) CORP;13988;75186;80851310;SCHW;31/12/2017;6;4;5;0,6667;0,8333;0,23;0,02;0,16;0,15;0,92;12,09;USD;243274;;;;;;;A
SCHWAB (CHARLES) CORP;13988;75186;80851310;SCHW;31/12/2017;6;4;5;0,6667;0,8333;0,23;0,02;0,16;0,15;0,92;12,09;USD;243274;400;3828;4097;4097;2354;8960;A
CHEVRON CORP;2991;14541;16676410;CVX;31/12/2017;5;5;5;1;1;0,68;0,08;0,06;0,01;0,41;0,71;USD;253806;13404;2480;21829;27141;9195;127485;A
CHIPOTLE MEXICAN GRILL INC;165914;91068;16965610;CMG;31/12/2017;6;5;1;0,8333;0,1667;0,17;0,23;0,13;;;;USD;2045,69;216,78;314,14;477,49;756,22;176,25;4476,41;A
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2017;9;5;4;0,5556;0,4444;0,73;0,04;0,12;0,09;0,62;1,65;USD;21843;;;;;;;A
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2017;9;5;4;0,5556;0,4444;0,73;0,04;0,12;0,09;0,62;1,65;USD;21843;16;783;811;811;1045;5732;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2017;6;6;4;1;0,6667;0,95;0,02;-0,03;0,05;0,89;8,17;USD;1842465;;;;;;;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2017;6;6;4;1;0,6667;0,95;0,02;-0,03;0,05;0,89;8,17;USD;1842465;3361;32433;36092;36092;-6798;87367;A
CITRIX SYSTEMS INC;61676;82686;17737610;CTXS;31/12/2017;5;5;4;1;0,8;0,08;0,13;0,01;0,19;0,83;4,86;USD;5820,18;80,9;662,03;814;2537,87;-20,72;2824,69;I
CLEVELAND-CLIFFS INC;3107;27422;18589910;CLF;31/12/2017;6;6;5;1;0,8333;;0,2;;0,3;1,15;-7,65;USD;2953,4;151,7;406;493,7;594,5;367;2335,3;A
CME GROUP INC;149070;89626;12572Q10;CME;31/12/2017;6;1;3;0,1667;0,5;0,55;0,03;0,15;0,1;0,7;2,38;USD;75791,2;;;;;;;A
CME GROUP INC;149070;89626;12572Q10;CME;31/12/2017;6;1;3;0,1667;0,5;0,55;0,03;0,15;0,1;0,7;2,38;USD;75791,2;81,9;2312;2520,5;2520,5;4063,4;3644,7;A
CMS ENERGY CORP;3439;23229;12589610;CMS;31/12/2017;6;6;4;1;0,6667;0,44;0,1;0,07;0,09;0,81;4,15;USD;23050;1665;1338;2219;2219;460;6583;A
CNX RESOURCES CORPORATION;120093;86799;12653C10;CNX;31/12/2017;5;5;5;1;1;1,2;0,06;0,08;0,01;0,44;0,78;USD;6931,91;632,85;46,73;458,77;458,77;380,75;1414,95;A
COCA-COLA CO;3144;11308;19121610;KO;31/12/2017;4;3;2;0,75;0,5;0,1;0,12;0,05;0,14;0,78;4,04;USD;87896;1675;9430;10648;23375;1248;35410;A
COGNIZANT TECH SOLUTIONS;111864;86158;19244610;CTSH;31/12/2017;9;8;4;0,8889;0,4444;0,26;0,2;0,14;0,22;0,3;0,43;USD;15221;284;2589;2997;5658;1504;14810;A
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2017;8;7;8;0,875;1;;0,35;;0,61;0,98;-207,22;USD;12676;553;3912;4387;9795;2024;15454;A
COMCAST CORP;3226;89525;20030N10;CMCSA;31/12/2017;8;8;3;1;0,375;0,5;0,15;0,25;0,14;0,62;1,69;USD;186949;9968;17795;28062;28062;22714;84526;A
COMERICA INC;3231;25081;20034010;CMA;31/12/2017;6;3;3;0,5;0,5;0,53;0,03;0,09;0,15;0,89;7,99;USD;71567;;;;;;;A
COMERICA INC;3231;25081;20034010;CMA;31/12/2017;6;3;3;0,5;0,5;0,53;0,03;0,09;0,15;0,89;7,99;USD;71567;69;1866,5;1987,5;3094;743;3289;A
CONSOLIDATED EDISON INC;3413;11404;20911510;ED;31/12/2017;6;1;6;0,1667;1;0,79;0,08;0,07;0,08;0,68;2,12;USD;48111;3028;2609;3950;3950;1525;12033;A
CORNING INC;3532;22293;21935010;GLW;31/12/2017;9;7;6;0,7778;0,6667;0,5;0,1;-0,03;0,09;0,43;0,75;USD;27494;1804;1689;2847;5147;-497;10116;A
CSX CORP;2574;62148;12640810;CSX;31/12/2017;8;7;5;0,875;0,625;0,43;0,14;0,26;0,15;0,59;1,43;USD;35739;2040;3700;5015;5015;5471;11408;A
CUMMINS INC;3650;41080;23102110;CMI;31/12/2017;8;7;2;0,875;0,25;0,26;0,15;0,14;0,22;0,55;1,37;USD;18075;506;1936;2515;5657;999;20428;A
CVS HEALTH CORP;7241;17005;12665010;CVS;31/12/2017;5;3;3;0,6;0,6;0,55;0,13;0,16;0,16;0,6;1,52;USD;95131;1918;10044;12523;31026;6622;184765;A
DANAHER CORP;3735;49680;23585110;DHR;31/12/2017;4;2;4;0,5;1;0,41;0,1;0,1;0,09;0,43;0,77;USD;46648,6;619,6;3180,3;4418,6;11468,8;2492,1;18329,7;A
DAVITA INC;61483;82307;23918K10;DVA;31/12/2017;4;3;4;0,75;1;0,39;0,12;0,17;0,12;0,69;2,78;USD;18948,19;905,25;1633,38;2193,29;3236,63;663,62;10876,63;A
DEVON ENERGY CORP;14934;87137;25179M10;DVN;31/12/2017;4;3;1;0,75;0,25;0,46;0,12;0,11;0,06;0,53;1,74;USD;30241;2805;1008;3361;4396;898;13949;A
DISCOVER FINANCIAL SVCS;177376;92121;25470910;DFS;31/12/2017;4;4;4;1;1;0,38;0,05;0,2;0,12;0,89;8,19;USD;100087;;;;;;;A
DISCOVER FINANCIAL SVCS;177376;92121;25470910;DFS;31/12/2017;4;4;4;1;1;0,38;0,05;0,2;0,12;0,89;8,19;USD;100087;218;4355;4485;4485;2099;11545;A
DOMINION ENERGY INC;4029;64936;25746U10;D;31/12/2017;6;6;5;1;0,8333;0,41;0,08;0,13;0,08;0,75;3,34;USD;76585;5504;4124;6029;6029;2999;12586;A
DOVER CORP;4058;25953;26000310;DOV;31/12/2017;7;4;7;0,5714;1;0,31;0,13;0,17;0,13;0,59;1,43;USD;10657,65;196,74;986,94;1381,18;3300,41;811,67;7830,44;A
DTE ENERGY CO;3897;11674;23333110;DTE;31/12/2017;5;2;4;0,4;0,8;0,59;0,08;0,09;0,08;0,7;2,5;USD;33767;2250;1646;2676;2676;1134;12607;A
DUKE ENERGY CORP;4093;27959;26441C20;DUK;31/12/2017;7;6;5;0,8571;0,7143;0,83;0,07;0,06;0,07;0,7;2,3;USD;137914;8052;6129;9656;9656;3059;23565;A
DUN & BRADSTREET HOLDNGS INC;4094;88590;26483E10;DNB;31/12/2017;5;4;1;0,8;0,2;;0,21;;0,58;1,33;-3,98;USD;2480,9;8,4;423;502,7;1167,8;140,9;1742,5;A
E TRADE FINANCIAL CORP;63501;83862;26924640;ETFC;31/12/2017;6;5;3;0,8333;0,5;0,47;0,02;0,1;0,16;0,89;8,13;USD;63365;;;;;;;I
E TRADE FINANCIAL CORP;63501;83862;26924640;ETFC;31/12/2017;6;5;3;0,8333;0,5;0,47;0,02;0,1;0,16;0,89;8,13;USD;63365;102;1225;1343;1343;614;2450;I
EASTMAN CHEMICAL CO;29392;80080;27743210;EMN;31/12/2017;7;2;6;0,2857;0,8571;0,48;0,14;0,23;0,14;0,66;1,95;USD;15999;649;1652;2236;3150;1384;9549;A
EBAY INC;114524;86356;27864210;EBAY;31/12/2017;4;3;1;0,75;0,25;0,3;0,12;-0,09;0,12;0,69;2,22;USD;25981;666;2265;2941;7983;-1016;9567;A
ECOLAB INC;4213;70578;27886510;ECL;31/12/2017;7;7;6;1;0,8571;0,21;0,15;0,19;0,14;0,61;1,61;USD;19962,4;868,6;2060,1;2953,4;7370,5;1508,4;13838,3;A
EDISON INTERNATIONAL;9846;15720;28102010;EIX;31/12/2017;8;8;6;1;0,75;0,79;0,08;0,04;0,09;0,74;2,79;USD;52580;3828;2209;4250;4250;689;12320;A
EDWARDS LIFESCIENCES CORP;133366;87657;28176E10;EW;31/12/2017;4;4;4;1;1;0,13;0,23;0,21;0,3;0,48;0,93;USD;5695,8;168,1;1097;1178,9;2641,9;583,6;3435,3;A
LILLY (ELI) & CO;6730;50876;53245710;LLY;31/12/2017;6;5;4;0,8333;0,6667;0,13;0,15;-0,02;0,2;0,74;2,87;USD;44981;1076,8;4973,9;6420,4;18290,3;-204,1;22871,3;A
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2017;5;5;0;1;0;0,25;0,18;0,18;0,17;0,55;1,26;USD;7233,4;218,2;950,3;1238,1;2165,7;587,3;3362,2;A
ENTERGY CORP;7366;24010;29364G10;ETR;31/12/2017;5;4;2;0,8;0,4;0,86;0,08;0,03;0,07;0,82;4,7;USD;46707,15;3905,62;1781,78;3577,45;3577,45;425,35;11074,48;A
EOG RESOURCES INC;16478;75825;26875P10;EOG;31/12/2017;9;3;4;0,3333;0,4444;0,32;0,16;0,13;0,05;0,45;0,83;USD;29833,08;4124,24;987,89;4608,52;8523,17;2582,58;11225,81;A
EQT CORP;4430;24328;26884L10;EQT;31/12/2017;4;3;3;0,75;0,75;1;0,1;0,13;0,08;0,38;0,83;USD;29522,6;1939,2;1178,26;2266,76;2266,76;1508,53;3378,02;A
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2017;5;5;5;1;1;0,25;0,18;0,18;0,17;0,55;1,26;USD;7233,4;218,2;950,3;1238,1;2165,7;587,3;3362,2;A
EXELON CORP;8539;21776;30161N10;EXC;31/12/2017;5;3;5;0,6;1;1,08;0,07;0,09;0,06;0,72;2,83;USD;116700;7584;3701;7529;7529;3770;33531;A
EXPEDIA GROUP INC;126296;90808;30212P30;EXPE;31/12/2017;3;0;2;0;0,6667;0,27;0,09;0,08;0,08;0,67;2,73;USD;18515,63;710,33;667,29;1556,83;8402,8;377,96;10059,84;A
EXPEDITORS INTL WASH INC;4494;87717;30213010;EXPD;31/12/2017;5;5;1;1;0,2;0,17;0,25;0,25;0,36;0,36;0,56;USD;3117,01;95,02;690,26;739,57;932,34;489,35;6920,95;A
EXPRESS SCRIPTS HOLDING CO;25356;77668;30219G10;ESRX;31/12/2017;5;4;5;0,8;1;0,49;0,14;0,22;0,17;0,67;1,99;USD;54255,8;267,4;5628,7;7208,1;8896,4;4517,4;100064,6;I
EXXON MOBIL CORP;4503;11850;30231G10;XOM;31/12/2017;6;6;5;1;0,8333;0,61;0,09;0,09;0,05;0,44;0,82;USD;348691;15402;12074;31967;44713;19710;237162;A
FASTENAL CO;14225;11618;31190010;FAST;31/12/2017;4;3;2;0,75;0,5;0,14;0,36;0,28;0,36;0,28;0,39;USD;2910,5;119,9;880,8;1008,2;2291;578,6;4390,5;A
FIDELITY NATIONAL INFO SVCS;165993;89003;31620M10;FIS;31/12/2017;6;4;6;0,6667;1;0,39;0,12;0,11;0,08;0,55;1,25;USD;24517;145;1672;2967;4237;1319;9123;A
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2017;5;5;2;1;0,4;0,74;0,02;0,14;0,09;0,88;7,69;USD;142193;;;;;;;A
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2017;5;5;2;1;0,4;0,74;0,02;0,14;0,09;0,88;7,69;USD;142193;231;3087;3323;5724;2194;6676;A
FIRST HORIZON CORP;4737;36397;32051710;FHN;31/12/2017;7;6;1;0,8571;0,1429;0,64;0,02;0,05;0,1;0,89;8,6;USD;41423,39;;;;;;;A
FIRST HORIZON CORP;4737;36397;32051710;FHN;31/12/2017;7;6;1;0,8571;0,1429;0,64;0,02;0,05;0,1;0,89;8,6;USD;41423,39;53,05;676,45;719,88;1346,86;165,52;1494,48;A
FIRST SOLAR INC;175404;91611;33643310;FSLR;31/12/2017;5;3;2;0,6;0,4;0,72;0,05;-0,03;0,04;0,26;0,35;USD;6864,5;514,36;215,03;334,53;668,45;-165,62;2941,32;A
FIRSTENERGY CORP;8099;23026;33793210;FE;31/12/2017;6;5;4;0,8333;0,6667;0,39;0,1;-0,23;0,1;0,91;9,77;USD;42257;2841;2891;4337;4337;-1724;14012;A
FLIR SYSTEMS INC;28477;79265;30244510;FLIR;31/12/2017;4;2;1;0,5;0,25;0,29;0,15;0,06;0,15;0,35;0,53;USD;2810,03;42,11;336,09;405,89;934,96;107,22;1800,43;I
FLOWSERVE CORP;4108;30940;34354P10;FLS;31/12/2017;5;2;1;0,4;0,2;0,33;0,09;0;0,09;0,66;1,96;USD;4910,47;61,6;303,49;420,26;1263,01;2,65;3660,83;A
FLUOR CORP;4818;88853;34341210;FLR;31/12/2017;7;7;3;1;0,4286;0,46;0,07;0,06;0,09;0,63;1,75;USD;9327,69;283,11;440,3;665,57;843,76;191,38;19520,97;A
FMC CORP;4510;19166;30249130;FMC;31/12/2017;6;4;3;0,6667;0,5;0,22;0,08;-0,03;0,1;0,71;2,42;USD;9206,3;85,7;491,6;584,7;1214,6;535,8;2878,6;A
FORD MOTOR CO;4839;25785;34537086;F;31/12/2017;8;6;2;0,75;0,25;0,72;0,07;0,23;0,04;0,86;6,39;USD;257808;7049;8044;17166;30431;7602;156776;A
FOSSIL GROUP INC;28118;79089;34988V10;FOSL;31/12/2017;4;4;2;1;0,5;1,53;0,06;-0,58;0,02;0,65;1,87;USD;1658,37;25,52;31,02;112;1439,81;-478,17;2788,16;A
FREEPORT-MCMORAN INC;14590;81774;35671D85;FCX;31/12/2017;3;2;3;0,6667;1;0,42;0,16;0,16;0,18;0,7;3,26;USD;37302;1410;3877;5974;6530;1817;16403;A
GANNETT CO INC;23821;15391;36473H10;GCI;31/12/2017;7;7;1;1;0,1429;0,79;0,13;0,01;0,15;0,6;1,53;USD;1283,55;11,09;79,86;151,83;599,18;-0,92;1342;A
GANNETT CO INC;23821;15391;36473H10;GCI;31/12/2017;6;6;4;1;0,6667;0,79;0,13;0,01;0,15;0,6;1,53;USD;1283,55;11,09;79,86;151,83;599,18;-0,92;1342;A
GENERAL DYNAMICS CORP;5046;12052;36955010;GD;31/12/2017;6;4;4;0,6667;0,6667;0,19;0,14;0,26;0,28;0,67;2,06;USD;35046;428;4177;4618;6628;2912;30973;A
GE AEROSPACE;5047;12060;36960410;GE;31/12/2017;12;10;10;0,8333;0,8333;0,42;0,05;-0,08;0,05;0,77;4,55;USD;377945;7371;10653;18012;35625;-5774;120468;A
GENUINE PARTS CO;5125;46674;37246010;GPC;31/12/2017;8;8;6;1;0,75;0,26;0,12;0,18;0,2;0,72;2,62;USD;12412,38;156,76;1068,74;1236,43;4912;616,76;16308,8;A
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2017;6;5;6;0,8333;1;8,66;0,01;0,06;0,06;0,85;6,71;USD;105297;;;;;;;A
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2017;6;5;6;0,8333;1;8,66;0,01;0,06;0,06;0,85;6,71;USD;105297;0;1015;1108;1108;817;8295;A
GILEAD SCIENCES INC;24856;77274;37555810;GILD;31/12/2017;6;4;4;0,6667;0,6667;0,22;0,25;0,24;0,29;0,71;2,44;USD;70283;590;14448;15593;22881;4628;26107;A
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2017;4;4;1;1;0,25;0,71;0,02;0,06;0,04;0,91;10,14;USD;916776;;;;;;;A
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2017;4;4;1;1;0,25;0,71;0,02;0,06;0,04;0,91;10,14;USD;916776;3185;19933;21085;21085;4286;42911;A
GOODYEAR TIRE & RUBBER CO;5234;16432;38255010;GT;31/12/2017;5;4;2;0,8;0,4;0,61;0,13;0,07;0,14;0,72;2,65;USD;17064;881;1396;2136;4438;346;15377;A
HALLIBURTON CO;5439;23819;40621610;HAL;31/12/2017;5;4;5;0,8;1;0,2;0,14;-0,05;0,1;0,67;2,01;USD;25085;1373;2009;3565;3821;-463;20620;A
HARTFORD FINANCIAL SERVICES;61739;82775;41651510;HIG;31/12/2017;7;7;6;1;0,8571;0,67;0,01;-0,02;0,08;0,94;15,69;USD;225260;;;;;;;A
HARTFORD FINANCIAL SERVICES;61739;82775;41651510;HIG;31/12/2017;7;7;6;1;0,8571;0,67;0,01;-0,02;0,08;0,94;15,69;USD;225260;250;1636;1847;1847;-3131;16804;A
HASBRO INC;5518;52978;41805610;HAS;31/12/2017;7;7;5;1;0,7143;0,16;0,19;0,21;0,22;0,65;1,89;USD;5289,98;134,88;810,36;982,2;2877,82;396,61;5209,78;A
HERSHEY CO;5597;16600;42786610;HSY;31/12/2017;9;9;6;1;0,6667;0,04;0,32;0,88;0,41;0,83;5,05;USD;5553,73;257,68;1553,02;1781,12;3677,76;782,98;7515,43;A
HESS CORP;1380;28484;42809H10;HES;31/12/2017;5;5;3;1;0,6;0,73;-0,08;-0,31;-0,27;0,47;0,93;USD;23112;1937;-5392;-2185;-1568;-4074;5466;A
