BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
PEMBINA PIPELINE CORP;PPL;01/12/2017;13;13;100,00%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCTP;01/12/2017;13;5;38,46%
PEPSICO INC;PEP;01/12/2017;14;13;92,86%
PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013);PRGO;01/12/2017;14;12;85,71%
PFIZER INC;PFE;01/12/2017;12;9;75,00%
PG&E CORP;PCG;01/12/2017;15;14;93,33%
PHILIP MORRIS INTERNATIONAL INC;PM;01/12/2017;11;9;81,82%
PHILLIPS 66;PSX;01/12/2017;10;8;80,00%
PINNACLE WEST CAPITAL CORP;PNW;01/12/2017;10;7;70,00%
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);PXD;01/12/2017;11;9;81,82%
PITNEY BOWES INC;PBI;01/12/2017;11;7;63,64%
PNC FINANCIAL SERVICES GROUP INC;PNC;01/12/2017;14;8;57,14%
POLYMET MINING CORP (De-listed 11/2023);POM;01/01/2017;1;0;0,00%
POLYMET MINING CORP (De-listed 11/2023);POM;01/12/2017;10;10;100,00%
PPG INDUSTRIES INC;PPG;01/12/2017;10;9;90,00%
PPL CORP;PPL;01/12/2017;9;8;88,89%
PRAXAIR INC (De-listed 10/2018);PX;01/12/2017;9;9;100,00%
PRINCIPAL FINANCIAL GROUP INC;PFG;01/12/2017;12;10;83,33%
PROCTER & GAMBLE CO;PG;01/06/2017;11;9;81,82%
PROGRESSIVE CORP (OHIO);PGR;01/12/2017;10;6;60,00%
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2017;11;6;54,55%
PRUDENTIAL FINANCIAL INC;PRU;01/12/2017;13;13;100,00%
PUBLIC SERVICE ENTERPRISE GROUP INC;PEG;01/12/2017;11;6;54,55%
PUBLIC STORAGE (Public Storage Inc prior to 06/2007);PSA;01/12/2017;6;5;83,33%
PULTEGROUP INC;PHM;01/12/2017;13;13;100,00%
QEP RESOURCES INC (De-listed 03/2021);QEP;01/12/2017;8;8;100,00%
QUALCOMM INC;QCOM;01/09/2017;10;8;80,00%
QUANTA SERVICES INC;PWR;01/12/2017;8;8;100,00%
QUEST DIAGNOSTICS INC;DGX;01/12/2017;10;6;60,00%
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2017;7;7;100,00%
RALPH LAUREN CORP;RL;01/04/2017;8;2;25,00%
RANGE RESOURCES CORP;RRC;01/12/2017;11;11;100,00%
RED EAGLE MINING CORP (De-listed 12/2018);R;01/12/2017;6;6;100,00%
RED HAT INC (De-listed 07/2019);RHI;01/02/2017;9;8;88,89%
REGIONS FINANCIAL CORP;RF;01/12/2017;13;12;92,31%
REPUBLIC SERVICES INC;RSG;01/12/2017;12;9;75,00%
REYNOLDS AMERICAN INC (De-listed 07/2017);RAI;01/07/2017;11;11;100,00%
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);RHI;01/12/2017;6;5;83,33%
ROCKWELL AUTOMATION INC;ROK;01/09/2017;10;10;100,00%
ROCKWELL COLLINS INC (De-listed 11/2018);COL;01/09/2017;11;6;54,55%
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);ROP;01/12/2017;9;7;77,78%
ROSS STORES INC;ROST;01/01/2017;7;3;42,86%
ROWAN COMPANIES PLC (Rowan Companies Inc prior to 05/2012) (De-listed 04/2019);RDC;01/12/2017;11;10;90,91%
RYDER SYSTEM INC;R;01/12/2017;10;6;60,00%
SALESFORCE INC (Salesforce.com Inc prior to 04/2022);CRM;01/01/2017;9;4;44,44%
SCANA CORP (De-listed 01/2019);SCG;01/12/2017;11;9;81,82%
SCHLUMBERGER LIMITED;SLB;01/12/2017;11;10;90,91%
SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021);STX;01/06/2017;11;11;100,00%
SEALED AIR CORP;SEE;01/12/2017;10;9;90,00%
SEMPRA (Sempra Energy prior to 05/2023);SRE;01/12/2017;14;13;92,86%
SHERRITT INTERNATIONAL CORPORATION;S;01/12/2017;8;8;100,00%
SHERWIN-WILLIAMS CO;SHW;01/12/2017;10;10;100,00%
SIMON PROPERTY GROUP INC;SPG;01/12/2017;9;7;77,78%
SLM CORP (SALLIE MAE);SLM;01/12/2017;13;12;92,31%
SNAP-ON INC;SNA;01/12/2017;9;9;100,00%
SOUTHERN CO;SO;01/12/2017;14;13;92,86%
SOUTHWEST AIRLINES CO;LUV;01/12/2017;11;9;81,82%
SOUTHWESTERN ENERGY CO;SWN;01/12/2017;10;7;70,00%
SPECTRA ENERGY CORP (Formerly known as Gas SpinCo Inc) (De-listed 02/2017);SE;01/02/2017;10;10;100,00%
SPRINT CORP (Sprint Nextel Corp prior to 07/2013) (De-listed 04/2020);S;01/03/2017;9;9;100,00%
ST JUDE MEDICAL INC (De-listed 01/2017);STJ;01/01/2017;8;7;87,50%
STANLEY BLACK & DECKER INC;SWK;01/12/2017;11;11;100,00%
STAPLES INC (De-listed 09/2017);STP;01/01/2017;9;9;100,00%
STAPLES INC (De-listed 09/2017);STP;01/09/2017;6;6;100,00%
STARBUCKS CORP;SBUX;01/10/2017;13;12;92,31%
STATE STREET CORP;STT;01/12/2017;12;8;66,67%
