Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
1678;39490;03741110;APA CORP (Apache Corp prior to 03/2021);APA;01/12/2019;5;4;5;80,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,37;0,05;-0,64;-0,19;0,72;4,02
1722;10516;03948310;ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2019;6;4;1;66,67%;16,67%;31/12/2019;31/12/2019;29/02/2020;0,79;0,06;0,07;0,06;0,56;1,29
9063;76282;05329W10;ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2019;4;3;0;75,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;0,76;0,09;0,15;0,09;0,7;2,33
157057;90038;04621X10;ASSURANT INC;AIZ;01/12/2019;7;5;5;71,43%;71,43%;31/12/2019;31/12/2019;29/02/2020;0,68;0,05;0,08;0,1;0,87;6,5
9899;66093;00206R10;AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2019;4;3;2;75,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,86;0,11;0,06;0,08;0,63;1,9
10405;43123;01741R10;ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2019;6;5;2;83,33%;33,33%;31/12/2019;31/12/2019;29/02/2020;0,81;0,1;0,13;0,11;0,61;1,65
23627;15378;00212020;ATYR PHARMA INC;LIFE;01/12/2019;4;4;1;100,00%;25,00%;31/12/2019;31/12/2019;29/02/2020;1,31;-0,5;-0,86;-0,56;0,42;0,72
9063;76282;05329W10;AUTONATION INC;AN;01/12/2019;6;5;5;83,33%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,76;0,09;0,15;0,09;0,7;2,33
7647;59408;06050510;BANK OF AMERICA CORP;BAC;01/12/2019;10;10;10;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,78;0,02;0,11;0,07;0,89;8,19
2019;49656;06405810;BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2019;6;6;3;100,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,89;0,02;0,11;0,09;0,89;8,19
2086;27887;07181310;BAXTER INTERNATIONAL INC;BAX;01/12/2019;6;5;4;83,33%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,19;0,16;0,12;0,15;0,57;1,3
25279;77605;10113710;BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2019;6;6;0;100,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;0,23;0,12;0,4;0,1;0,55;1,2
24468;76841;09062X10;BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2019;6;4;5;66,67%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,31;0,3;0,38;0,39;0,51;1,04
124434;87267;09247X10;BLACKROCK INC;BLK;01/12/2019;7;5;6;71,43%;85,71%;31/12/2019;31/12/2019;29/02/2020;0,48;0,04;0,12;0,15;0,79;3,99
2285;19561;09702310;BOEING CO;BA;01/12/2019;8;7;4;87,50%;50,00%;31/12/2019;31/12/2019;29/02/2020;;0,06;;0,35;1,06;-16,47
28742;79545;09972410;BORGWARNER INC;BWA;01/12/2019;5;3;3;60,00%;60,00%;31/12/2019;31/12/2019;29/02/2020;0,54;0,17;0,16;0,19;0,5;1,03
25279;77605;10113710;BOSTON SCIENTIFIC CORP;BSX;01/12/2019;5;5;5;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,23;0,12;0,4;0,1;0,55;1,2
2403;19393;11012210;BRISTOL-MYERS SQUIBB CO;BMY;01/12/2019;6;6;6;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,4;0,1;0,1;0,11;0,6;1,52
163610;90993;45866F10;CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2019;3;3;0;100,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;0,38;0,04;0,1;0,11;0,82;4,47
30990;81055;14040H10;CAPITAL ONE FINANCIAL CORP;COF;01/12/2019;5;5;2;100,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;1,13;0,03;0,11;0,08;0,85;5,72
2817;18542;14912310;CATERPILLAR INC;CAT;01/12/2019;4;3;4;75,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,18;0,16;0,41;0,19;0,81;4,38
5742;21792;15189T10;CENTERPOINT ENERGY INC;CNP;01/12/2019;4;4;1;100,00%;25,00%;31/12/2019;31/12/2019;29/02/2020;0,77;0,09;0,08;0,08;0,76;3,24
12850;10909;15678210;CERNER CORP (De-listed 06/2022);CERN;01/12/2019;5;3;1;60,00%;20,00%;31/12/2019;31/12/2019;29/02/2020;0,21;0,23;0,11;0,16;0,37;0,6
163946;90829;12526910;CF INDUSTRIES HLDGS INC;CF;01/12/2019;6;2;6;33,33%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,4;0,14;0,12;0,13;0,54;2,26
65609;85459;12541W20;CH ROBINSON WORLDWIDE INC;CHRW;01/12/2019;5;4;5;80,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,16;0,2;0,35;0,25;0,64;1,78
13988;75186;80851310;CHARLES SCHWAB CORP;SCHW;01/12/2019;5;4;5;80,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,31;0,02;0,2;0,2;0,93;12,49
2991;14541;16676410;CHEVRON CORP;CVX;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,7;0,12;0,02;0;0,39;0,64
165914;91068;16965610;CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2019;5;2;1;40,00%;20,00%;31/12/2019;31/12/2019;29/02/2020;0,07;0,2;0,22;;0,67;2,03
14824;23473;17206210;CINCINNATI FINANCIAL CORP;CINF;01/12/2019;11;6;5;54,55%;45,45%;31/12/2019;31/12/2019;29/02/2020;0,64;0,11;0,21;0,26;0,61;1,58
3243;70519;17296742;CITIGROUP INC;C;01/12/2019;11;11;9;100,00%;81,82%;31/12/2019;31/12/2019;29/02/2020;1,04;0,02;0,11;0,06;0,9;9,09
61676;82686;17737610;CITRIX SYSTEMS INC (De-listed 09/2022);CTXS;01/12/2019;6;6;4;100,00%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,06;0,15;0,96;0,27;0,81;4,24
3107;27422;18589910;CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);CLF;01/12/2019;5;5;3;100,00%;60,00%;31/12/2019;31/12/2019;29/02/2020;0,16;0,15;0,09;0,18;0,9;8,79
149070;89626;12572Q10;CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);CME;01/12/2019;8;4;3;50,00%;37,50%;31/12/2019;31/12/2019;29/02/2020;0,44;0,04;0,07;0,09;0,65;1,88
3439;23229;12589610;CMS ENERGY CORP;CMS;01/12/2019;6;6;6;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,38;0,09;0,1;0,07;0,81;4,31
120093;86799;12653C10;CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;2,81;0,09;-0,02;0,03;0,45;0,99
3144;11308;19121610;COCA-COLA CO;KO;01/12/2019;4;4;2;100,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,09;0,14;0,44;0,17;0,76;3,44
111864;86158;19244610;COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2019;10;9;5;90,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,33;0,21;0,16;0,23;0,32;0,47
3170;18729;19416210;COLGATE-PALMOLIVE CO;CL;01/12/2019;7;7;7;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,01;0,31;;0,51;0,96;123,73
3226;89525;20030N10;COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CMCSA;01/12/2019;4;4;2;100,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,54;0,13;0,12;0,11;0,68;2,15
3231;25081;20034010;COMERICA INC;CMA;01/12/2019;9;5;6;55,56%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,72;0,03;0,16;0,13;0,9;9,02
3413;11404;20911510;CONSOLIDATED EDISON INC;ED;01/12/2019;6;5;5;83,33%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,8;0,08;0,06;0,07;0,69;2,21
3243;70519;17296742;CONTACT GOLD CORP (Winwell Ventures Inc prior to 06/2017) (De-listed 05/2024);C;01/12/2019;6;6;0;100,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;1,04;0,02;0,11;0,06;0,9;9,09
3532;22293;21935010;CORNING INC;GLW;01/12/2019;10;9;7;90,00%;70,00%;31/12/2019;31/12/2019;29/02/2020;0,49;0,12;0,08;0,1;0,55;1,23
3170;18729;19416210;CRESCO LABS INC;CL;01/12/2019;3;3;1;100,00%;33,33%;31/12/2019;31/12/2019;29/02/2020;0,01;0,31;;0,51;0,96;123,73
2574;62148;12640810;CSX CORP;CSX;01/12/2019;7;5;3;71,43%;42,86%;31/12/2019;31/12/2019;29/02/2020;0,34;0,17;0,18;0,17;0,69;2,23
3650;41080;23102110;CUMMINS INC;CMI;01/12/2019;6;4;1;66,67%;16,67%;31/12/2019;31/12/2019;29/02/2020;0,29;0,16;0,29;0,25;0,57;1,5
7241;17005;12665010;CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2019;6;3;5;50,00%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,74;0,08;0,1;0,09;0,71;2,48
3735;49680;23585110;DANAHER CORP;DHR;01/12/2019;5;2;4;40,00%;80,00%;31/12/2019;31/12/2019;29/02/2020;0,27;0,08;0,09;0,08;0,51;1,05
61483;82307;23918K10;DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2019;4;4;3;100,00%;75,00%;31/12/2019;31/12/2019;29/02/2020;0,29;0,13;0,2;0,13;0,8;6,47
14934;87137;25179M10;DEVON ENERGY CORP;DVN;01/12/2019;5;2;1;40,00%;20,00%;31/12/2019;31/12/2019;29/02/2020;0,62;0,1;-0,01;0,01;0,57;1,34
177376;92121;25470910;DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,43;0,04;0,27;0,13;0,9;8,61
4029;64936;25746U10;DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2019;6;6;6;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,52;0,09;0,04;0,09;0,67;2,18
4058;25953;26000310;DOVER CORP;DOV;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,2;0,16;0,21;0,17;0,65;1,86
34443;18428;26055710;DOW INC;DOW;01/12/2019;5;5;5;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,34;0,09;-0,09;0,09;0,77;3,43
3897;11674;23333110;DTE ENERGY CO;DTE;01/12/2019;5;3;3;60,00%;60,00%;31/12/2019;31/12/2019;29/02/2020;0,57;0,08;0,09;0,06;0,72;2,57
4093;27959;26441C20;DUKE ENERGY CORP;DUK;01/12/2019;7;5;7;71,43%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,81;0,07;0,07;0,05;0,7;2,37
4060;16851;26614N10;DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019);DD;01/12/2019;13;13;9;100,00%;69,23%;31/12/2019;31/12/2019;29/02/2020;0,94;0,04;-0,01;0,03;0,4;0,68
63501;83862;26924640;E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2019;7;6;3;85,71%;42,86%;31/12/2019;31/12/2019;29/02/2020;0,61;0,03;0,16;0,2;0,89;8,37
29392;80080;27743210;EASTMAN CHEMICAL CO;EMN;01/12/2019;7;3;5;42,86%;71,43%;31/12/2019;31/12/2019;29/02/2020;0,64;0,12;0,11;0,11;0,62;1,67
114524;86356;27864210;EBAY INC;EBAY;01/12/2019;3;2;1;66,67%;33,33%;31/12/2019;31/12/2019;29/02/2020;0,19;0,15;0,24;0,18;0,84;5,33
4213;70578;27886510;ECOLAB INC;ECL;01/12/2019;8;8;5;100,00%;62,50%;31/12/2019;31/12/2019;29/02/2020;0,17;0,16;0,17;0,15;0,58;1,4
9846;15720;28102010;EDISON INTERNATIONAL;EIX;01/12/2019;5;5;4;100,00%;80,00%;31/12/2019;31/12/2019;29/02/2020;0,67;0,06;0,08;0,07;0,76;3,15
133366;87657;28176E10;EDWARDS LIFESCIENCES CORP;EW;01/12/2019;3;2;3;66,67%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,09;0,23;0,29;0,3;0,36;0,56
6730;50876;53245710;ELI LILLY & CO;LLY;01/12/2019;8;7;5;87,50%;62,50%;31/12/2019;31/12/2019;29/02/2020;0,04;0,17;0,63;0,29;0,93;14,03
4423;52476;29442910;ENERFLEX LTD;EFX;01/12/2019;4;4;0;100,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;0,17;0,11;-0,13;0,09;0,67;2,05
7366;24010;29364G10;ENTERGY CORP;ETR;01/12/2019;5;5;2;100,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,62;0,07;0,09;0,06;0,8;3,94
16478;75825;26875P10;EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2019;9;4;4;44,44%;44,44%;31/12/2019;31/12/2019;29/02/2020;0,55;0,21;0,11;0,13;0,42;0,72
4430;24328;26884L10;EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2019;7;7;4;100,00%;57,14%;31/12/2019;31/12/2019;29/02/2020;4,06;0,09;-0,1;0,01;0,48;0,92
4423;52476;29442910;EQUIFAX INC;EFX;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,17;0,11;-0,13;0,09;0,67;2,05
8539;21776;30161N10;EXELON CORP;EXC;01/12/2019;5;4;5;80,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;1,01;0,07;0,07;0,07;0,72;2,81
126296;90808;30212P30;EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);EXPE;01/12/2019;3;2;2;66,67%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,26;0,09;0,14;0,11;0,74;4
4494;87717;30213010;EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2019;5;5;2;100,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,17;0,23;0,28;0,34;0,4;0,68
4503;11850;30231G10;EXXON MOBIL CORP;XOM;01/12/2019;3;3;3;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,74;0,09;0,07;0,05;0,45;0,85
14225;11618;31190010;FASTENAL CO;FAST;01/12/2019;6;5;3;83,33%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,13;0,34;0,31;0,35;0,3;0,43
165993;89003;31620M10;FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);FIS;01/12/2019;8;7;6;87,50%;75,00%;31/12/2019;31/12/2019;29/02/2020;0,63;0,07;0,01;0,04;0,41;0,69
4640;34746;31677310;FIFTH THIRD BANCORP;FITB;01/12/2019;6;3;1;50,00%;16,67%;31/12/2019;31/12/2019;29/02/2020;0,93;0,03;0,14;0,11;0,87;6,99
4737;36397;32051710;FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2019;7;6;2;85,71%;28,57%;31/12/2019;31/12/2019;29/02/2020;0,91;0,02;0,1;0,12;0,88;8
175404;91611;33643310;FIRST SOLAR INC;FSLR;01/12/2019;5;3;1;60,00%;20,00%;31/12/2019;31/12/2019;29/02/2020;0,86;0,06;-0,02;0,04;0,32;0,47
8099;23026;33793210;FIRSTENERGY CORP;FE;01/12/2019;6;6;5;100,00%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,37;0,09;0,1;0,09;0,84;5,06
28477;79265;30244510;FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2019;5;2;5;40,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,28;0,15;0,09;0,14;0,4;0,68
4108;30940;34354P10;FLOWSERVE CORP;FLS;01/12/2019;7;6;3;85,71%;42,86%;31/12/2019;31/12/2019;29/02/2020;0,3;0,11;0,14;0,13;0,63;1,73
4818;88853;34341210;FLUOR CORP;FLR;01/12/2019;7;7;3;100,00%;42,86%;31/12/2019;31/12/2019;29/02/2020;0,59;-0,06;-0,74;-0,14;0,8;4,29
4510;19166;30249130;FMC CORP;FMC;01/12/2019;5;3;3;60,00%;60,00%;31/12/2019;31/12/2019;29/02/2020;0,22;0,12;0,17;0,18;0,74;2,89
4839;25785;34537086;FORD MOTOR CO;F;01/12/2019;5;3;2;60,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,91;0,06;0;0,03;0,87;6,79
28118;79089;34988V10;FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2019;5;5;5;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;1,27;0,05;-0,1;0,02;0,69;2,19
14590;81774;35671D85;FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2019;5;5;2;100,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,71;0,06;-0,02;0,04;0,57;2,51
19574;14490;36472T10;GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);GCI;01/12/2019;8;8;4;100,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;1,2;0,07;-0,14;0,04;0,76;3,09
5046;12052;36955010;GENERAL DYNAMICS CORP;GD;01/12/2019;7;4;4;57,14%;57,14%;31/12/2019;31/12/2019;29/02/2020;0,28;0,11;0,26;0,18;0,72;2,6
5047;12060;36960410;GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2019;14;12;14;85,71%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,29;0,05;0,01;0,07;0,89;8,33
5125;46674;37246010;GENUINE PARTS CO;GPC;01/12/2019;7;5;6;71,43%;85,71%;31/12/2019;31/12/2019;29/02/2020;0,25;0,1;0,16;0,15;0,75;2,98
158354;90162;37247D10;GENWORTH FINANCIAL INC;GNW;01/12/2019;5;2;5;40,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;6,4;0,01;0,03;0,05;0,86;6,11
24856;77274;37555810;GILEAD SCIENCES INC;GILD;01/12/2019;4;3;3;75,00%;75,00%;31/12/2019;31/12/2019;29/02/2020;0,27;0,1;0,25;0,11;0,63;1,73
114628;86868;38141G10;GOLDMAN SACHS GROUP INC;GS;01/12/2019;4;4;1;100,00%;25,00%;31/12/2019;31/12/2019;29/02/2020;0,95;0,03;0,11;0,04;0,91;9,98
5234;16432;38255010;GOODYEAR TIRE & RUBBER CO;GT;01/12/2019;6;5;2;83,33%;33,33%;31/12/2019;31/12/2019;29/02/2020;1,23;0,09;-0,07;0,08;0,74;2,91
5439;23819;40621610;HALLIBURTON CO;HAL;01/12/2019;6;3;5;50,00%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,37;0,14;-0,13;0,1;0,68;2,17
61739;82775;41651510;HARTFORD FINANCIAL SERVICES GROUP INC;HIG;01/12/2019;6;5;6;83,33%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,73;0,05;0,15;0,14;0,77;3,35
5518;52978;41805610;HASBRO INC;HAS;01/12/2019;6;6;5;100,00%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,21;0,12;0,22;0,13;0,66;1,96
5597;16600;42786610;HERSHEY CO (THE);HSY;01/12/2019;7;7;3;100,00%;42,86%;31/12/2019;31/12/2019;29/02/2020;0,06;0,25;0,65;0,28;0,79;3,68
1380;28484;42809H10;HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;6;6;3;100,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,45;0,13;-0,04;0,04;0,55;1,38
1300;10145;43851610;HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2019;7;6;4;85,71%;57,14%;31/12/2019;31/12/2019;29/02/2020;0,16;0,15;0,31;0,21;0,68;2,16
27914;48653;44485910;HUMANA INC;HUM;01/12/2019;3;1;2;33,33%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,26;0,14;0,24;0,19;0,59;1,42
5786;42906;44615010;HUNTINGTON BANCSHARES INC;HBAN;01/12/2019;3;2;3;66,67%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,7;0,02;0,14;0,09;0,89;8,24
5878;56573;45230810;ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2019;5;5;2;100,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,06;0,26;0,66;0,32;0,8;3,98
6008;59328;45814010;INTEL CORP;INTC;01/12/2019;4;3;2;75,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,31;0,25;0,27;0,22;0,43;0,76
163610;90993;45866F10;INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);ICE;01/12/2019;4;3;2;75,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,38;0,04;0,1;0,11;0,82;4,47
6066;12490;45920010;INTERNATIONAL BUSINESS MACHINES (IBM) CORP;IBM;01/12/2019;7;6;7;85,71%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,22;0,12;0,41;0,14;0,86;6,3
6078;40272;45950610;INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,5;0,08;0,07;0,07;0,52;1,12
6136;53065;46069010;INTERPUBLIC GROUP OF COMPANIES INC;IPG;01/12/2019;10;8;10;80,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,34;0,08;0,23;0,16;0,83;5,32
136725;88352;46120E60;INTUITIVE SURGICAL INC;ISRG;01/12/2019;5;2;2;40,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,12;0,18;0,18;0,18;0,15;0,18
6266;22111;47816010;JOHNSON & JOHNSON;JNJ;01/12/2019;4;3;1;75,00%;25,00%;31/12/2019;31/12/2019;29/02/2020;0,17;0,18;0,23;0,24;0,62;1,65
2968;47896;46625H10;JPMORGAN CHASE & CO;JPM;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,56;0,03;0,15;0,08;0,9;9,28
121718;86979;48203R10;JUNIPER NETWORKS INC;JNPR;01/12/2019;5;5;4;100,00%;80,00%;31/12/2019;31/12/2019;29/02/2020;0,56;0,08;0,07;0,07;0,48;0,92
6375;26825;48783610;KELLANOVA CO (Kellogg Co prior to 10/2023);K;01/12/2019;5;5;2;100,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,14;0,13;0,29;0,15;0,81;5,19
9783;64995;49326710;KEYCORP;KEY;01/12/2019;4;3;2;75,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,77;0,02;0,12;0,11;0,88;7,51
9783;64995;49326710;KEYERA CORP;KEY;01/12/2019;3;3;0;100,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;0,77;0,02;0,12;0,11;0,88;7,51
6435;17750;49436810;KIMBERLY-CLARK CORP;KMB;01/12/2019;9;6;9;66,67%;100,00%;31/12/2019;31/12/2019;29/02/2020;;0,28;;0,43;0,99;-456,36
6310;12558;49456B10;KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011);KMI;01/12/2019;5;5;4;100,00%;80,00%;31/12/2019;31/12/2019;29/02/2020;0,7;0,08;0,06;0,06;0,53;1,16
14960;12062;50540R40;LABCORP HOLDINGS INC (Laboratory Corporation of America Holdings (Labcorp) prior to 05/2024);LH;01/12/2019;18;10;12;55,56%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,51;0,12;0,1;0,11;0,58;1,38
6649;60943;52466010;LEGGETT & PLATT INC;LEG;01/12/2019;11;9;9;81,82%;81,82%;31/12/2019;31/12/2019;29/02/2020;0,23;0,17;0,24;0,18;0,73;2,67
7585;22779;62007630;LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022);MSI;01/12/2019;5;5;0;100,00%;0,00%;31/12/2019;31/12/2019;29/02/2020;;0,2;;0,36;1,06;-16,18
