Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
7435;22592;88579Y10;3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2019;6;6;5;100,00%;83,33%;31/12/2019;31/12/2019;29/02/2020;0,1;0,21;0,45;0,25;0,77;3,43
1078;20482;00282410;ABBOTT LABORATORIES;ABT;01/12/2019;6;3;1;50,00%;16,67%;31/12/2019;31/12/2019;29/02/2020;0,21;0,12;0,11;0,1;0,54;1,18
125595;87299;00971T10;AKAMAI TECHNOLOGIES INC;AKAM;01/12/2019;9;8;5;88,89%;55,56%;31/12/2019;31/12/2019;29/02/2020;0,26;0,16;0,14;0,11;0,48;0,92
27638;16347;01387210;ALCOA CORP;AA;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;1,09;0,11;-0,23;0,13;0,6;2,13
28349;79323;02000210;ALLSTATE CORP;ALL;01/12/2019;4;4;3;100,00%;75,00%;31/12/2019;31/12/2019;29/02/2020;0,69;0,06;0,22;0,23;0,78;3,6
160329;90319;02079K30;ALPHABET INC (Google Inc prior to 10/2015);GOOGL;01/12/2019;3;2;1;66,67%;33,33%;31/12/2019;31/12/2019;29/02/2020;0,22;0,19;0,18;0,18;0,27;0,37
32530;17034;02136910;ALTAIR ENGINEERING INC;ALTR;01/12/2019;4;3;2;75,00%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,14;0,05;-0,02;0,02;0,52;1,08
8543;13901;02209S10;ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2019;5;3;2;60,00%;40,00%;31/12/2019;31/12/2019;29/02/2020;0,12;0,21;-0,08;0,28;0,87;6,9
64768;84788;02313510;AMAZON.COM INC;AMZN;01/12/2019;4;4;4;100,00%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,07;0,15;0,22;0,12;0,72;2,63
1440;24109;02553710;AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2019;11;9;11;81,82%;100,00%;31/12/2019;31/12/2019;29/02/2020;0,59;0,07;0,07;0,05;0,74;2,84
1487;66800;02687478;AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2019;9;9;5;100,00%;55,56%;31/12/2019;31/12/2019;29/02/2020;1,46;0,02;0,05;0,07;0,87;6,97
164708;90880;03076C10;AMERIPRISE FINANCIAL INC;AMP;01/12/2019;4;4;3;100,00%;75,00%;31/12/2019;31/12/2019;29/02/2020;0,28;0,02;0,33;0,21;0,96;25,5
1602;14008;03116210;AMGEN INC;AMGN;01/12/2019;8;7;4;87,50%;50,00%;31/12/2019;31/12/2019;29/02/2020;0,07;0,19;0,66;0,22;0,84;5,17
14282;84769;03209510;AMPHENOL CORP;APH;01/12/2019;6;5;4;83,33%;66,67%;31/12/2019;31/12/2019;29/02/2020;0,15;0,19;0,25;0,2;0,58;1,37
