Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
002403;19393;BMY;11012210;31/12/2019;31/12/2019;29/02/2020;0,4;0,1;0,1;0,11;0,6;1,52
002285;19561;BA;09702310;31/12/2019;31/12/2019;29/02/2020;;0,06;;0,35;1,06;-16,47
001078;20482;ABT;00282410;31/12/2019;31/12/2019;29/02/2020;0,21;0,12;0,11;0,1;0,54;1,18
006774;21178;LMT;53983010;31/12/2019;31/12/2019;29/02/2020;0,03;0,21;2,66;0,52;0,93;14,19
007881;21207;NEM;65163910;31/12/2019;31/12/2019;29/02/2020;0,68;0,12;0,16;0,07;0,44;0,82
006104;21573;IP;46014610;31/12/2019;31/12/2019;29/02/2020;0,57;0,11;0,12;0,1;0,77;3,34
008539;21776;EXC;30161N10;31/12/2019;31/12/2019;29/02/2020;1,01;0,07;0,07;0,07;0,72;2,81
005742;21792;CNP;15189T10;31/12/2019;31/12/2019;29/02/2020;0,77;0,09;0,08;0,08;0,76;3,24
008530;21936;PFE;71708110;31/12/2019;31/12/2019;29/02/2020;0,32;0,12;0,24;0,13;0,62;1,65
006266;22111;JNJ;47816010;31/12/2019;31/12/2019;29/02/2020;0,17;0,18;0,23;0,24;0,62;1,65
003532;22293;GLW;21935010;31/12/2019;31/12/2019;29/02/2020;0,49;0,12;0,08;0,1;0,55;1,23
008247;22509;PPG;69350610;31/12/2019;31/12/2019;29/02/2020;0,18;0,15;0,23;0,19;0,69;2,33
008455;22517;PPL;69351T10;31/12/2019;31/12/2019;29/02/2020;0,59;0,09;0,11;0,08;0,72;2,52
007435;22592;MMM;88579Y10;31/12/2019;31/12/2019;29/02/2020;0,1;0,21;0,45;0,25;0,77;3,43
007257;22752;MRK;58933Y10;31/12/2019;31/12/2019;29/02/2020;0,12;0,22;0,35;0,28;0,69;2,25
007585;22779;MSI;62007630;31/12/2019;31/12/2019;29/02/2020;;0,2;;0,36;1,06;-16,18
008099;23026;FE;33793210;31/12/2019;31/12/2019;29/02/2020;0,37;0,09;0,1;0,09;0,84;5,06
003439;23229;CMS;12589610;31/12/2019;31/12/2019;29/02/2020;0,38;0,09;0,1;0,07;0,81;4,31
014824;23473;CINF;17206210;31/12/2019;31/12/2019;29/02/2020;0,64;0,11;0,21;0,26;0,61;1,58
011550;23536;WEC;92939U10;31/12/2019;31/12/2019;29/02/2020;0,48;0,07;0,08;0,07;0,71;2,43
010519;23579;TXT;88320310;31/12/2019;31/12/2019;29/02/2020;0,55;0,1;0,15;0,11;0,63;1,72
008810;23712;PEG;74457310;31/12/2019;31/12/2019;29/02/2020;0,72;0,07;0,08;0,06;0,68;2,16
005439;23819;HAL;40621610;31/12/2019;31/12/2019;29/02/2020;0,37;0,14;-0,13;0,1;0,68;2,17
135484;23887;FTR;35906A30;31/12/2019;31/12/2019;29/02/2020;;0,16;;0,09;1,25;-4,98
007977;23931;XEL;98389B10;31/12/2019;31/12/2019;29/02/2020;0,53;0,08;0,08;0,07;0,74;2,81
007366;24010;ETR;29364G10;31/12/2019;31/12/2019;29/02/2020;0,62;0,07;0,09;0,06;0,8;3,94
001440;24109;AEP;02553710;31/12/2019;31/12/2019;29/02/2020;0,59;0,07;0,07;0,05;0,74;2,84
004517;24205;NEE;65339F10;31/12/2019;31/12/2019;29/02/2020;0,38;0,09;0,09;0,07;0,64;2,05
004430;24328;EQT;26884L10;31/12/2019;31/12/2019;29/02/2020;4,06;0,09;-0,1;0,01;0,48;0,92
008606;24459;PBI;72447910;31/12/2019;31/12/2019;29/02/2020;0,82;0,07;0,07;0,07;0,95;18,11
028192;24643;ARNC;03965L10;31/12/2019;31/12/2019;29/02/2020;0,35;0,13;0,09;0,16;0,74;2,81
007985;24766;NOC;66680710;31/12/2019;31/12/2019;29/02/2020;0,15;0,13;0,26;0,17;0,79;3,66
008972;24942;RTN;75511150;31/12/2019;31/12/2019;29/02/2020;0,2;0,16;0,28;0,28;0,65;1,83
010860;24985;AEE;02360810;31/12/2019;31/12/2019;29/02/2020;0,58;0,08;0,08;0,07;0,72;2,53
003231;25081;CMA;20034010;31/12/2019;31/12/2019;29/02/2020;0,72;0,03;0,16;0,13;0,9;9,02
008151;25232;OKE;68268010;31/12/2019;31/12/2019;29/02/2020;0,22;0,12;0,19;0,11;0,71;2,5
011465;25419;WHR;96332010;31/12/2019;31/12/2019;29/02/2020;0,35;0,1;0,43;0,14;0,78;4,62
004839;25785;F;34537086;31/12/2019;31/12/2019;29/02/2020;0,91;0,06;0;0,03;0,87;6,79
004058;25953;DOV;26000310;31/12/2019;31/12/2019;29/02/2020;0,2;0,16;0,21;0,17;0,65;1,86
003424;26607;BH;08986R30;31/12/2019;31/12/2019;29/02/2020;9,44;0,03;0,07;0,01;0,46;0,85
006781;26710;L;54042410;31/12/2019;31/12/2019;29/02/2020;1,33;0,03;0,05;0,05;0,73;3,15
006375;26825;K;48783610;31/12/2019;31/12/2019;29/02/2020;0,14;0,13;0,29;0,15;0,81;5,19
003107;27422;CLF;18589910;31/12/2019;31/12/2019;29/02/2020;0,16;0,15;0,09;0,18;0,9;8,79
009299;27633;R;78354910;31/12/2019;31/12/2019;29/02/2020;1,26;0,16;-0,01;0,03;0,83;4,85
002086;27887;BAX;07181310;31/12/2019;31/12/2019;29/02/2020;0,19;0,16;0,12;0,15;0,57;1,3
004093;27959;DUK;26441C20;31/12/2019;31/12/2019;29/02/2020;0,81;0,07;0,07;0,05;0,7;2,37
011636;27983;XRX;98421M10;31/12/2019;31/12/2019;29/02/2020;0,72;0,11;0,12;0,12;0,61;1,6
001075;27991;PNW;72348410;31/12/2019;31/12/2019;29/02/2020;0,75;0,07;0,07;0,06;0,7;2,38
