Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
014282;84769;APH;03209510;31/12/2019;31/12/2019;29/02/2020;0,15;0,19;0,25;0,2;0,58;1,37
064768;84788;AMZN;02313510;31/12/2019;31/12/2019;29/02/2020;0,07;0,15;0,22;0,12;0,72;2,63
015247;85269;VLO;91913Y10;31/12/2019;31/12/2019;29/02/2020;0,7;0,1;0,09;0,12;0,58;1,44
065417;85348;YUM;98849810;31/12/2019;31/12/2019;29/02/2020;;0,45;;0,72;2,53;-1,65
065609;85459;CHRW;12541W20;31/12/2019;31/12/2019;29/02/2020;0,16;0,2;0,35;0,25;0,64;1,78
066368;85753;VRSN;92343E10;31/12/2019;31/12/2019;29/02/2020;;0,45;;2,3;1,8;-2,24
066446;85792;PWR;74762E10;31/12/2019;31/12/2019;29/02/2020;0,74;0,13;0,1;0,13;0,51;1,06
028930;85913;MAR;57190320;31/12/2019;31/12/2019;29/02/2020;0,02;0,1;0,69;0,17;0,97;34,63
009555;85926;SEE;81211K10;31/12/2019;31/12/2019;29/02/2020;;0,17;;0,22;1,03;-30,38
109079;85939;RLH;75676410;31/12/2019;31/12/2019;29/02/2020;1,55;0,04;-0,12;-0,03;0,4;0,69
066731;86102;FII;31421110;31/12/2019;31/12/2019;29/02/2020;0,37;0,22;0,25;0,31;0,33;0,6
008272;86136;SRE;81685110;31/12/2019;31/12/2019;29/02/2020;0,46;0,07;0,1;0,06;0,67;2,2
111864;86158;CTSH;19244610;31/12/2019;31/12/2019;29/02/2020;0,33;0,21;0,16;0,23;0,32;0,47
112168;86228;RSG;76075910;31/12/2019;31/12/2019;29/02/2020;0,28;0,13;0,13;0,11;0,64;1,79
114524;86356;EBAY;27864210;31/12/2019;31/12/2019;29/02/2020;0,19;0,15;0,24;0,18;0,84;5,33
119314;86783;BKNG;09857L10;31/12/2019;31/12/2019;29/02/2020;0,08;0,27;0,61;0,33;0,72;2,61
120093;86799;CNX;12653C10;31/12/2019;31/12/2019;29/02/2020;2,81;0,09;-0,02;0,03;0,45;0,99
114628;86868;GS;38141G10;31/12/2019;31/12/2019;29/02/2020;0,95;0,03;0,11;0,04;0,91;9,98
121718;86979;JNPR;48203R10;31/12/2019;31/12/2019;29/02/2020;0,56;0,08;0,07;0,07;0,48;0,92
014934;87137;DVN;25179M10;31/12/2019;31/12/2019;29/02/2020;0,62;0,1;-0,01;0,01;0,57;1,34
124434;87267;BLK;09247X10;31/12/2019;31/12/2019;29/02/2020;0,48;0,04;0,12;0,15;0,79;3,99
125595;87299;AKAM;00971T10;31/12/2019;31/12/2019;29/02/2020;0,26;0,16;0,14;0,11;0,48;0,92
010920;87447;UPS;91131210;31/12/2019;31/12/2019;29/02/2020;0,05;0,19;0,93;0,29;0,94;16,7
133366;87657;EW;28176E10;31/12/2019;31/12/2019;29/02/2020;0,09;0,23;0,29;0,3;0,36;0,56
004494;87717;EXPD;30213010;31/12/2019;31/12/2019;29/02/2020;0,17;0,23;0,28;0,34;0,4;0,68
133768;87842;MET;59156R10;31/12/2019;31/12/2019;29/02/2020;1,54;0,01;0,09;0,1;0,91;9,69
024316;88031;MNST;61174X10;31/12/2019;31/12/2019;29/02/2020;0,12;0,31;0,28;0,36;0,19;0,23
136725;88352;ISRG;46120E60;31/12/2019;31/12/2019;29/02/2020;0,12;0,18;0,18;0,18;0,15;0,18
004818;88853;FLR;34341210;31/12/2019;31/12/2019;29/02/2020;0,59;-0,06;-0,74;-0,14;0,8;4,29
165993;89003;FIS;31620M10;31/12/2019;31/12/2019;29/02/2020;0,63;0,07;0,01;0,04;0,41;0,69
142953;89006;MDLZ;60920710;31/12/2019;31/12/2019;29/02/2020;0,39;0,08;0,13;0,1;0,58;1,36
144559;89070;ZBH;98956P10;31/12/2019;31/12/2019;29/02/2020;0,43;0,1;0,09;0,07;0,5;0,99
145046;89179;ANTM;03675210;31/12/2019;31/12/2019;29/02/2020;0,44;0,1;0,15;0,13;0,59;1,44
145701;89195;PFG;74251V10;31/12/2019;31/12/2019;29/02/2020;1,08;0,01;0,1;0,1;0,95;17,86
143356;89258;PRU;74432010;31/12/2019;31/12/2019;29/02/2020;1,69;0,01;0,07;0,08;0,93;13,2
147579;89393;NFLX;64110L10;31/12/2019;31/12/2019;29/02/2020;0,05;0,09;0,29;0,13;0,78;3,48
003226;89525;CMCSA;20030N10;31/12/2019;31/12/2019;29/02/2020;0,54;0,13;0,12;0,11;0,68;2,15
149318;89533;WYNN;98313410;31/12/2019;31/12/2019;29/02/2020;0,12;0,11;0,07;0,08;0,89;7,07
149070;89626;CME;12572Q10;31/12/2019;31/12/2019;29/02/2020;0,44;0,04;0,07;0,09;0,65;1,88
157057;90038;AIZ;04621X10;31/12/2019;31/12/2019;29/02/2020;0,68;0,05;0,08;0,1;0,87;6,5
135990;90071;NRG;62937750;31/12/2019;31/12/2019;29/02/2020;0,17;0,15;;0,2;0,87;6,55
158354;90162;GNW;37247D10;31/12/2019;31/12/2019;29/02/2020;6,4;0,01;0,03;0,05;0,86;6,11
260774;90199;CBRE;12504L10;31/12/2019;31/12/2019;29/02/2020;0,31;0,12;0,23;0,15;0,61;1,59
160329;90319;GOOGL;02079K30;31/12/2019;31/12/2019;29/02/2020;0,22;0,19;0,18;0,18;0,27;0,37
162129;90386;MOS;61945C10;31/12/2019;31/12/2019;29/02/2020;1,25;0,07;-0,1;0,03;0,51;1,08
149337;90601;NDAQ;63110310;31/12/2019;31/12/2019;29/02/2020;0,35;0,09;0,13;0,12;0,6;1,47
164296;90805;DISCA;25470F10;31/12/2019;31/12/2019;29/02/2020;0,67;0,14;0,19;0,12;0,65;2,2
126296;90808;EXPE;30212P30;31/12/2019;31/12/2019;29/02/2020;0,26;0,09;0,14;0,11;0,74;4
163946;90829;CF;12526910;31/12/2019;31/12/2019;29/02/2020;0,4;0,14;0,12;0,13;0,54;2,26
164708;90880;AMP;03076C10;31/12/2019;31/12/2019;29/02/2020;0,28;0,02;0,33;0,21;0,96;25,5
163610;90993;ICE;45866F10;31/12/2019;31/12/2019;29/02/2020;0,38;0,04;0,1;0,11;0,82;4,47
165914;91068;CMG;16965610;31/12/2019;31/12/2019;29/02/2020;0,07;0,2;0,22;;0,67;2,03
160225;91233;MA;57636Q10;31/12/2019;31/12/2019;29/02/2020;0,02;0,38;1,42;0,72;0,8;3,94
174729;91392;WYND;98310W10;31/12/2019;31/12/2019;29/02/2020;;0,14;;0,19;1,07;-15,05
175263;91461;WU;95980210;31/12/2019;31/12/2019;29/02/2020;;0,15;;0,33;1;-222,73
165123;91547;LDOS;52532710;31/12/2019;31/12/2019;29/02/2020;0,26;0,12;0,19;0,14;0,64;1,74
175404;91611;FSLR;33643310;31/12/2019;31/12/2019;29/02/2020;0,86;0,06;-0,02;0,04;0,32;0,47
017874;91937;TMUS;87259010;31/12/2019;31/12/2019;29/02/2020;0,51;0,16;0,11;0,1;0,67;2,02
177376;92121;DFS;25470910;31/12/2019;31/12/2019;29/02/2020;0,43;0,04;0,27;0,13;0,9;8,61
178310;92293;TDC;88076W10;31/12/2019;31/12/2019;29/02/2020;0,09;0,1;-0,05;0,06;0,87;6,85
179621;92602;PM;71817210;31/12/2019;31/12/2019;29/02/2020;;0,3;;0,59;1,22;-4,53
010903;92655;UNH;91324P10;31/12/2019;31/12/2019;29/02/2020;0,22;0,14;0,24;0,21;0,64;1,94
154357;93422;QEP;74733V10;31/12/2019;31/12/2019;29/02/2020;2,74;0,13;-0,03;0,04;0,51;1,06
