BvDEP ID number;Ticker;Account date;Total assets;Working capital;Enterprise value;Sales;Gross profit;P/L before tax;P/L after tax;Research & Development Expenses;EBITDA;Return on capital employed (%);Return on total assets (%)
AT9110473471;HST;31/12/2017;8798344;-3830;51686195;300000;310533;2152439;2148939;;-47471;26,3;24,46
BE0465281284;ICE;31/12/2017;4173320;197818;3896604;34306;;-167134;-167134;;44468;-4,94;-4,01
BG203476985;SO;31/12/2017;10017000;6531000;;23990000;;1780000;1597000;;2155000;24,04;17,77
BG812020577;SLB;31/12/2017;47688000;-2701000;8719245;2610000;;-611000;-611000;;369000;-1,31;-1,28
BG832082699;ETR;31/12/2017;12327000;3210000;30962999;7305000;;6000;24000;;976000;5,89;0,05
BG833045174;SUN;31/12/2017;21927000;3404000;23169164;7213000;;8000;6000;;567000;56,95;0,04
BG838168266;HES;31/12/2017;42532000;8962000;88219959;55141000;;5026000;4483000;;7926000;15,15;11,82
CHCHE102210767;SUN;31/12/2017;4117000000;956000000;4274812029;3049000000;600000000;125000000;87000000;81000000;277000000;5,38;3,04
DE2151001735;TEG;31/12/2017;4634540000;49389000;4579374957;251202000;549905000;396519000;313674000;;482751000;11,26;8,56
DE2151001735;TEG;31/12/2017;2230007941;-418110;2666013914;47396018;49450970;93334005;76294899;;-2391290;7,23;4,19
DE3210000462;GME;31/12/2017;28466701;8453604;54218125;21030779;13823283;463615;222355;;1768083;3,75;1,63
DE3210000462;GME;31/12/2017;23116369;5663412;54289120;12962862;7871453;1382815;828664;;2334541;6,23;5,98
DE4170123108;CAG;31/12/2017;147123000;1705000;;2744000;6250000;-3389000;-2943000;;-4312000;-2,21;-2,3
DE4170123108;CAG;31/12/2017;117225486;-390576;;281000;1604768;32692989;33151835;;-1193217;;27,89
DE5030147137;DTE;31/12/2017;1,41334E+11;604000000;1,19446E+11;74947000000;42918000000;4993000000;5551000000;;23970000000;6,6;3,53
DE5050416757;TSS;31/12/2017;105336000;16366000;144682575;98042000;70295000;27102000;22029000;;18248000;28,64;25,73
DE5050625301;LEG;31/12/2017;10013000000;-57400000;10467152746;1911500000;1440200000;1120300000;844800000;;1408100000;12,88;11,19
DE5050625301;LEG;31/12/2017;4863405758;3827146;7322611130;;2768090599;2747290452;2741153952;;;58,3;56,49
DE5110000576;HOT;31/12/2017;13348758000;-1122836000;8671191687;22630950000;6519397000;823619000;582487000;;1160508000;16,6;6,17
DE5110000576;HOT;31/12/2017;3735046000;3470000;11011976687;66405000;288908000;422958000;416189000;;178117000;14,34;11,32
DE6050108507;MRK;31/12/2017;35621000000;3360000000;20045491938;15327000000;11256000000;2225000000;2610000000;2140000000;4378000000;9,46;6,25
DE8170054051;NEM;31/12/2017;460782000;33383000;933754458;395568000;395124000;94401000;76830000;;115622000;28,5;20,49
