Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
PINNACLE WEST CAPITAL CORP;001075;PNW;31/12/2018;2018;INDL;C;D;STD;USD;17664,20;1203,35;773,69;1356,04;1356,04;511,05;3691,25;A
ABBOTT LABORATORIES;001078;ABT;31/12/2018;2018;INDL;C;D;STD;USD;67173,00;1394,00;4284,00;7562,00;19201,00;2368,00;30578,00;A
ADVANCED MICRO DEVICES;001161;AMD;31/12/2018;2018;INDL;C;D;STD;USD;4556,00;163,00;496,00;590,00;2586,00;337,00;6475,00;A
AIR PRODUCTS & CHEMICALS INC;001209;APD;30/09/2018;2018;INDL;C;D;STD;USD;19178,30;1568,40;1891,30;2862,00;3687,30;1497,80;8930,20;A
HONEYWELL INTERNATIONAL INC;001300;HON;31/12/2018;2018;INDL;C;D;STD;USD;57773,00;828,00;7755,00;8871,00;14683,00;6765,00;41802,00;A
HESS CORP;001380;HES;31/12/2018;2018;INDL;C;D;STD;USD;21433,00;2097,00;639,00;2543,00;3266,00;-282,00;6323,00;A
AMERICAN ELECTRIC POWER CO;001440;AEP;31/12/2018;2018;INDL;C;D;STD;USD;68802,80;6357,00;2738,70;5025,30;5025,30;1923,80;16195,70;A
AMERICAN EXPRESS CO;001447;AXP;31/12/2018;2018;FS;C;D;STD;USD;188602,00;;;;;;;A
AMERICAN EXPRESS CO;001447;AXP;31/12/2018;2018;INDL;C;D;STD;USD;188602,00;1311,00;8967,00;10260,00;10260,00;6921,00;43281,00;A
AFLAC INC;001449;AFL;31/12/2018;2018;FS;C;D;STD;USD;140406,00;;;;;;;A
AFLAC INC;001449;AFL;31/12/2018;2018;INDL;C;D;STD;USD;140406,00;0,00;4290,00;4338,00;4338,00;2920,00;21768,00;A
AMERICAN INTERNATIONAL GROUP;001487;AIG;31/12/2018;2018;FS;C;D;STD;USD;491984,00;;;;;;;A
AMERICAN INTERNATIONAL GROUP;001487;AIG;31/12/2018;2018;INDL;C;D;STD;USD;491984,00;0,00;2225,00;7587,00;7587,00;-6,00;47560,00;A
AMGEN INC;001602;AMGN;31/12/2018;2018;INDL;C;D;STD;USD;66416,00;738,00;10563,00;12509,00;21593,00;8394,00;23747,00;A
ANALOG DEVICES INC;001632;ADI;31/10/2018;2018;INDL;C;D;STD;USD;20449,78;254,88;1968,65;2767,72;4603,46;1495,43;6200,94;A
NABORS INDUSTRIES LTD;001661;NBR;31/12/2018;2018;INDL;C;D;STD;USD;7853,94;458,94;-118,13;748,74;1080,65;-640,95;3057,62;A
APA CORP;001678;APA;31/12/2018;2018;INDL;C;D;STD;USD;21582,00;3904,00;1494,00;4221,00;4941,00;40,00;7331,00;A
APPLE INC;001690;AAPL;30/09/2018;2018;INDL;C;D;STD;USD;365725,00;13313,00;70662,00;79962,00;110903,00;59531,00;265359,00;A
APPLIED MATERIALS INC;001704;AMAT;31/10/2018;2018;INDL;C;D;STD;USD;17773,00;622,00;4801,00;5258,00;8255,00;3313,00;17253,00;A
ARCHER-DANIELS-MIDLAND CO;001722;ADM;31/12/2018;2018;INDL;C;D;STD;USD;40833,00;842,00;2020,00;2961,00;5122,00;1810,00;64341,00;A
AUTODESK INC;001878;ADSK;31/01/2018;2017;INDL;C;D;STD;USD;4113,60;50,70;-393,60;-289,40;1837,20;-566,90;2056,60;A
AUTOMATIC DATA PROCESSING;001891;ADP;30/06/2018;2018;INDL;C;D;STD;USD;37088,70;206,10;2625,10;3002,70;5860,80;1620,80;13325,80;A
