Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
AUTONATION INC;9063;76282;05329W10;AN;31/12/2018;4;2;3;0,5;0,75;0,87;0,09;0,15;0,08;0,75;2,93;USD;10665,1;400,8;730,7;896,9;3397,3;396;21412,8;A
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2018;9;9;9;1;1;1,02;0,02;0,12;0,07;0,89;7,87;USD;2354507;;;;;;;A
BANK OF AMERICA CORP;7647;59408;06050510;BAC;31/12/2018;9;9;9;1;1;1,02;0,02;0,12;0,07;0,89;7,87;USD;2354507;0;48980;51043;88694;28147;111313;A
BANK OF NEW YORK MELLON CORP;2019;49656;06405810;BK;31/12/2018;6;6;3;1;0,5;0,88;0,03;0,11;0,09;0,89;7,92;USD;362873;;;;;;;A
BANK OF NEW YORK MELLON CORP;2019;49656;06405810;BK;31/12/2018;6;6;3;1;0,5;0,88;0,03;0,11;0,09;0,89;7,92;USD;362873;1108;7999;9338;16403;4266;19213;A
BAXTER INTERNATIONAL INC;2086;27887;07181310;BAX;31/12/2018;6;5;5;0,8333;0,8333;0,24;0,16;0,19;0,15;0,5;1;USD;15641;681;1767;2540;5606;1624;11127;A
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2018;5;5;0;1;0;0,19;0,14;0,21;0,13;0,58;1,41;USD;20999;316;1906;2801;7325;1671;9823;A
BIOGEN INC;24468;76841;09062X10;BIIB;31/12/2018;4;0;3;0;0,75;0,25;0,29;0,32;0,34;0,48;0,94;USD;25288,9;770,6;6386;7100,9;11793,5;4430,7;13452,9;A
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2018;8;4;8;0,5;1;0,58;0,03;0,12;0,15;0,79;3,89;USD;159573;;;;;;;A
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2018;8;4;8;0,5;1;0,58;0,03;0,12;0,15;0,79;3,89;USD;159573;204;5595;5799;5799;4305;14198;A
BOEING CO;2285;19561;09702310;BA;31/12/2018;7;6;4;0,8571;0,5714;0,01;0,13;4,9;0,93;1;344,98;USD;117359;1722;11870;13698;21534;10460;101127;A
BORGWARNER INC;28742;79545;09972410;BWA;31/12/2018;5;3;3;0,6;0,6;0,59;0,17;0,23;0,21;0,57;1,36;USD;10095,3;546,6;1283,7;1715;2660,7;930,7;10529,6;A
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2018;5;5;5;1;1;0,19;0,14;0,21;0,13;0,58;1,41;USD;20999;316;1906;2801;7325;1671;9823;A
BRISTOL-MYERS SQUIBB CO;2403;19393;11012210;BMY;31/12/2018;6;6;6;1;1;0,17;0,17;0,38;0,25;0,6;1,49;USD;34986;951;5238;5941;16758;4920;22561;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2018;3;3;0;1;0;0,46;0,04;0,1;0,11;0,81;4,39;USD;92791;;;;;;;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2018;3;3;0;1;0;0,46;0,04;0,1;0,11;0,81;4,39;USD;92791;280;2620;3202;3916;1988;6271;A
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2018;4;4;2;1;0,5;1,33;0,03;0,13;0,08;0,86;6,2;USD;372538;;;;;;;A
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2018;4;4;2;1;0,5;1,33;0,03;0,13;0,08;0,86;6,2;USD;372538;874;8425;9327;9327;6015;31831;A
CATERPILLAR INC;2817;18542;14912310;CAT;31/12/2018;4;3;4;0,75;1;0,2;0,16;0,43;0,19;0,82;4,59;USD;78509;2916;9578;12344;19672;6147;54722;A
CELGENE CORP;13599;11552;15102010;CELG;31/12/2018;7;4;2;0,5714;0,2857;0,2;0,22;0,47;0,26;0,83;4,76;USD;35480;330;6464;7098;14860;4046;15281;I
CENTERPOINT ENERGY INC;5742;21792;15189T10;CNP;31/12/2018;7;6;1;0,8571;0,1429;0,68;0,09;0,04;0,06;0,7;2,35;USD;27009;1651;924;2167;2167;368;10589;A
CERNER CORP;12850;10909;15678210;CERN;31/12/2018;5;3;1;0,6;0,2;0,31;0,22;0,12;0,15;0,27;0,36;USD;6708,64;446,93;824,97;1467,2;4773,61;630,06;5366,33;I
CF INDUSTRIES HOLDINGS INC;163946;90829;12526910;CF;31/12/2018;7;4;6;0,5714;0,8571;0,42;0,12;0,07;0,09;0,55;2,34;USD;12661;422;720;1592;1789;290;4429;A
C H ROBINSON WORLDWIDE INC;65609;85459;12541W20;CHRW;31/12/2018;6;5;6;0,8333;1;0,14;0,23;0,43;0,31;0,64;1,78;USD;4427,41;45;912,08;1008,81;2801,96;664,51;16631,17;A
SCHWAB (CHARLES) CORP;13988;75186;80851310;SCHW;31/12/2018;6;5;5;0,8333;0,8333;0,32;0,02;0,21;0,16;0,93;13,31;USD;296482;;;;;;;A
SCHWAB (CHARLES) CORP;13988;75186;80851310;SCHW;31/12/2018;6;5;5;0,8333;0,8333;0,32;0,02;0,21;0,16;0,93;13,31;USD;296482;570;4818;5124;5124;3507;10989;A
CHEVRON CORP;2991;14541;16676410;CVX;31/12/2018;5;5;5;1;1;0,82;0,13;0,09;0,08;0,39;0,64;USD;253863;13792;14446;33865;38913;14824;158902;A
CHIPOTLE MEXICAN GRILL INC;165914;91068;16965610;CMG;31/12/2018;3;2;1;0,6667;0,3333;0,12;0,26;0,13;;;;USD;2265,52;287,39;352,06;554,04;910,99;176,55;4864,99;A
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2018;9;5;4;0,5556;0,4444;0,67;0,02;0,03;0,03;0,64;1,8;USD;21935;;;;;;;A
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2018;9;5;4;0,5556;0,4444;0,67;0,02;0,03;0,03;0,64;1,8;USD;21935;20;304;335;335;287;5407;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2018;7;7;5;1;0,7143;1,44;0,02;0,1;0,05;0,9;8,77;USD;1917383;;;;;;;A
CITIGROUP INC;3243;70519;17296742;C;31/12/2018;7;7;5;1;0,7143;1,44;0,02;0,1;0,05;0,9;8,77;USD;1917383;3774;37695;41449;41449;18045;96720;A
CITRIX SYSTEMS INC;61676;82686;17737610;CTXS;31/12/2018;7;7;4;1;0,5714;0,04;0,15;0,73;0,25;0,89;8,3;USD;5136,05;69,35;694,69;836,58;2666,14;575,67;2973,9;I
CLEVELAND-CLIFFS INC;3107;27422;18589910;CLF;31/12/2018;4;4;3;1;0,75;0,19;0,23;;0,3;0,88;7,32;USD;3529,6;208,6;668,6;741,6;882,5;1128,1;2333,4;A
CME GROUP INC;149070;89626;12572Q10;CME;31/12/2018;7;3;2;0,4286;0,2857;0,47;0,04;0,07;0,09;0,66;1,99;USD;77475,7;;;;;;;A
CME GROUP INC;149070;89626;12572Q10;CME;31/12/2018;7;3;2;0,4286;0,2857;0,47;0,04;0,07;0,09;0,66;1,99;USD;77475,7;116,7;2607,6;2856,3;2856,3;1962,2;4309,4;A
CMS ENERGY CORP;3439;23229;12589610;CMS;31/12/2018;5;5;3;1;0,6;0,45;0,09;0,11;0,07;0,8;4,12;USD;24529;2074;1162;2095;2095;657;6873;A
CNX RESOURCES CORPORATION;120093;86799;12653C10;CNX;31/12/2018;3;3;3;1;1;2,08;0,13;0,18;0,08;0,41;0,81;USD;8592,17;1116,4;532,18;1025,6;1025,6;796,53;1740,49;A
COCA-COLA CO;3144;11308;19121610;KO;31/12/2018;5;5;2;1;0,4;0,09;0,13;0,35;0,16;0,77;3,78;USD;83216;1347;9748;10814;21152;6434;31856;A
COGNIZANT TECH SOLUTIONS;111864;86158;19244610;CTSH;31/12/2018;8;7;4;0,875;0,5;0,32;0,22;0,19;0,25;0,28;0,39;USD;15913;377;2920;3380;6287;2101;16125;A
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2018;7;6;7;0,8571;1;;0,35;;0,6;0,98;-117,29;USD;12161;436;3847;4358;9714;2400;15544;A
COMCAST CORP;3226;89525;20030N10;CMCSA;31/12/2018;5;5;2;1;0,4;0,64;0,14;0,12;0,12;0,71;2,48;USD;251684;10377;19182;30199;30199;11731;94507;A
COMERICA INC;3231;25081;20034010;CMA;31/12/2018;6;2;3;0,3333;0,5;0,68;0,03;0,16;0,15;0,89;8,43;USD;70818;;;;;;;A
COMERICA INC;3231;25081;20034010;CMA;31/12/2018;6;2;3;0,3333;0,5;0,68;0,03;0,16;0,15;0,89;8,43;USD;70818;90;2000;2120;3329;1235;3595;A
CONSOLIDATED EDISON INC;3413;11404;20911510;ED;31/12/2018;8;7;6;0,875;0,75;0,92;0,08;0,06;0,07;0,69;2,22;USD;53920;3251;2533;3971;3971;1382;12337;A
CORNING INC;3532;22293;21935010;GLW;31/12/2018;10;8;7;0,8;0,7;0,5;0,11;0,08;0,1;0,5;0,99;USD;27505;2242;1840;3133;5757;1066;11290;A
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2018;3;3;1;1;0,3333;;0,35;;0,6;0,98;-117,29;USD;12161;436;3847;4358;9714;2400;15544;A
CSX CORP;2574;62148;12640810;CSX;31/12/2018;7;5;4;0,7143;0,5714;0,38;0,17;0,16;0,18;0,66;1,92;USD;36729;1745;4773;6104;6104;3309;12250;A
CUMMINS INC;3650;41080;23102110;CMI;31/12/2018;6;5;1;0,8333;0,1667;0,36;0,16;0,28;0,25;0,57;1,47;USD;19062;709;2378;2986;6325;2141;23771;A
CVS HEALTH CORP;7241;17005;12665010;CVS;31/12/2018;7;4;5;0,5714;0,7143;0,78;0,09;-0,01;0,11;0,7;2,37;USD;196456;2037;10791;13509;33250;-594;194579;A
DANAHER CORP;3735;49680;23585110;DHR;31/12/2018;4;2;4;0,5;1;0,39;0,1;0,1;0,09;0,41;0,69;USD;47832,5;655,7;3473,8;4781,5;12431,6;2650,9;19893;A
DAVITA INC;61483;82307;23918K10;DVA;31/12/2018;5;5;4;1;0,8;0,5;0,11;0,13;0,11;0,74;3,8;USD;19110,25;987,14;1525,95;2116,98;3209,34;159,39;11404,85;A
DEVON ENERGY CORP;14934;87137;25179M10;DVN;31/12/2018;4;3;1;0,75;0,25;0,99;0,13;0,08;0,09;0,53;1,13;USD;19566;2506;1493;3305;4037;3064;10734;A
DISCOVER FINANCIAL SVCS;177376;92121;25470910;DFS;31/12/2018;4;4;4;1;1;0,54;0,04;0,26;0,12;0,9;8,84;USD;109553;;;;;;;A
DISCOVER FINANCIAL SVCS;177376;92121;25470910;DFS;31/12/2018;4;4;4;1;1;0,54;0,04;0,26;0,12;0,9;8,84;USD;109553;254;4498;4640;4640;2742;12848;A
DOMINION ENERGY INC;4029;64936;25746U10;D;31/12/2018;7;7;6;1;0,8571;0,52;0,08;0,1;0,08;0,72;2,78;USD;77914;4254;4227;6227;6227;2447;13581;A
DOVER CORP;4058;25953;26000310;DOV;31/12/2018;6;6;6;1;1;0,3;0,12;0,15;0,13;0,67;2,02;USD;8365,77;170,99;901,62;1184,2;2859,06;570,27;6992,12;A
DTE ENERGY CO;3897;11674;23333110;DTE;31/12/2018;6;3;5;0,5;0,8333;0,62;0,08;0,09;0,07;0,7;2,5;USD;36288;2713;1586;2710;2710;1120;14212;A
DUKE ENERGY CORP;4093;27959;26441C20;DUK;31/12/2018;5;3;4;0,6;0,8;0,83;0,06;0,05;0,05;0,7;2,32;USD;145392;9389;5121;9195;9195;2666;24521;A
E TRADE FINANCIAL CORP;63501;83862;26924640;ETFC;31/12/2018;7;6;2;0,8571;0,2857;0,55;0,03;0,17;0,2;0,9;8,89;USD;65003;;;;;;;I
E TRADE FINANCIAL CORP;63501;83862;26924640;ETFC;31/12/2018;7;6;2;0,8571;0,2857;0,55;0,03;0,17;0,2;0,9;8,89;USD;65003;112;1532;1672;1672;1052;3027;I
EASTMAN CHEMICAL CO;29392;80080;27743210;EMN;31/12/2018;8;4;6;0,5;0,75;0,65;0,13;0,17;0,13;0,63;1,74;USD;15995;528;1512;2113;3062;1080;10151;A
EBAY INC;114524;86356;27864210;EBAY;31/12/2018;3;2;1;0,6667;0,3333;0,36;0,12;0,24;0,14;0,72;2,63;USD;22819;651;2308;2997;9004;2530;10746;A
ECOLAB INC;4213;70578;27886510;ECL;31/12/2018;10;10;6;1;0,6;0,21;0,15;0,17;0,14;0,6;1,5;USD;20074,5;847,1;2083;3021,3;6989,9;1429,1;14668,2;A
EDISON INTERNATIONAL;9846;15720;28102010;EIX;31/12/2018;8;8;7;1;0,875;0,81;0,07;-0,02;0,08;0,78;3,48;USD;56715;4509;2179;4050;4050;-302;12657;A
EDWARDS LIFESCIENCES CORP;133366;87657;28176E10;EW;31/12/2018;3;3;3;1;1;0,1;0,2;0,24;0,27;0,41;0,7;USD;5323,7;238,7;1038,7;1116,1;2860,8;722,2;3722,8;A
LILLY (ELI) & CO;6730;50876;53245710;LLY;31/12/2018;8;6;5;0,75;0,625;0,08;0,17;0,3;0,26;0,75;3,36;USD;43908,4;1210,6;6219,6;7657,9;19596,8;3232;24555,7;A
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2018;4;4;0;1;0;0,3;0,16;0,09;0,14;0,56;1,29;USD;7153,2;321,9;838,8;1149,2;2118,2;299,8;3412,1;A
ENTERGY CORP;7366;24010;29364G10;ETR;31/12/2018;5;4;2;0,8;0,4;0,81;0,06;0,07;0,04;0,81;4,33;USD;48275,07;4141,02;1001,69;2759,64;2759,64;862,56;11009,45;A
EOG RESOURCES INC;16478;75825;26875P10;EOG;31/12/2018;8;2;4;0,25;0,5;0,47;0,25;0,16;0,18;0,43;0,75;USD;33934,47;6076,48;4258,15;7866,58;13651,19;3419,04;17011,2;A
EQT CORP;4430;24328;26884L10;EQT;31/12/2018;6;5;3;0,8333;0,5;2,66;0,09;-0,17;0,03;0,47;0,89;USD;20721,34;2999,04;535,67;2146,08;2146,08;-2244,57;4557,87;A
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2018;6;6;6;1;1;0,3;0,16;0,09;0,14;0,56;1,29;USD;7153,2;321,9;838,8;1149,2;2118,2;299,8;3412,1;A
EXELON CORP;8539;21776;30161N10;EXC;31/12/2018;6;4;6;0,6667;1;0,96;0,07;0,05;0,07;0,72;2,81;USD;119666;7594;4539;8296;8296;2010;35985;A
EXPEDIA GROUP INC;126296;90808;30212P30;EXPE;31/12/2018;4;2;3;0,5;0,75;0,25;0,1;0,09;0,09;0,68;3,01;USD;18033;878;783;1742;9359;406;11223;A
EXPEDITORS INTL WASH INC;4494;87717;30213010;EXPD;31/12/2018;5;5;1;1;0,2;0,17;0,26;0,31;0,4;0,4;0,67;USD;3314,56;47,47;796,56;850,58;1074,3;618,2;8138,37;A
EXXON MOBIL CORP;4503;11850;30231G10;XOM;31/12/2018;3;3;3;1;1;0,76;0,12;0,1;0,1;0,43;0,77;USD;346196;19574;22124;40869;53815;20840;279332;A
FASTENAL CO;14225;11618;31190010;FAST;31/12/2018;4;3;2;0,75;0,5;0,16;0,36;0,33;0,38;0,31;0,44;USD;3321,5;176,3;998,7;1136,9;2537,1;751,9;4965,1;A
FIDELITY NATIONAL INFO SVCS;165993;89003;31620M10;FIS;31/12/2018;4;2;3;0,5;0,75;0,35;0,13;0,07;0,09;0,57;1,33;USD;23770;127;1709;3020;4165;846;8423;A
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2018;6;3;1;0,5;0,1667;1,02;0,02;0,14;0,1;0,89;7,99;USD;146069;;;;;;;A
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2018;6;3;1;0,5;0,1667;1,02;0,02;0,14;0,1;0,89;7,99;USD;146069;192;3339;3582;6112;2193;7392;A
FIRST HORIZON CORP;4737;36397;32051710;FHN;31/12/2018;7;6;1;0,8571;0,1429;1,05;0,03;0,13;0,14;0,88;8,03;USD;40832,26;;;;;;;A
FIRST HORIZON CORP;4737;36397;32051710;FHN;31/12/2018;7;6;1;0,8571;0,1429;1,05;0,03;0,13;0,14;0,88;8,03;USD;40832,26;47,99;1119,8;1192,89;1936,12;545,04;2268,82;A
FIRST SOLAR INC;175404;91611;33643310;FSLR;31/12/2018;6;4;2;0,6667;0,3333;1,17;0,02;0,03;0,01;0,27;0,37;USD;7121,36;739,84;40,11;174,41;526,48;144,33;2244,04;A
FIRSTENERGY CORP;8099;23026;33793210;FE;31/12/2018;5;5;3;1;0,6;0,48;0,09;0,14;0,1;0,83;4,83;USD;40063;2675;2708;3694;3694;1348;11261;A
FLIR SYSTEMS INC;28477;79265;30244510;FLIR;31/12/2018;5;2;5;0,4;1;0,32;0,16;0,15;0,17;0,33;0,48;USD;2781,24;30,77;377,22;442,52;968,97;282,43;1775,69;I
FLOWSERVE CORP;4108;30940;34354P10;FLS;31/12/2018;4;3;2;0,75;0,5;0,36;0,1;0,07;0,11;0,64;1,8;USD;4616,28;83,99;356,64;466,52;1348,14;119,67;3832,67;A
FLUOR CORP;4818;88853;34341210;FLR;31/12/2018;7;7;3;1;0,4286;0,66;0,07;0,07;0,08;0,65;1,96;USD;8913,64;211;407,52;624,18;761,64;224,83;19166,6;A
FMC CORP;4510;19166;30249130;FMC;31/12/2018;6;4;3;0,6667;0,5;0,35;0,13;0,2;0,19;0,68;2,17;USD;9974,3;156,6;1136,3;1288,1;2308,3;502,1;4727,8;A
FORD MOTOR CO;4839;25785;34537086;F;31/12/2018;4;2;2;0,5;0,5;1,2;0,07;0,1;0,04;0,86;6,14;USD;256540;7785;7907;17187;30257;3677;160338;A
FOSSIL GROUP INC;28118;79089;34988V10;FOSL;31/12/2018;5;5;2;1;0,4;0,75;0,11;-0,01;0,12;0,63;1,68;USD;1575,2;17,96;115,55;183,14;1407,72;-3,48;2541,49;A
FREEPORT-MCMORAN INC;14590;81774;35671D85;FCX;31/12/2018;5;5;3;1;0,6;0,93;0,17;0,21;0,23;0,58;2,48;USD;42216;1971;4809;6825;7373;2602;18628;A
GANNETT CO INC;23821;15391;36473H10;GCI;31/12/2018;5;5;1;1;0,2;1,07;0,12;0,01;0,12;0,58;1,39;USD;1443,86;11,64;75,85;157,04;660,79;18,2;1526,02;A
GANNETT CO INC;23821;15391;36473H10;GCI;31/12/2018;6;6;4;1;0,6667;1,07;0,12;0,01;0,12;0,58;1,39;USD;1443,86;11,64;75,85;157,04;660,79;18,2;1526,02;A
GENERAL DYNAMICS CORP;5046;12052;36955010;GD;31/12/2018;5;2;3;0,4;0,6;0,27;0,13;0,28;0,22;0,74;2,87;USD;45408;690;4457;5220;7478;3345;36193;A
GE AEROSPACE;5047;12060;36960410;GE;31/12/2018;20;18;18;0,9;0,9;0,47;0,06;-0,43;0,07;0,83;8,3;USD;309129;7695;11115;19339;35778;-22355;121615;A
GENUINE PARTS CO;5125;46674;37246010;GPC;31/12/2018;7;6;6;0,8571;0,8571;0,26;0,11;0,22;0,17;0,73;2,67;USD;12683,04;232,42;1140,02;1381,65;5983,79;810,47;18735,07;A
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2018;6;5;6;0,8333;1;5,35;0,01;0,01;0,04;0,86;6,97;USD;100923;;;;;;;A
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2018;6;5;6;0,8333;1;5,35;0,01;0,01;0,04;0,86;6,97;USD;100923;0;753;828;828;119;8428;A
GILEAD SCIENCES INC;24856;77274;37555810;GILD;31/12/2018;5;4;4;0,8;0,8;0,27;0,16;0,26;0,18;0,66;1,97;USD;63675;924;9065;10494;18703;5455;22127;A
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2018;4;4;1;1;0,25;1,24;0,03;0,14;0,05;0,9;9,31;USD;931796;;;;;;;A
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2018;4;4;1;1;0,25;1,24;0,03;0,14;0,05;0,9;9,31;USD;931796;7982;25627;26955;26955;10459;52368;A
GOODYEAR TIRE & RUBBER CO;5234;16432;38255010;GT;31/12/2018;6;5;2;0,8333;0,3333;1,05;0,11;0,14;0,11;0,7;2,43;USD;16872;811;1162;1936;4240;693;15475;A
HALLIBURTON CO;5439;23819;40621610;HAL;31/12/2018;5;4;5;0,8;1;0,41;0,17;0,18;0,14;0,63;1,73;USD;25982;2026;2732;4338;4592;1656;23995;A
HARTFORD FINANCIAL SERVICES;61739;82775;41651510;HIG;31/12/2018;7;6;7;0,8571;1;0,8;0,02;0,11;0,1;0,79;3,75;USD;62307;;;;;;;A
HARTFORD FINANCIAL SERVICES;61739;82775;41651510;HIG;31/12/2018;7;6;7;0,8571;1;0,8;0,02;0,11;0,1;0,79;3,75;USD;62307;122;1896;2196;2196;1807;18747;A
HASBRO INC;5518;52978;41805610;HAS;31/12/2018;5;5;5;1;1;0,17;0,15;0,12;0,17;0,67;2;USD;5262,99;140,43;598,32;766,28;2482,86;220,43;4579,65;A
HERSHEY CO;5597;16600;42786610;HSY;31/12/2018;10;10;5;1;0,5;0,07;0,31;0,93;0,37;0,82;4,5;USD;7703,02;328,6;1775,39;2035,83;3853,28;1177,56;7791,07;A
HESS CORP;1380;28484;42809H10;HES;31/12/2018;5;5;3;1;0,6;0,8;0,11;-0,03;0,04;0,49;1,03;USD;21433;2097;639;2543;3266;-282;6323;A
HONEYWELL INTERNATIONAL INC;1300;10145;43851610;HON;31/12/2018;7;7;4;1;0,5714;0,21;0,15;0,34;0,22;0,68;2,17;USD;57773;828;7755;8871;14683;6765;41802;A
HUMANA INC;27914;48653;44485910;HUM;31/12/2018;4;2;2;0,5;0,5;0,26;0,14;0,17;0,2;0,6;1,5;USD;25413;;;;;;;A
HUMANA INC;27914;48653;44485910;HUM;31/12/2018;4;2;2;0,5;0,5;0,26;0,14;0,17;0,2;0,6;1,5;USD;25413;612;3112;3634;11159;1683;56912;A
HUNTINGTON BANCSHARES;5786;42906;44615010;HBAN;31/12/2018;4;4;4;1;1;0,8;0,02;0,14;0,08;0,9;8,8;USD;108781;;;;;;;A
HUNTINGTON BANCSHARES;5786;42906;44615010;HBAN;31/12/2018;4;4;4;1;1;0,8;0,02;0,14;0,08;0,9;8,8;USD;108781;110;1875;2368;4275;1393;5270;A
