Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
3M CO;7435;22592;88579Y10;MMM;31/12/2018;5;5;4;1;0,8;0,09;0,25;0,49;0,31;0,73;2,72;USD;36500;1577;7684;9172;17588;5349;32765;A
ABBOTT LABORATORIES;1078;20482;00282410;ABT;31/12/2018;6;3;1;0,5;0,1667;0,26;0,11;0,07;0,08;0,54;1,19;USD;67173;1394;4284;7562;19201;2368;30578;A
AKAMAI TECHNOLOGIES INC;125595;87299;00971T10;AKAM;31/12/2018;7;6;1;0,8571;0,1429;0,32;0,17;0,09;0,1;0,42;0,71;USD;5461,77;405,74;455,78;861,7;2053,58;298,37;2714,47;A
ALCOA CORP;27638;16347;01387210;AA;31/12/2018;4;4;4;1;1;1,15;0,18;0,04;0,36;0,54;1,59;USD;15938;399;2336;3069;3348;227;13403;A
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2018;5;5;4;1;0,8;0,72;0,03;0,11;0,11;0,81;4,25;USD;112249;;;;;;;A
ALLSTATE CORP;28349;79323;02000210;ALL;31/12/2018;5;5;4;1;0,8;0,72;0,03;0,11;0,11;0,81;4,25;USD;112249;277;2874;3280;3280;2252;39364;A
ALTAIR ENGINEERING INC;32530;17034;02136910;ALTR;31/12/2018;5;3;2;0,6;0,4;0,15;0,12;0,09;0,17;0,4;0,67;USD;483,22;6,66;31,44;46,18;293,4;13,72;402,38;A
ALTRIA GROUP INC;8543;13901;02209S10;MO;31/12/2018;5;4;2;0,8;0,4;0,22;0,2;0,34;0,28;0,73;2,76;USD;55638;238;9647;9874;12510;6963;19627;A
AMAZON.COM INC;64768;84788;02313510;AMZN;31/12/2018;3;3;3;1;1;0,06;0,17;0,27;0,15;0,73;2,73;USD;162648;13427;12242;24855;105869;10073;232887;A
AMERICAN ELECTRIC POWER CO;1440;24109;02553710;AEP;31/12/2018;9;7;9;0,7778;1;0,71;0,08;0,07;0,06;0,72;2,6;USD;68802,8;6357;2738,7;5025,3;5025,3;1923,8;16195,7;A
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;31/12/2018;7;7;5;1;0,7143;1,66;0,02;0;0,02;0,88;7,71;USD;491984;;;;;;;A
AMERICAN INTERNATIONAL GROUP;1487;66800;02687478;AIG;31/12/2018;7;7;5;1;0,7143;1,66;0,02;0;0,02;0,88;7,71;USD;491984;0;2225;7587;7587;-6;47560;A
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2018;4;4;3;1;0,75;0,39;0,02;0,36;0,25;0,96;23,56;USD;137216;;;;;;;A
AMERIPRISE FINANCIAL INC;164708;90880;03076C10;AMP;31/12/2018;4;4;3;1;0,75;0,39;0,02;0,36;0,25;0,96;23,56;USD;137216;162;2759;2935;6062;2098;12910;A
AMGEN INC;1602;14008;03116210;AMGN;31/12/2018;9;7;5;0,7778;0,5556;0,11;0,17;0,42;0,2;0,81;4,31;USD;66416;738;10563;12509;21593;8394;23747;A
AMPHENOL CORP;14282;84769;03209510;APH;31/12/2018;4;3;2;0,75;0,5;0,18;0,2;0,28;0,22;0,6;1,49;USD;10044,9;310,6;1695,4;1989,9;2949,4;1205;8202;A
ANADARKO PETROLEUM CORP;11923;70332;03251110;APC;31/12/2018;7;7;1;1;0,1429;0,51;0,16;0,05;0,09;0,73;3,46;USD;40376;6183;2380;6793;8104;615;13070;I
APA CORP;1678;39490;03741110;APA;31/12/2018;5;3;5;0,6;1;0,76;0,19;0,01;0,1;0,59;1,79;USD;21582;3904;1494;4221;4941;40;7331;A
ARCHER-DANIELS-MIDLAND CO;1722;10516;03948310;ADM;31/12/2018;5;5;1;1;0,2;0,88;0,07;0,09;0,08;0,53;1,15;USD;40833;842;2020;2961;5122;1810;64341;A
AUTONATION INC;9063;76282;05329W10;AN;31/12/2018;5;4;0;0,8;0;0,87;0,09;0,15;0,08;0,75;2,93;USD;10665,1;400,8;730,7;896,9;3397,3;396;21412,8;A
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2018;5;4;5;0,8;1;0,87;0,04;0,06;0,08;0,88;6,66;USD;41089,3;;;;;;;A
ASSURANT INC;157057;90038;04621X10;AIZ;31/12/2018;5;4;5;0,8;1;0,87;0,04;0,06;0,08;0,88;6,66;USD;41089,3;82,8;544,5;1486,6;1486,6;251;8054,5;A
AT&T INC;9899;66093;00206R10;T;31/12/2018;4;4;2;1;0,5;1,16;0,12;0,09;0,08;0,64;1,84;USD;531864;21251;28144;56574;91386;19370;170805;A
ATI INC -NEW;10405;43123;01741R10;ATI;31/12/2018;4;3;1;0,75;0,25;0,69;0,09;0,12;0,11;0,64;1,86;USD;5501,8;139,2;362,1;504;772,2;222,4;4046,6;A
