BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise
PARKLAND CORP (Parkland Fuel Corp prior to 05/2020);PKI;01/12/2019;5;5;0;100,00%;0,00%
PEABODY ENERGY CORP;BTU;01/12/2019;4;4;3;100,00%;75,00%
PEMBINA PIPELINE CORP;PPL;01/12/2019;5;5;3;100,00%;60,00%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCT;01/12/2019;10;7;9;70,00%;90,00%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCTP;01/12/2019;10;7;9;70,00%;90,00%
PEPSICO INC;PEP;01/12/2019;5;5;4;100,00%;80,00%
PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013);PRGO;01/12/2019;4;3;4;75,00%;100,00%
PFIZER INC;PFE;01/12/2019;5;5;4;100,00%;80,00%
PG&E CORP;PCG;01/12/2019;9;9;6;100,00%;66,67%
PHILIP MORRIS INTERNATIONAL INC;PM;01/12/2019;6;5;1;83,33%;16,67%
PINNACLE WEST CAPITAL CORP;PNW;01/12/2019;6;2;2;33,33%;33,33%
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);PXD;01/12/2019;16;16;10;100,00%;62,50%
PITNEY BOWES INC;PBI;01/12/2019;7;4;5;57,14%;71,43%
PNC FINANCIAL SERVICES GROUP INC;PNC;01/12/2019;7;6;6;85,71%;85,71%
POLYMET MINING CORP (De-listed 11/2023);POM;01/12/2019;4;4;1;100,00%;25,00%
PPG INDUSTRIES INC;PPG;01/12/2019;6;5;6;83,33%;100,00%
PPL CORP;PPL;01/12/2019;10;10;9;100,00%;90,00%
PRINCIPAL FINANCIAL GROUP INC;PFG;01/12/2019;6;5;1;83,33%;16,67%
PROGRESSIVE CORP (OHIO);PGR;01/12/2019;5;2;5;40,00%;100,00%
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;5;5;5;100,00%;100,00%
PRUDENTIAL FINANCIAL INC;PRU;01/12/2019;3;2;3;66,67%;100,00%
PUBLIC SERVICE ENTERPRISE GROUP INC;PEG;01/12/2019;8;8;6;100,00%;75,00%
PUBLIC STORAGE (Public Storage Inc prior to 06/2007);PSA;01/12/2019;5;5;5;100,00%;100,00%
PULTEGROUP INC;PHM;01/12/2019;6;6;5;100,00%;83,33%
QEP RESOURCES INC (De-listed 03/2021);QEP;01/12/2019;6;6;6;100,00%;100,00%
QUANTA SERVICES INC;PWR;01/12/2019;3;3;3;100,00%;100,00%
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2019;7;7;7;100,00%;100,00%
RANGE RESOURCES CORP;RRC;01/12/2019;5;5;5;100,00%;100,00%
REGIONS FINANCIAL CORP;RF;01/12/2019;7;7;6;100,00%;85,71%
REPUBLIC SERVICES INC;RSG;01/12/2019;5;4;3;80,00%;60,00%
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);RHI;01/12/2019;3;3;2;100,00%;66,67%
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);ROP;01/12/2019;5;5;3;100,00%;60,00%
RYDER SYSTEM INC;R;01/12/2019;6;4;6;66,67%;100,00%
SCHLUMBERGER LIMITED;SLB;01/12/2019;8;6;4;75,00%;50,00%
SEALED AIR CORP;SEE;01/12/2019;5;4;2;80,00%;40,00%
SEMPRA (Sempra Energy prior to 05/2023);SRE;01/12/2019;7;7;2;100,00%;28,57%
SHERRITT INTERNATIONAL CORPORATION;S;01/12/2019;3;3;0;100,00%;0,00%
SHERWIN-WILLIAMS CO;SHW;01/12/2019;5;5;4;100,00%;80,00%
SIMON PROPERTY GROUP INC;SPG;01/12/2019;5;2;5;40,00%;100,00%
SLM CORP (SALLIE MAE);SLM;01/12/2019;8;8;4;100,00%;50,00%
SNAP-ON INC;SNA;01/12/2019;5;5;5;100,00%;100,00%
SOUTHERN CO;SO;01/12/2019;4;4;1;100,00%;25,00%
SOUTHWEST AIRLINES CO;LUV;01/12/2019;5;3;5;60,00%;100,00%
SOUTHWESTERN ENERGY CO;SWN;01/12/2019;6;3;5;50,00%;83,33%
STANLEY BLACK & DECKER INC;SWK;01/12/2019;5;4;3;80,00%;60,00%
STERICYCLE INC;SRCL;01/12/2019;4;4;2;100,00%;50,00%
STRYKER CORP;SYK;01/12/2019;4;4;3;100,00%;75,00%
SUNOCO LP (Susser Petroleum Partners LP prior to 10/2014);SUN;01/12/2019;3;3;1;100,00%;33,33%
SUNTRUST BANKS INC (De-listed 12/2019);STI;01/12/2019;5;5;3;100,00%;60,00%
SUNTRUST BANKS INC (De-listed 12/2019);STI.PRA;01/12/2019;5;5;3;100,00%;60,00%
SUNTRUST BANKS INC (De-listed 12/2019);STI.PRECL;01/12/2019;5;5;3;100,00%;60,00%
T ROWE PRICE GROUP INC;TROW;01/12/2019;7;7;5;100,00%;71,43%
TELUS CORP;T;01/12/2019;7;6;2;85,71%;28,57%
TENET HEALTHCARE CORP;THC;01/12/2019;6;6;4;100,00%;66,67%
TERADATA CORP;TDC;01/12/2019;6;5;3;83,33%;50,00%
TERADYNE INC;TER;01/12/2019;3;1;3;33,33%;100,00%
TEXAS INSTRUMENTS INC;TXN;01/12/2019;10;10;4;100,00%;40,00%
THE CIGNA GROUP (Cigna Corp prior to 02/2023);CI;01/12/2019;5;3;4;60,00%;80,00%
THE TRAVELERS COMPANIES INC (St Paul Travelers Companies Inc prior to 02/2007);TRV;01/12/2019;6;5;4;83,33%;66,67%
THERMO FISHER SCIENTIFIC INC (Thermo Electron Corp prior to 11/2006);TMO;01/12/2019;5;4;3;80,00%;60,00%
TRIPADVISOR INC;TRIP;01/12/2019;3;3;3;100,00%;100,00%
TWC ENTERPRISES LTD (ClubLink Enterprises Ltd prior to 06/2014);TWC;01/12/2019;4;4;0;100,00%;0,00%
UNION PACIFIC CORP;UNP;01/12/2019;8;7;3;87,50%;37,50%
UNITED PARCEL SERVICE (UPS) INC;UPS;01/12/2019;4;3;4;75,00%;100,00%
UNITED STATES STEEL CORP;X;01/12/2019;8;8;5;100,00%;62,50%
UNITEDHEALTH GROUP INC;UNH;01/12/2019;3;3;3;100,00%;100,00%
UNUM GROUP (UnumProvident Corp prior to 03/2007);UNM;01/12/2019;6;6;6;100,00%;100,00%
US BANCORP;USB;01/12/2019;5;5;4;100,00%;80,00%
US BANCORP;USB.PRA;01/12/2019;5;5;4;100,00%;80,00%
US BANCORP;USB.PRH;01/12/2019;5;5;4;100,00%;80,00%
VALERO ENERGY CORP;VLO;01/12/2019;3;3;3;100,00%;100,00%
VERISIGN INC;VRSN;01/12/2019;3;2;3;66,67%;100,00%
VERIZON COMMUNICATIONS INC;VZ;01/12/2019;6;5;5;83,33%;83,33%
VIACOM INC (De-listed 12/2019);VIA;01/12/2019;5;5;5;100,00%;100,00%
VIACOM INC (De-listed 12/2019);VIAB;01/12/2019;5;5;5;100,00%;100,00%
VICINITY MOTOR CORP (Grande West Transportation Group Inc prior to 03/2021);VMC;01/12/2019;3;3;1;100,00%;33,33%
VORNADO REALTY TRUST;VNO;01/12/2019;3;2;3;66,67%;100,00%
VULCAN MATERIALS CO;VMC;01/12/2019;4;4;2;100,00%;50,00%
WALLBRIDGE MINING CO LTD;WM;01/12/2019;3;3;0;100,00%;0,00%
WASTE MANAGEMENT INC;WM;01/12/2019;6;5;5;83,33%;83,33%
WATERS CORP;WAT;01/12/2019;4;4;4;100,00%;100,00%
WELLS FARGO & CO;WFC;01/12/2019;8;0;4;0,00%;50,00%
WESTERN UNION CO;WU;01/12/2019;8;5;2;62,50%;25,00%
WEYERHAEUSER CO;WY;01/12/2019;7;6;4;85,71%;57,14%
WHIRLPOOL CORP;WHR;01/12/2019;9;6;3;66,67%;33,33%
WILLIAMS COMPANIES INC;WMB;01/12/2019;8;8;7;100,00%;87,50%
WPX ENERGY INC (De-listed 01/2021);WPX;01/12/2019;4;4;4;100,00%;100,00%
WW GRAINGER INC;GWW;01/12/2019;6;6;5;100,00%;83,33%
WYNN RESORTS LTD;WYNN;01/12/2019;3;3;2;100,00%;66,67%
XCEL ENERGY INC;XEL;01/12/2019;7;6;4;85,71%;57,14%
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);XRX;01/12/2019;4;4;4;100,00%;100,00%
XYLEM INC;XYL;01/12/2019;8;8;6;100,00%;75,00%
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);YUM;01/12/2019;5;5;1;100,00%;20,00%
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);ZION;01/12/2019;4;4;4;100,00%;100,00%
