BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
HELMERICH & PAYNE INC;HP;01/09/2019;10;7;70,00%
HERSHEY CO (THE);HSY;01/12/2019;11;11;100,00%
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2019;12;11;91,67%
HOME DEPOT INC;HD;01/02/2019;13;12;92,31%
HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2019;11;9;81,82%
HORMEL FOODS CORP;HRL;01/10/2019;13;12;92,31%
HOST HOTELS & RESORTS INC;HST;01/12/2019;9;8;88,89%
HP INC (Hewlett-Packard Co prior to 11/2015);HPQ;01/10/2019;10;10;100,00%
HPQ SILICON INC (HPQ Silicon Resources Inc prior to 07/2022);HPQ;01/12/2019;6;6;100,00%
HUMANA INC;HUM;01/12/2019;12;6;50,00%
HUNTINGTON BANCSHARES INC;HBAN;01/12/2019;15;12;80,00%
ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2019;11;8;72,73%
INGERSOLL RAND INC (Gardner Denver Holdings Inc prior to 03/2020);IR;01/12/2019;6;6;100,00%
INTEL CORP;INTC;01/12/2019;10;9;90,00%
INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);ICE;01/12/2019;11;9;81,82%
INTERNATIONAL BUSINESS MACHINES (IBM) CORP;IBM;01/12/2019;13;10;76,92%
INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;01/12/2019;11;10;90,91%
INTERNATIONAL PAPER CO;IP;01/12/2019;12;11;91,67%
INTERPUBLIC GROUP OF COMPANIES INC;IPG;01/12/2019;12;9;75,00%
INTUIT INC;INTU;01/07/2019;8;7;87,50%
INTUITIVE SURGICAL INC;ISRG;01/12/2019;9;6;66,67%
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2019;8;8;100,00%
IRON MOUNTAIN INC;IRM;01/12/2019;12;9;75,00%
J. M. SMUCKER CO (THE);SJM;01/04/2019;10;8;80,00%
JABIL INC (Jabil Circuit Inc prior to 06/2017);JBL;01/08/2019;8;5;62,50%
JOHNSON & JOHNSON;JNJ;01/12/2019;12;10;83,33%
JOHNSON CONTROLS INTERNATIONAL PLC (Tyco International PLC prior to 09/2016);JCI;01/09/2019;13;11;84,62%
JOURNEY ENERGY INC;JOY;01/12/2019;6;6;100,00%
JPMORGAN CHASE & CO;JPM;01/12/2019;11;6;54,55%
JUNIPER NETWORKS INC;JNPR;01/12/2019;10;10;100,00%
KELLANOVA CO (Kellogg Co prior to 10/2023);K;01/12/2019;13;13;100,00%
KEYCORP;KEY;01/12/2019;13;11;84,62%
KEYERA CORP;KEY;01/12/2019;9;9;100,00%
KIMBERLY-CLARK CORP;KMB;01/12/2019;17;13;76,47%
KIMCO REALTY CORP;KIM;01/12/2019;8;8;100,00%
KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011);KMI;01/12/2019;11;5;45,45%
KINROSS GOLD CORP;K;01/12/2019;10;10;100,00%
KLA CORP (KLA Tencor Corp prior to 07/2019);KLAC;01/06/2019;12;8;66,67%
KOHLS CORP;KSS;01/02/2019;12;10;83,33%
KROGER CO;KR;01/02/2019;11;7;63,64%
L3 TECHNOLOGIES INC (L-3 Communications Holdings Inc prior to 01/2017) (De-listed 07/2019);LLL;01/07/2019;11;4;36,36%
LABCORP HOLDINGS INC (Laboratory Corporation of America Holdings (Labcorp) prior to 05/2024);LH;01/12/2019;10;7;70,00%
LAM RESEARCH CORP;LRCX;01/06/2019;6;5;83,33%
LEGG MASON INC (De-listed 07/2020);LM;01/03/2019;10;8;80,00%
LEGGETT & PLATT INC;LEG;01/12/2019;10;8;80,00%
LENNAR CORP;LEN;01/11/2019;9;4;44,44%
LIFE STORAGE INC (Sovran Self Storage Inc prior to 08/2016) (De-listed 07/2023);SSS;01/12/2019;7;6;85,71%
LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022);MSI;01/12/2019;8;8;100,00%
LINCOLN NATIONAL CORP;LNC;01/12/2019;11;4;36,36%
LOBLAW COMPANIES LTD;L;01/12/2019;12;11;91,67%
LOCKHEED MARTIN CORP;LMT;01/12/2019;13;13;100,00%
LOEWS CORP;L;01/12/2019;13;4;30,77%
LOWE'S COS INC;LOW;01/02/2019;14;10;71,43%
M&T BANK CORP;MTB;01/12/2019;14;12;85,71%
MACY'S INC (Federated Department Stores Inc prior to 06/2007);M;01/02/2019;10;7;70,00%
MADISON PACIFIC PROPERTIES INC;MPC.C;01/08/2019;6;4;66,67%
MARATHON OIL CORP (USX Marathon Group prior to 01/2002);MRO;01/12/2019;7;7;100,00%
MARATHON PETROLEUM CORP;MPC;01/12/2019;12;12;100,00%
MARRIOTT INTERNATIONAL INC;MAR;01/12/2019;14;9;64,29%
MARSH & MCLENNAN COMPANIES INC;MMC;01/12/2019;13;12;92,31%
MASCO CORP;MAS;01/12/2019;9;7;77,78%
MASTERCARD INC;MA;01/12/2019;14;14;100,00%
MATTEL INC;MAT;01/12/2019;9;8;88,89%
MCCORMICK & CO INC;MKC;01/11/2019;10;7;70,00%
MCDONALD'S CORP;MCD;01/12/2019;13;11;84,62%
MCKESSON CORP (McKesson HBOC Inc prior to 08/2001);MCK;01/03/2019;9;7;77,78%
MEDTRONIC PLC (Medtronic Inc prior to 01/2015);MDT;01/04/2019;11;11;100,00%
MERCK & CO INC (Schering-Plough Corp prior to 11/2009);MRK;01/12/2019;11;8;72,73%
METLIFE INC;MET.PRA;01/12/2019;14;11;78,57%
MICROCHIP TECHNOLOGY INC;MCHP;01/03/2019;4;1;25,00%
MICRON TECHNOLOGY INC;MU;01/08/2019;10;9;90,00%
MICROSOFT CORP;MSFT;01/06/2019;11;9;81,82%
MINCO CAPITAL CORP (Minco Gold Corp prior to 02/2019);MMM;01/12/2019;4;4;100,00%
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2019;12;6;50,00%
MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011);MNST;01/12/2019;9;4;44,44%
MOODYS CORP;MCO;01/12/2019;10;8;80,00%
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2019;14;13;92,86%
MOSAIC CAPITAL CORP (De-listed 08/2021);M;01/12/2019;5;5;100,00%
MOSAIC CO;MOS;01/12/2019;13;11;84,62%
MOTOROLA SOLUTIONS INC;MSI;01/12/2019;9;8;88,89%
MURPHY OIL CORP;MUR;01/12/2019;12;9;75,00%
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2019;7;6;85,71%
NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015);NDAQ;01/12/2019;11;8;72,73%
NETAPP INC (Network Appliance Inc prior to 03/2008);NTAP;01/04/2019;8;4;50,00%
NETFLIX INC;NFLX;01/12/2019;9;0;0,00%
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2019;10;9;90,00%
NEWFIELD EXPLORATION CO (De-listed 02/2019);NFX;01/02/2019;9;8;88,89%
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2019;18;18;100,00%
NEWS CORP;NWSA;01/06/2019;7;5;71,43%
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2019;13;13;100,00%
NIKE INC;NKE;01/05/2019;13;11;84,62%
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2019;11;11;100,00%
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2019;11;5;45,45%
NORDSTROM INC;JWN;01/02/2019;9;9;100,00%
NORFOLK SOUTHERN CORP;NSC;01/12/2019;14;13;92,86%
NORTHERN TRUST CORP;NTRS;01/12/2019;14;11;78,57%
NORTHROP GRUMMAN CORP;NOC;01/12/2019;11;9;81,82%
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2019;7;5;71,43%
NRG ENERGY INC;NRG;01/12/2019;12;11;91,67%
NUCOR CORP;NUE;01/12/2019;7;5;71,43%
NVIDIA CORP;NVDA;01/01/2019;10;9;90,00%
O'REILLY AUTOMOTIVE INC;ORLY;01/12/2019;6;3;50,00%
O-I GLASS INC (Owens-Illinois Inc prior to 12/2019);OI;01/12/2019;13;13;100,00%
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2019;11;7;63,64%
OMNICOM GROUP INC;OMC;01/12/2019;10;6;60,00%
ONEOK INC (WAI Inc prior to 11/1997);OKE;01/12/2019;9;8;88,89%
ORACLE CORP;ORCL;01/05/2019;9;7;77,78%
PACCAR INC;PCAR;01/12/2019;10;8;80,00%
PARKER-HANNIFIN CORP;PH;01/06/2019;11;8;72,73%
PARKLAND CORP (Parkland Fuel Corp prior to 05/2020);PKI;01/12/2019;8;6;75,00%
PATTERSON COMPANIES INC;PDCO;01/04/2019;8;8;100,00%
PAYCHEX INC;PAYX;01/05/2019;11;6;54,55%
PEABODY ENERGY CORP;BTU;01/12/2019;10;10;100,00%
PEMBINA PIPELINE CORP;PPL;01/12/2019;11;7;63,64%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCTP;01/12/2019;12;8;66,67%
PEPSICO INC;PEP;01/12/2019;12;11;91,67%
PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013);PRGO;01/12/2019;11;9;81,82%
PFIZER INC;PFE;01/12/2019;13;11;84,62%
PG&E CORP;PCG;01/12/2019;26;26;100,00%
PHILIP MORRIS INTERNATIONAL INC;PM;01/12/2019;10;9;90,00%
PHILLIPS 66;PSX;01/12/2019;10;8;80,00%
PINNACLE WEST CAPITAL CORP;PNW;01/12/2019;10;4;40,00%
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);PXD;01/12/2019;11;10;90,91%
PITNEY BOWES INC;PBI;01/12/2019;13;10;76,92%
PNC FINANCIAL SERVICES GROUP INC;PNC;01/12/2019;13;12;92,31%
POLYMET MINING CORP (De-listed 11/2023);POM;01/12/2019;9;9;100,00%
PPG INDUSTRIES INC;PPG;01/12/2019;12;10;83,33%
PPL CORP;PPL;01/12/2019;10;9;90,00%
PRINCIPAL FINANCIAL GROUP INC;PFG;01/12/2019;12;9;75,00%
PROCTER & GAMBLE CO;PG;01/06/2019;12;10;83,33%
PROGRESSIVE CORP (OHIO);PGR;01/12/2019;11;9;81,82%
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2019;12;8;66,67%
PRUDENTIAL FINANCIAL INC;PRU;01/12/2019;13;12;92,31%
PUBLIC SERVICE ENTERPRISE GROUP INC;PEG;01/12/2019;12;9;75,00%
PUBLIC STORAGE (Public Storage Inc prior to 06/2007);PSA;01/12/2019;7;5;71,43%
PULTEGROUP INC;PHM;01/12/2019;10;9;90,00%
QEP RESOURCES INC (De-listed 03/2021);QEP;01/12/2019;10;9;90,00%
QUALCOMM INC;QCOM;01/09/2019;13;12;92,31%
QUANTA SERVICES INC;PWR;01/12/2019;8;6;75,00%
QUEST DIAGNOSTICS INC;DGX;01/12/2019;11;9;81,82%
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2019;6;6;100,00%
RALPH LAUREN CORP;RL;01/03/2019;10;7;70,00%
RANGE RESOURCES CORP;RRC;01/12/2019;9;9;100,00%
RED HAT INC (De-listed 07/2019);RHI;01/02/2019;9;9;100,00%
REGIONS FINANCIAL CORP;RF;01/12/2019;13;11;84,62%
RELIQ HEALTH TECHNOLOGIES INC (Moseda Technologies Inc prior to 05/2016);RHT;01/06/2019;4;4;100,00%
REPUBLIC SERVICES INC;RSG;01/12/2019;10;8;80,00%
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);RHI;01/12/2019;8;6;75,00%
ROCKWELL AUTOMATION INC;ROK;01/09/2019;11;11;100,00%
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);ROP;01/12/2019;9;8;88,89%
ROSS STORES INC;ROST;01/02/2019;7;3;42,86%
