BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);MMM;01/12/2018;12;11;91,67%
ABBOTT LABORATORIES;ABT;01/12/2018;13;8;61,54%
ABERCROMBIE & FITCH CO;ANF;01/02/2018;11;10;90,91%
ACCENTURE PLC (Accenture Ltd prior to 09/2009);ACN;01/08/2018;12;11;91,67%
ADOBE INC (Adobe Systems Inc prior to 10/2018);ADBE;01/11/2018;8;7;87,50%
ADVANCED MICRO DEVICES INC (AMD);AMD;01/12/2018;9;8;88,89%
AES CORP (THE);AES;01/12/2018;10;6;60,00%
AETNA INC (Aetna US Healthcare Inc prior to 12/2000) (De-listed 11/2018);HE8;01/11/2018;12;11;91,67%
AFLAC INC;AFL;01/12/2018;13;11;84,62%
AGILENT TECHNOLOGIES INC;A;01/10/2018;12;12;100,00%
AIR PRODUCTS & CHEMICALS INC;APD;01/09/2018;8;8;100,00%
AKAMAI TECHNOLOGIES INC;AKAM;01/12/2018;10;9;90,00%
ALCOA CORP;AA;01/12/2018;12;12;100,00%
ALEXION PHARMACEUTICALS INC (De-listed 07/2021);ALXN;01/12/2018;12;12;100,00%
ALLSTATE CORP;ALL;01/12/2018;12;12;100,00%
ALPHABET INC (Google Inc prior to 10/2015);GOOG;01/12/2018;11;6;54,55%
ALTABA INC (Yahoo Inc prior to 06/2017) (De-listed 10/2019);YHOO;01/12/2018;4;4;100,00%
ALTAIR ENGINEERING INC;ALTR;01/12/2018;6;3;50,00%
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);MO;01/12/2018;12;11;91,67%
AMAZON.COM INC;AMZN;01/12/2018;9;9;100,00%
AMEREN CORP;AEE;01/12/2018;13;13;100,00%
AMERICAN ELECTRIC POWER CO INC;AEP;01/12/2018;12;11;91,67%
AMERICAN EXPRESS CO;AXP;01/12/2018;12;11;91,67%
AMERICAN INTERNATIONAL GROUP INC (AIG);AIG;01/12/2018;12;12;100,00%
AMERICAN TOWER CORP;AMT;01/12/2018;9;5;55,56%
AMERIGO RESOURCES LTD;ARG;01/12/2018;5;2;40,00%
AMERIPRISE FINANCIAL INC;AMP;01/12/2018;10;8;80,00%
AMGEN INC;AMG;01/12/2018;15;13;86,67%
AMPHENOL CORP;APH;01/12/2018;7;5;71,43%
ANADARKO PETROLEUM CORP (De-listed 08/2019);APC;01/12/2018;13;12;92,31%
ANALOG DEVICES INC;ADI;01/11/2018;8;7;87,50%
ANDEAVOR (Tesoro Corp prior to 08/2017) (De-listed 10/2018);TSO;01/10/2018;11;11;100,00%
AON PLC (Aon Corp prior to 04/2012);AON;01/12/2018;12;9;75,00%
APA CORP (Apache Corp prior to 03/2021);APA;01/12/2018;9;7;77,78%
APPLE INC (Apple Computer Inc prior to 01/2007);AAPL;01/09/2018;7;4;57,14%
APPLIED MATERIALS INC;AMAT;01/10/2018;8;8;100,00%
ARCHER-DANIELS-MIDLAND CO;ADM;01/12/2018;12;11;91,67%
ARENA MINERALS INC (Antofagasta Gold Inc prior to 12/2013) (De-listed 04/2023);AN;01/12/2018;5;4;80,00%
ASSURANT INC;AIZ;01/12/2018;13;9;69,23%
AT&T INC (SBC Communications Inc prior to 11/2005);T;01/12/2018;13;11;84,62%
ATI INC (Allegheny Technologies Inc prior to 07/2022);ATI;01/12/2018;10;5;50,00%
ATYR PHARMA INC;LIFE;01/12/2018;6;6;100,00%
AUTODESK INC;ADSK;01/01/2018;10;9;90,00%
AUTOMATIC DATA PROCESSING INC (ADP);ADP;01/06/2018;10;8;80,00%
AUTONATION INC;AN;01/12/2018;10;7;70,00%
AUTOZONE INC;AZO;01/08/2018;11;8;72,73%
AVALONBAY COMMUNITIES INC;AVB;01/12/2018;11;8;72,73%
AVERY DENNISON CORP;AVY;01/12/2018;9;9;100,00%
BANK OF AMERICA CORP;BAC;01/12/2018;14;13;92,86%
BANK OF NEW YORK MELLON CORP (THE);BK;01/12/2018;12;10;83,33%
BAXTER INTERNATIONAL INC;BAX;01/12/2018;12;8;66,67%
BECTON DICKINSON & CO;BDX;01/09/2018;16;15;93,75%
BELO SUN MINING CORP (Verena Minerals Corp prior to 07/2010);BSX;01/12/2018;4;4;100,00%
BERKSHIRE HATHAWAY INC;BRK.A;01/12/2018;6;2;33,33%
BEST BUY CO INC;BBY;01/02/2018;9;7;77,78%
BIG LOTS INC;BIG;01/02/2018;8;6;75,00%
BIOGEN INC (Biogen Idec Inc prior to 03/2015);BIIB;01/12/2018;10;2;20,00%
BLACKROCK INC;BLK;01/12/2018;19;11;57,89%
BOEING CO;BA;01/12/2018;13;10;76,92%
BORGWARNER INC;BWA;01/12/2018;13;10;76,92%
BOSTON PROPERTIES INC;BXP;01/12/2018;12;10;83,33%
BOSTON SCIENTIFIC CORP;BSX;01/12/2018;9;9;100,00%
BRISTOL-MYERS SQUIBB CO;BMY;01/12/2018;11;11;100,00%
BROWN FORMAN CORP;BF.A;01/04/2018;9;8;88,89%
BSM TECHNOLOGIES INC (Valu-Net Corp prior to 10/2001) (De-listed 06/2019);GPS;01/09/2018;6;6;100,00%
CA INC (CA Technologies) (De-listed 11/2018);CA;01/03/2018;11;8;72,73%
CA INC (CA Technologies) (De-listed 11/2018);CA;01/11/2018;1;1;100,00%
CALLINEX MINES INC;CNX;01/09/2018;3;3;100,00%
CAMPBELL SOUP CO;CPB;01/07/2018;13;12;92,31%
CANACCORD GENUITY GROUP INC (Canaccord Financial Inc prior to 10/2013);CF;01/03/2018;6;4;66,67%
CANADIAN BANC CORP;BK;01/11/2018;3;3;100,00%
CANLAN ICE SPORTS CORP (Canlan Investment Ltd prior to 08/1999);ICE;01/12/2018;7;5;71,43%
CAPITAL ONE FINANCIAL CORP;COF;01/12/2018;10;8;80,00%
CARDINAL HEALTH INC;CLH;01/06/2018;13;11;84,62%
CARMAX INC;KMX;01/02/2018;12;11;91,67%
CARNIVAL CORP;CCL;01/11/2018;11;9;81,82%
CATERPILLAR INC;CAT;01/12/2018;11;8;72,73%
CELGENE CORP (De-listed 11/2019);CELG;01/12/2018;13;6;46,15%
CENTERPOINT ENERGY INC;CNP;01/12/2018;10;9;90,00%
CERNER CORP (De-listed 06/2022);CRE;01/12/2018;7;5;71,43%
CF INDUSTRIES HLDGS INC;CF;01/12/2018;13;11;84,62%
CH ROBINSON WORLDWIDE INC;CHRW;01/12/2018;9;8;88,89%
CHARLES SCHWAB CORP;SCHW;01/12/2018;14;7;50,00%
CHEVRON CORP;CVX;01/12/2018;12;12;100,00%
CHIPOTLE MEXICAN GRILL INC;CMG;01/12/2018;6;4;66,67%
CHUBB LTD (ACE Ltd prior to 01/2016);CB;01/12/2018;16;12;75,00%
CINCINNATI FINANCIAL CORP;CINF;01/12/2018;14;6;42,86%
CINTAS CORP;CTAS;01/05/2018;8;7;87,50%
CISCO SYSTEMS INC;CSCO;01/07/2018;12;8;66,67%
CITIGROUP INC;C;01/12/2018;16;16;100,00%
CITRIX SYSTEMS INC (De-listed 09/2022);CTXS;01/12/2018;10;10;100,00%
CLEAN SEED CAPITAL GROUP LTD;CSX;01/06/2018;3;3;100,00%
CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);CLF;01/12/2018;9;9;100,00%
CLOROX COMPANY (THE);CXX;01/06/2018;11;10;90,91%
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);CME;01/12/2018;22;12;54,55%
CMS ENERGY CORP;CMS;01/12/2018;10;10;100,00%
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);CNX;01/12/2018;6;6;100,00%
COCA-COLA CO;KO;01/12/2018;15;12;80,00%
COGNIZANT TECHNOLOGY SOLUTIONS CORP;CTSH;01/12/2018;11;6;54,55%
COLGATE-PALMOLIVE CO;CL;01/12/2018;9;8;88,89%
COLOURED TIES CAPITAL INC (Growmax Resources Corp prior to 11/2021);TIE;01/12/2018;6;4;66,67%
COMCAST CORP (AT&T Comcast Corp prior to 11/2002);CCZ;01/12/2018;10;8;80,00%
COMERICA INC;CMA;01/12/2018;10;5;50,00%
COMMERCE RESOURCES CORP;CCE;01/10/2018;3;2;66,67%
COMPUTER MODELLING GROUP LTD;CMG;01/03/2018;6;6;100,00%
CONAGRA BRANDS INC (Conagra Foods Inc prior to 11/2016);CAG;01/05/2018;11;9;81,82%
