BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;% of Independence
CONOCOPHILLIPS COMPANY;COP;01/12/2018;12;11;91,67%
CONSOLIDATED EDISON INC;ED;01/12/2018;12;10;83,33%
CONSTELLATION BRANDS INC;STZ;01/02/2018;10;9;90,00%
CORNING INC;GLW;01/12/2018;14;11;78,57%
COSTCO WHOLESALE CORP;COST;01/09/2018;7;5;71,43%
COVALON TECHNOLOGIES LTD (Seder Capital Corp prior to 12/2004);COV;01/09/2018;7;7;100,00%
CRESCO LABS INC;CL;01/12/2018;7;7;100,00%
CROWN CASTLE INC (Crown Castle International Corp prior to 08/2022);CCI;01/12/2018;10;6;60,00%
CSX CORP;CSX;01/12/2018;13;8;61,54%
CUMMINS INC;CMI;01/12/2018;11;8;72,73%
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2018;15;8;53,33%
DANAHER CORP;DHR;01/12/2018;12;7;58,33%
DARDEN RESTAURANTS INC;DRI;01/05/2018;7;7;100,00%
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2018;10;9;90,00%
DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);DF;01/12/2018;8;8;100,00%
DEERE & CO;DE;01/10/2018;13;12;92,31%
DELL TECHNOLOGIES INC;DELL;01/02/2018;5;5;100,00%
DENTSPLY SIRONA INC (DENTSPLY International Inc prior to 02/2016);XRAY;01/12/2018;11;10;90,91%
DEVON ENERGY CORP;DVN;01/12/2018;8;6;75,00%
DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2018;11;8;72,73%
DIVIDEND 15 SPLIT CORP II;DF.PR.A;01/11/2018;3;3;100,00%
DOLLAR TREE INC;DLTR;01/02/2018;10;4;40,00%
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2018;11;10;90,91%
DOVER CORP;DOV;01/12/2018;12;10;83,33%
DR HORTON INC;DHI;01/09/2018;5;1;20,00%
DTE ENERGY CO;DTE;01/12/2018;13;9;69,23%
DUKE ENERGY CORP;DUK;01/12/2018;13;10;76,92%
DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019);DD;01/12/2018;18;16;88,89%
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2018;11;10;90,91%
EAST WEST PETROLEUM CORP (Avere Energy Inc prior to 08/2010);EW;01/03/2018;5;5;100,00%
EASTMAN CHEMICAL CO;EMN;01/12/2018;12;7;58,33%
EATON CORP PLC (Eaton Corp prior to 11/2012);ETN;01/12/2018;11;10;90,91%
EBAY INC;EBAY;01/12/2018;12;4;33,33%
ECO ATLANTIC OIL & GAS LTD (Goldbard Capital Corp prior to 11/2011);EOG;01/03/2018;6;6;100,00%
ECOLAB INC;ECL;01/12/2018;15;13;86,67%
EDISON INTERNATIONAL;EIX;01/12/2018;11;10;90,91%
EDWARDS LIFESCIENCES CORP;EW;01/12/2018;7;7;100,00%
ELECTRONIC ARTS INC;ERT;01/03/2018;8;7;87,50%
ELI LILLY & CO;LLY;01/12/2018;14;10;71,43%
EMERSON ELECTRIC CO;EMR;01/09/2018;10;7;70,00%
ENERFLEX LTD;EFX;01/12/2018;7;7;100,00%
ENTERGY CORP;ETR;01/12/2018;12;11;91,67%
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2018;7;2;28,57%
EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2018;18;16;88,89%
EQUIFAX INC;EFX;01/12/2018;12;11;91,67%
EQUITY RESIDENTIAL (Equity Residential Properties Trust prior to 10/2002);EQR;01/12/2018;13;9;69,23%
ESTEE LAUDER COS INC;EL;01/06/2018;13;6;46,15%
EXELON CORP;EXC;01/12/2018;15;11;73,33%
EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);EXPE;01/12/2018;9;6;66,67%
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2018;8;8;100,00%
EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2018;10;10;100,00%
EXXON MOBIL CORP;XOM;01/12/2018;11;8;72,73%
F5 INC (F5 Networks Inc prior to 11/2021);FFIV;01/09/2018;9;7;77,78%
FASTENAL CO;FAST;01/12/2018;7;5;71,43%
FE BATTERY METALS CORP (First Energy Metals Ltd prior to 11/2022);FE;01/03/2018;7;7;100,00%
FEDEX CORP;FDX;01/05/2018;12;10;83,33%
FENNEC PHARMACEUTICALS INC (Adherex Technologies Inc prior to 09/2014);FRX;01/12/2018;4;4;100,00%
FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);FIS;01/12/2018;10;8;80,00%
FIFTH THIRD BANCORP;FITB;01/12/2018;11;8;72,73%
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2018;12;10;83,33%
FIRST SOLAR INC;FSLR;01/12/2018;11;8;72,73%
FIRSTENERGY CORP;FE;01/12/2018;14;13;92,86%
FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2018;9;3;33,33%
FLOWSERVE CORP;FLS;01/12/2018;9;4;44,44%
FLUOR CORP;FLR;01/12/2018;13;12;92,31%
FMC CORP;FMC;01/12/2018;11;9;81,82%
FORD MOTOR CO;F;01/12/2018;13;7;53,85%
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2018;8;6;75,00%
FRANKLIN RESOURCES INC;BEN;01/09/2018;8;6;75,00%
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2018;7;6;85,71%
GAMESTOP CORP;GME;01/02/2018;8;4;50,00%
GANNETT CO INC (Gannett SpinCo Inc prior to 06/2015) (De-listed 11/2019);GCI;01/12/2018;11;11;100,00%
GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);GCI;01/12/2018;3;3;100,00%
GAP INC;GPS;01/02/2018;8;7;87,50%
GENERAL DYNAMICS CORP;GD;01/12/2018;11;8;72,73%
GENERAL ELECTRIC CO (GE Aerospace);GNE;01/12/2018;19;16;84,21%
GENERAL MILLS INC;GIS;01/05/2018;12;12;100,00%
GENUINE PARTS CO;GPC;01/12/2018;11;10;90,91%
GENWORTH FINANCIAL INC;GNW;01/12/2018;9;8;88,89%
GILEAD SCIENCES INC;GILD;01/12/2018;9;7;77,78%
GLUSKIN SHEFF & ASSOCIATES INC (De-listed 06/2019);GS;01/06/2018;6;6;100,00%
GOLDMAN SACHS GROUP INC;GS;01/12/2018;12;10;83,33%
GOODYEAR TIRE & RUBBER CO;GT;01/12/2018;13;6;46,15%
H & R BLOCK INC;HRB;01/04/2018;13;13;100,00%
HALLIBURTON CO;HAL;01/12/2018;11;9;81,82%
HARLEY DAVIDSON INC;HOG;01/12/2018;9;8;88,89%
HARTFORD FINANCIAL SERVICES GROUP INC;HIG;01/12/2018;14;13;92,86%
HASBRO INC;HAS;01/12/2018;12;10;83,33%
HELMERICH & PAYNE INC;HP;01/09/2018;9;7;77,78%
HERSHEY CO (THE);HSY;01/12/2018;13;13;100,00%
HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2018;12;11;91,67%
HNZ GROUP INC (Canadian Helicopters Group Inc prior to 09/2012) (De-listed 01/2018);HNZ.A;01/01/2018;5;5;100,00%
HOME DEPOT INC;HD;01/01/2018;11;10;90,91%
HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2018;12;11;91,67%
HORMEL FOODS CORP;HRL;01/10/2018;12;12;100,00%
HOST HOTELS & RESORTS INC;HST;01/12/2018;9;9;100,00%
HP INC (Hewlett-Packard Co prior to 11/2015);HPQ;01/10/2018;9;9;100,00%
HUMANA INC;HUM;01/12/2018;12;7;58,33%
HUNTINGTON BANCSHARES INC;HBAN;01/12/2018;15;13;86,67%
ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2018;11;10;90,91%
INGERSOLL RAND INC (Gardner Denver Holdings Inc prior to 03/2020);IR;01/12/2018;6;6;100,00%
INTEL CORP;INTC;01/12/2018;13;11;84,62%
INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);ICE;01/12/2018;11;10;90,91%
INTERNATIONAL BUSINESS MACHINES (IBM) CORP;IBM;01/12/2018;14;10;71,43%
INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;01/12/2018;11;10;90,91%
INTERNATIONAL PAPER CO;IP;01/12/2018;13;13;100,00%
INTERPUBLIC GROUP OF COMPANIES INC;IPG;01/12/2018;11;8;72,73%
INTUIT INC;INTU;01/07/2018;9;8;88,89%
INTUITIVE SURGICAL INC;ISRG;01/12/2018;8;5;62,50%
INVESCO LTD (Invesco PLC prior to 12/2007);IVZ;01/12/2018;8;6;75,00%
IRON MOUNTAIN INC;IRM;01/12/2018;11;8;72,73%
J. M. SMUCKER CO (THE);SJM;01/04/2018;10;8;80,00%
JABIL INC (Jabil Circuit Inc prior to 06/2017);JBL;01/08/2018;8;5;62,50%
JOHNSON & JOHNSON;JNJ;01/12/2018;11;11;100,00%
JOHNSON CONTROLS INTERNATIONAL PLC (Tyco International PLC prior to 09/2016);JCI;01/09/2018;14;14;100,00%
JOURNEY ENERGY INC;JOY;01/12/2018;4;4;100,00%
JPMORGAN CHASE & CO;JPM;01/12/2018;12;9;75,00%
JUNIPER NETWORKS INC;JNPR;01/12/2018;7;6;85,71%
KELLANOVA CO (Kellogg Co prior to 10/2023);K;01/12/2018;14;14;100,00%
KEYCORP;KEY;01/12/2018;15;14;93,33%
KEYERA CORP;KEY;01/12/2018;9;9;100,00%
KIMBERLY-CLARK CORP;KMB;01/12/2018;14;10;71,43%
KIMCO REALTY CORP;KIM;01/12/2018;8;5;62,50%
KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011);KMI;01/12/2018;11;5;45,45%
KINROSS GOLD CORP;K;01/12/2018;8;8;100,00%
KLA CORP (KLA Tencor Corp prior to 07/2019);KLAC;01/06/2018;9;4;44,44%
KOHLS CORP;KSS;01/02/2018;11;8;72,73%
KROGER CO;KR;01/02/2018;11;7;63,64%
LABCORP HOLDINGS INC (Laboratory Corporation of America Holdings (Labcorp) prior to 05/2024);LH;01/12/2018;9;6;66,67%
LAM RESEARCH CORP;LRCX;01/06/2018;6;5;83,33%
LEGG MASON INC (De-listed 07/2020);LM;01/03/2018;15;14;93,33%
LEGGETT & PLATT INC;LEG;01/12/2018;8;5;62,50%
LENNAR CORP;LEN;01/11/2018;10;5;50,00%
LIFE STORAGE INC (Sovran Self Storage Inc prior to 08/2016) (De-listed 07/2023);SSS;01/12/2018;7;6;85,71%
LIFEWORKS INC (Morneau Shepell Inc prior to 05/2021) (De-listed 09/2022);MSI;01/12/2018;7;7;100,00%
LINCOLN NATIONAL CORP;LNC;01/12/2018;11;3;27,27%
LOBLAW COMPANIES LTD;L;01/12/2018;12;11;91,67%
LOCKHEED MARTIN CORP;LMT;01/12/2018;13;12;92,31%
LOEWS CORP;L;01/12/2018;14;5;35,71%
LOWE'S COS INC;LOW;01/02/2018;11;10;90,91%
M&T BANK CORP;MTB;01/12/2018;12;11;91,67%
MACY'S INC (Federated Department Stores Inc prior to 06/2007);M;01/02/2018;10;8;80,00%
MADISON PACIFIC PROPERTIES INC;MPC.C;01/08/2018;5;5;100,00%
MARATHON OIL CORP (USX Marathon Group prior to 01/2002);MRO;01/12/2018;8;8;100,00%
MARATHON PETROLEUM CORP;MPC;01/12/2018;14;14;100,00%
MARRIOTT INTERNATIONAL INC;MAR;01/12/2018;14;9;64,29%
MARSH & MCLENNAN COMPANIES INC;MMC;01/12/2018;12;12;100,00%
MASCO CORP;MAS;01/12/2018;10;7;70,00%
MASTERCARD INC;MA;01/12/2018;14;14;100,00%
MATTEL INC;MAT;01/12/2018;15;14;93,33%
MCCORMICK & CO INC;MKC;01/11/2018;10;7;70,00%
MCDONALD'S CORP;MCD;01/12/2018;11;7;63,64%
MCKESSON CORP (McKesson HBOC Inc prior to 08/2001);MCK;01/03/2018;8;7;87,50%
MEDTRONIC PLC (Medtronic Inc prior to 01/2015);MDT;01/04/2018;11;11;100,00%
MERCK & CO INC (Schering-Plough Corp prior to 11/2009);MRK;01/12/2018;13;12;92,31%
METLIFE INC;MET.PRA;01/12/2018;13;11;84,62%
MICROCHIP TECHNOLOGY INC;MCHP;01/03/2018;4;1;25,00%
MICRON TECHNOLOGY INC;MU;01/08/2018;7;5;71,43%
MICROSOFT CORP;MSFT;01/06/2018;13;11;84,62%
MINCO CAPITAL CORP (Minco Gold Corp prior to 02/2019);MMM;01/12/2018;4;4;100,00%
MOLSON COORS BEVERAGE CO (Molson Coors Brewing Co prior to 01/2020);TAP.A;01/12/2018;12;6;50,00%
MONSANTO CO (De-listed 06/2018);MOO;01/06/2018;13;13;100,00%
MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011);MNST;01/12/2018;7;1;14,29%
MOODYS CORP;MCO;01/12/2018;11;9;81,82%
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);MS;01/12/2018;14;14;100,00%
MOSAIC CAPITAL CORP (De-listed 08/2021);M;01/12/2018;3;3;100,00%
MOSAIC CO;MOS;01/12/2018;13;11;84,62%
MOTOROLA SOLUTIONS INC;MSI;01/12/2018;9;7;77,78%
MURPHY OIL CORP;MUR;01/12/2018;12;9;75,00%
NABORS INDUSTRIES LTD (Nabors Industries prior to 06/2002);NBR;01/12/2018;7;7;100,00%
NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015);NDAQ;01/12/2018;10;10;100,00%
NETAPP INC (Network Appliance Inc prior to 03/2008);NTAP;01/04/2018;11;10;90,91%
NETFLIX INC;NFLX;01/12/2018;11;2;18,18%
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);NWL;01/12/2018;19;16;84,21%
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);NEM;01/12/2018;13;12;92,31%
NEWS CORP;NWSA;01/06/2018;6;5;83,33%
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);NEE;01/12/2018;13;13;100,00%
NIKE INC;NKE;01/05/2018;13;12;92,31%
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);NI;01/12/2018;11;11;100,00%
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);NBL;01/12/2018;12;5;41,67%
NORDSTROM INC;JWN;01/02/2018;10;9;90,00%
NORFOLK SOUTHERN CORP;NSC;01/12/2018;13;12;92,31%
NORTHERN TRUST CORP;NTRS;01/12/2018;13;10;76,92%
NORTHROP GRUMMAN CORP;NOC;01/12/2018;12;7;58,33%
NOV INC (National Oilwell Varco Inc prior to 01/2021);NOV;01/12/2018;7;5;71,43%
NRG ENERGY INC;NRG;01/12/2018;15;13;86,67%
NUCOR CORP;NUE;01/12/2018;8;5;62,50%
NVIDIA CORP;NVDA;01/01/2018;11;10;90,91%
O'REILLY AUTOMOTIVE INC;ORLY;01/12/2018;6;3;50,00%
O-I GLASS INC (Owens-Illinois Inc prior to 12/2019);OI;01/12/2018;13;12;92,31%
OCCIDENTAL PETROLEUM CORP;OXY;01/12/2018;10;9;90,00%
OMNICOM GROUP INC;OMC;01/12/2018;13;10;76,92%
ONEOK INC (WAI Inc prior to 11/1997);OKE;01/12/2018;8;7;87,50%
ORACLE CORP;ORCL;01/05/2018;10;8;80,00%
PACCAR INC;PCAR;01/12/2018;11;9;81,82%
PARKER-HANNIFIN CORP;PH;01/06/2018;11;7;63,64%
PARKLAND CORP (Parkland Fuel Corp prior to 05/2020);PKI;01/12/2018;8;7;87,50%
PATTERSON COMPANIES INC;PDCO;01/04/2018;8;8;100,00%
PAYCHEX INC;PAYX;01/05/2018;10;5;50,00%
PEABODY ENERGY CORP;BTU;01/12/2018;9;9;100,00%
PEMBINA PIPELINE CORP;PPL;01/12/2018;12;7;58,33%
PEOPLE'S UNITED FINANCIAL INC (De-listed 04/2022);PBCTP;01/12/2018;12;4;33,33%
PEPSICO INC;PEP;01/12/2018;12;11;91,67%
PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013);PRGO;01/12/2018;10;9;90,00%
PFIZER INC;PFE;01/12/2018;13;12;92,31%
PG&E CORP;PCG;01/12/2018;13;12;92,31%
PHILIP MORRIS INTERNATIONAL INC;PM;01/12/2018;12;11;91,67%
PHILLIPS 66;PSX;01/12/2018;10;8;80,00%
PINNACLE WEST CAPITAL CORP;PNW;01/12/2018;10;7;70,00%
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);PXD;01/12/2018;11;8;72,73%
PITNEY BOWES INC;PBI;01/12/2018;13;9;69,23%
PNC FINANCIAL SERVICES GROUP INC;PNC;01/12/2018;16;12;75,00%
POLYMET MINING CORP (De-listed 11/2023);POM;01/12/2018;9;9;100,00%
PPG INDUSTRIES INC;PPG;01/12/2018;10;9;90,00%
PPL CORP;PPL;01/12/2018;10;9;90,00%
PRAXAIR INC (De-listed 10/2018);PX;01/10/2018;8;8;100,00%
PRINCIPAL FINANCIAL GROUP INC;PFG;01/12/2018;12;9;75,00%
PROCTER & GAMBLE CO;PG;01/06/2018;12;11;91,67%
PROGRESSIVE CORP (OHIO);PGR;01/12/2018;11;9;81,82%
PROLOGIS INC (AMB Property Corp prior to 06/2011);PLD;01/12/2018;12;7;58,33%
PRUDENTIAL FINANCIAL INC;PRU;01/12/2018;12;12;100,00%
PUBLIC SERVICE ENTERPRISE GROUP INC;PEG;01/12/2018;12;9;75,00%
PUBLIC STORAGE (Public Storage Inc prior to 06/2007);PSA;01/12/2018;6;5;83,33%
PULTEGROUP INC;PHM;01/12/2018;12;11;91,67%
QEP RESOURCES INC (De-listed 03/2021);QEP;01/12/2018;8;8;100,00%
QUALCOMM INC;QCOM;01/09/2018;11;10;90,91%
QUANTA SERVICES INC;PWR;01/12/2018;7;6;85,71%
QUEST DIAGNOSTICS INC;DGX;01/12/2018;10;7;70,00%
R R DONNELLEY & SONS CO (De-listed 02/2022);RRD;01/12/2018;7;7;100,00%
RALPH LAUREN CORP;RL;01/03/2018;7;2;28,57%
RANGE RESOURCES CORP;RRC;01/12/2018;12;12;100,00%
RED EAGLE MINING CORP (De-listed 12/2018);R;01/12/2018;4;4;100,00%
RED HAT INC (De-listed 07/2019);RHI;01/02/2018;8;8;100,00%
REGIONS FINANCIAL CORP;RF;01/12/2018;14;11;78,57%
RELIQ HEALTH TECHNOLOGIES INC (Moseda Technologies Inc prior to 05/2016);RHT;01/06/2018;4;4;100,00%
REPUBLIC SERVICES INC;RSG;01/12/2018;11;10;90,91%
ROBERT HALF INC (Robert Half International Inc prior to 07/2023);RHI;01/12/2018;5;4;80,00%
ROCKWELL AUTOMATION INC;ROK;01/09/2018;11;11;100,00%
ROCKWELL COLLINS INC (De-listed 11/2018);COL;01/11/2018;11;11;100,00%
ROPER TECHNOLOGIES INC (Roper Industries Inc prior to 04/2015);ROP;01/12/2018;10;9;90,00%
ROSS STORES INC;ROST;01/02/2018;7;3;42,86%
RYDER SYSTEM INC;R;01/12/2018;12;8;66,67%
SALESFORCE INC (Salesforce.com Inc prior to 04/2022);CRM;01/01/2018;10;4;40,00%
SCHLUMBERGER LIMITED;SLB;01/12/2018;13;12;92,31%
SCRIPPS NETWORKS INTERACTIVE INC (De-listed 03/2018);SNI;01/03/2018;13;13;100,00%
