Company Name;Global Company Key;Ticker;Data Date;Data Year - Fiscal;Industry Format;Level of Consolidation - Company Annual Descriptor;Population Source;Data Format;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
PINNACLE WEST CAPITAL CORP;001075;PNW;31/12/2019;2019;INDL;C;D;STD;USD;18479,25;1209,98;671,96;1262,89;1262,89;538,32;3471,21;A
ABBOTT LABORATORIES;001078;ABT;31/12/2019;2019;INDL;C;D;STD;USD;67887,00;1638,00;5041,00;8055,00;19955,00;3687,00;31904,00;A
ADVANCED MICRO DEVICES;001161;AMD;31/12/2019;2019;INDL;C;D;STD;USD;6028,00;217,00;583,00;725,00;3010,00;341,00;6731,00;A
AIR PRODUCTS & CHEMICALS INC;001209;APD;30/09/2019;2019;INDL;C;D;STD;USD;18942,80;1989,70;2120,50;3203,30;4026,20;1760,00;8918,90;A
HONEYWELL INTERNATIONAL INC;001300;HON;31/12/2019;2019;INDL;C;D;STD;USD;58679,00;839,00;7397,00;8485,00;13734,00;6143,00;36709,00;A
HESS CORP;001380;HES;31/12/2019;2019;INDL;C;D;STD;USD;21782,00;2829,00;637,00;2776,00;3389,00;-408,00;6495,00;A
AMERICAN ELECTRIC POWER CO;001440;AEP;31/12/2019;2019;INDL;C;D;STD;USD;75892,30;6143,70;2592,30;5106,80;5106,80;1921,10;15561,40;A
AMERICAN EXPRESS CO;001447;AXP;31/12/2019;2019;FS;C;D;STD;USD;198321,00;;;;;;;A
AMERICAN EXPRESS CO;001447;AXP;31/12/2019;2019;INDL;C;D;STD;USD;198321,00;1688,00;9582,00;10770,00;10770,00;6759,00;47020,00;A
AFLAC INC;001449;AFL;31/12/2019;2019;FS;C;D;STD;USD;152768,00;;;;;;;A
AFLAC INC;001449;AFL;31/12/2019;2019;INDL;C;D;STD;USD;152768,00;0,00;4735,00;4775,00;4775,00;3304,00;22369,00;A
AMERICAN INTERNATIONAL GROUP;001487;AIG;31/12/2019;2019;FS;C;D;STD;USD;525064,00;;;;;;;A
AMERICAN INTERNATIONAL GROUP;001487;AIG;31/12/2019;2019;INDL;C;D;STD;USD;525064,00;0,00;6617,00;11623,00;11623,00;3348,00;49310,00;A
AMGEN INC;001602;AMGN;31/12/2019;2019;INDL;C;D;STD;USD;59707,00;618,00;9721,00;11756,00;21041,00;7842,00;23362,00;A
ANALOG DEVICES INC;001632;ADI;31/10/2019;2019;INDL;C;D;STD;USD;21392,64;275,37;1806,27;2617,52;4395,96;1363,01;5991,07;A
NABORS INDUSTRIES LTD;001661;NBR;31/12/2019;2019;INDL;C;D;STD;USD;6760,66;427,74;-76,36;799,74;1114,05;-702,89;3043,38;A
APA CORP;001678;APA;31/12/2019;2019;INDL;C;D;STD;USD;18107,00;2961,00;-2627,00;928,00;1520,00;-3553,00;6280,00;A
APPLE INC;001690;AAPL;30/09/2019;2019;INDL;C;D;STD;USD;338516,00;10495,00;63930,00;75230,00;109692,00;55256,00;260174,00;A
APPLIED MATERIALS INC;001704;AMAT;31/10/2019;2019;INDL;C;D;STD;USD;19024,00;441,00;3372,00;3735,00;6749,00;2706,00;14608,00;A
ARCHER-DANIELS-MIDLAND CO;001722;ADM;31/12/2019;2019;INDL;C;D;STD;USD;43997,00;828,00;1671,00;2663,00;5139,00;1379,00;64656,00;A
AUTODESK INC;001878;ADSK;31/01/2019;2018;INDL;C;D;STD;USD;4729,20;67,00;33,00;125,70;2358,60;-80,80;2569,80;A
AUTOMATIC DATA PROCESSING;001891;ADP;30/06/2019;2019;INDL;C;D;STD;USD;41887,70;162,00;3080,80;3489,80;6497,60;2292,80;14175,20;A
AVERY DENNISON CORP;001913;AVY;31/12/2019;2019;INDL;C;D;STD;USD;5488,80;219,40;823,70;998,30;2078,70;303,60;7070,10;A
BANK OF NEW YORK MELLON CORP;002019;BK;31/12/2019;2019;FS;C;D;STD;USD;381508,00;;;;;;;A
BANK OF NEW YORK MELLON CORP;002019;BK;31/12/2019;2019;INDL;C;D;STD;USD;381508,00;1210,00;7730,00;9045,00;15672,00;4441,00;20007,00;A
BAXTER INTERNATIONAL INC;002086;BAX;31/12/2019;2019;INDL;C;D;STD;USD;18193,00;696,00;1937,00;2726,00;5705,00;1001,00;11362,00;A
BECTON DICKINSON & CO;002111;BDX;30/09/2019;2019;INDL;C;D;STD;USD;51765,00;957,00;2894,00;5024,00;10418,00;1233,00;17290,00;A
VERIZON COMMUNICATIONS INC;002136;VZ;31/12/2019;2019;INDL;C;D;STD;USD;291727,00;17939,00;30303,00;46985,00;77142,00;19265,00;131868,00;A
BERKSHIRE HATHAWAY;002176;BRK.B;31/12/2019;2019;FS;C;D;STD;USD;817729,00;;;;;;;A
BERKSHIRE HATHAWAY;002176;BRK.B;31/12/2019;2019;INDL;C;D;STD;USD;817729,00;15979,00;105481,00;115545,00;115545,00;81417,00;327223,00;A
BEST BUY CO INC;002184;BBY;31/01/2019;2018;INDL;C;D;STD;USD;12901,00;819,00;1966,00;2736,00;10731,00;1464,00;42879,00;A
BLOCK H & R INC;002269;HRB;30/04/2019;2018;INDL;C;D;STD;USD;3299,95;95,49;615,79;782,49;1504,65;422,51;3094,88;A
BOEING CO;002285;BA;31/12/2019;2019;INDL;C;D;STD;USD;133625,00;1834,00;5952,00;7850,00;14978,00;-636,00;84818,00;A
ROBERT HALF INC;002312;RHI;31/12/2019;2019;INDL;C;D;STD;USD;2311,41;59,46;620,39;686,02;2594,78;454,43;6074,43;A
BRISTOL-MYERS SQUIBB CO;002403;BMY;31/12/2019;2019;INDL;C;D;STD;USD;129944,00;836,00;6738,00;8547,00;19475,00;3439,00;26145,00;A
BROWN FORMAN CORP;002435;BF.B;30/04/2019;2018;INDL;C;D;STD;USD;5139,00;121,00;1129,00;1201,00;2238,00;835,00;3324,00;A
CIGNA GROUP (THE);002547;CI;31/12/2019;2019;FS;C;D;STD;USD;155774,00;;;;;;;A
CIGNA GROUP (THE);002547;CI;31/12/2019;2019;INDL;C;D;STD;USD;155774,00;1050,00;9020,00;12637,00;25880,00;5104,00;153699,00;A
CSX CORP;002574;CSX;31/12/2019;2019;INDL;C;D;STD;USD;38257,00;1657,00;4874,00;6223,00;6223,00;3331,00;11937,00;A
CAMPBELL SOUP CO;002663;CPB;31/07/2019;2019;INDL;C;D;STD;USD;13148,00;384,00;1192,00;1555,00;3026,00;211,00;8107,00;A
CONSTELLATION BRANDS;002710;STZ;28/02/2019;2018;INDL;C;D;STD;USD;29231,50;886,30;2549,20;2879,40;4420,70;3435,90;8116,00;A
