Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;BoardName;Ticker;AnnualReportDate;Number of Members;Number of Independence;Number of Expertise;% of Independence;% of Expertise;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
3413;11404;20911510;CONSOLIDATED EDISON INC;ED;01/12/2017;6;1;6;16,67%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,79;0,08;0,07;0,08;0,68;2,12
3532;22293;21935010;CORNING INC;GLW;01/12/2017;9;7;6;77,78%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,5;0,1;-0,03;0,09;0,43;0,75
2574;62148;12640810;CSX CORP;CSX;01/12/2017;8;7;5;87,50%;62,50%;31/12/2017;31/12/2017;28/02/2018;0,43;0,14;0,26;0,15;0,59;1,43
3650;41080;23102110;CUMMINS INC;CMI;01/12/2017;8;7;2;87,50%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,26;0,15;0,14;0,22;0,55;1,37
7241;17005;12665010;CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);CVS;01/12/2017;5;3;3;60,00%;60,00%;31/12/2017;31/12/2017;28/02/2018;0,55;0,13;0,16;0,16;0,6;1,52
3735;49680;23585110;DANAHER CORP;DHR;01/12/2017;4;2;4;50,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,41;0,1;0,1;0,09;0,43;0,77
61483;82307;23918K10;DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);DVA;01/12/2017;4;3;4;75,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,39;0,12;0,17;0,12;0,69;2,78
62655;83421;24237020;DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);DF;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,68;0,13;0,07;0,1;0,74;2,82
14934;87137;25179M10;DEVON ENERGY CORP;DVN;01/12/2017;4;3;1;75,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,46;0,12;0,11;0,06;0,53;1,74
177376;92121;25470910;DISCOVER FINANCIAL SERVICES INC;DFS;01/12/2017;4;4;4;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,38;0,05;0,2;0,12;0,89;8,19
4029;64936;25746U10;DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);D;01/12/2017;6;6;5;100,00%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,41;0,08;0,13;0,08;0,75;3,34
4058;25953;26000310;DOVER CORP;DOV;01/12/2017;7;4;7;57,14%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,31;0,13;0,17;0,13;0,59;1,43
3897;11674;23333110;DTE ENERGY CO;DTE;01/12/2017;5;2;4;40,00%;80,00%;31/12/2017;31/12/2017;28/02/2018;0,59;0,08;0,09;0,08;0,7;2,5
4093;27959;26441C20;DUKE ENERGY CORP;DUK;01/12/2017;7;6;5;85,71%;71,43%;31/12/2017;31/12/2017;28/02/2018;0,83;0,07;0,06;0,07;0,7;2,3
4094;88590;26483E10;DUN & BRADSTREET CORP (De-listed 02/2019);DNB;01/12/2017;5;4;1;80,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;;0,21;;0,58;1,33;-3,98
63501;83862;26924640;E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);ETFC;01/12/2017;6;5;3;83,33%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,47;0,02;0,1;0,16;0,89;8,13
29392;80080;27743210;EASTMAN CHEMICAL CO;EMN;01/12/2017;7;2;6;28,57%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,48;0,14;0,23;0,14;0,66;1,95
114524;86356;27864210;EBAY INC;EBAY;01/12/2017;4;3;1;75,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,3;0,12;-0,09;0,12;0,69;2,22
4213;70578;27886510;ECOLAB INC;ECL;01/12/2017;7;7;6;100,00%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,21;0,15;0,19;0,14;0,61;1,61
9846;15720;28102010;EDISON INTERNATIONAL;EIX;01/12/2017;8;8;6;100,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;0,79;0,08;0,04;0,09;0,74;2,79
133366;87657;28176E10;EDWARDS LIFESCIENCES CORP;EW;01/12/2017;4;4;4;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,13;0,23;0,21;0,3;0,48;0,93
6730;50876;53245710;ELI LILLY & CO;LLY;01/12/2017;6;5;4;83,33%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,13;0,15;-0,02;0,2;0,74;2,87
4423;52476;29442910;ENERFLEX LTD;EFX;01/12/2017;5;5;0;100,00%;0,00%;31/12/2017;31/12/2017;28/02/2018;0,25;0,18;0,18;0,17;0,55;1,26
7366;24010;29364G10;ENTERGY CORP;ETR;01/12/2017;5;4;2;80,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,86;0,08;0,03;0,07;0,82;4,7
16478;75825;26875P10;EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);EOG;01/12/2017;9;3;4;33,33%;44,44%;31/12/2017;31/12/2017;28/02/2018;0,32;0,16;0,13;0,05;0,45;0,83
4430;24328;26884L10;EQT CORP (Equitable Resources Inc prior to 02/2009);EQT;01/12/2017;4;3;3;75,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;1;0,1;0,13;0,08;0,38;0,83
4423;52476;29442910;EQUIFAX INC;EFX;01/12/2017;5;5;5;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,25;0,18;0,18;0,17;0,55;1,26
8539;21776;30161N10;EXELON CORP;EXC;01/12/2017;5;3;5;60,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;1,08;0,07;0,09;0,06;0,72;2,83
126296;90808;30212P30;EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);EXPE;01/12/2017;3;0;2;0,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,27;0,09;0,08;0,08;0,67;2,73
4494;87717;30213010;EXPEDITORS INTERNATIONAL OF WASHINGTON INC;EXPD;01/12/2017;5;5;1;100,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;0,17;0,25;0,25;0,36;0,36;0,56
25356;77668;30219G10;EXPRESS SCRIPTS HOLDING CO (De-listed 12/2018);ESRX;01/12/2017;5;4;5;80,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,49;0,14;0,22;0,17;0,67;1,99
4503;11850;30231G10;EXXON MOBIL CORP;XOM;01/12/2017;6;6;5;100,00%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,61;0,09;0,09;0,05;0,44;0,82
14225;11618;31190010;FASTENAL CO;FAST;01/12/2017;4;3;2;75,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,14;0,36;0,28;0,36;0,28;0,39
165993;89003;31620M10;FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);FIS;01/12/2017;6;4;6;66,67%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,39;0,12;0,11;0,08;0,55;1,25
4640;34746;31677310;FIFTH THIRD BANCORP;FITB;01/12/2017;5;5;2;100,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,74;0,02;0,14;0,09;0,88;7,69
4737;36397;32051710;FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);FHN;01/12/2017;7;6;1;85,71%;14,29%;31/12/2017;31/12/2017;28/02/2018;0,64;0,02;0,05;0,1;0,89;8,6
175404;91611;33643310;FIRST SOLAR INC;FSLR;01/12/2017;5;3;2;60,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,72;0,05;-0,03;0,04;0,26;0,35
8099;23026;33793210;FIRSTENERGY CORP;FE;01/12/2017;6;5;4;83,33%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,39;0,1;-0,23;0,1;0,91;9,77
28477;79265;30244510;FLIR SYSTEMS INC (De-listed 05/2021);FLIR;01/12/2017;4;2;1;50,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,29;0,15;0,06;0,15;0,35;0,53
4108;30940;34354P10;FLOWSERVE CORP;FLS;01/12/2017;5;2;1;40,00%;20,00%;31/12/2017;31/12/2017;28/02/2018;0,33;0,09;0;0,09;0,66;1,96
4818;88853;34341210;FLUOR CORP;FLR;01/12/2017;7;7;3;100,00%;42,86%;31/12/2017;31/12/2017;28/02/2018;0,46;0,07;0,06;0,09;0,63;1,75
4510;19166;30249130;FMC CORP;FMC;01/12/2017;6;4;3;66,67%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,22;0,08;-0,03;0,1;0,71;2,42
4839;25785;34537086;FORD MOTOR CO;F;01/12/2017;8;6;2;75,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,72;0,07;0,23;0,04;0,86;6,39
28118;79089;34988V10;FOSSIL GROUP INC (Fossil Inc prior to 05/2013);FOSL;01/12/2017;4;4;2;100,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;1,53;0,06;-0,58;0,02;0,65;1,87
14590;81774;35671D85;FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);FCX;01/12/2017;3;2;3;66,67%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,42;0,16;0,16;0,18;0,7;3,26
23821;15391;36473H10;GANNETT CO INC (Gannett SpinCo Inc prior to 06/2015) (De-listed 11/2019);GCI;01/12/2017;7;7;1;100,00%;14,29%;31/12/2017;31/12/2017;28/02/2018;0,79;0,13;0,01;0,15;0,6;1,53
23821;15391;36473H10;GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);GCI;01/12/2017;6;6;4;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,79;0,13;0,01;0,15;0,6;1,53
5046;12052;36955010;GENERAL DYNAMICS CORP;GD;01/12/2017;6;4;4;66,67%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,19;0,14;0,26;0,28;0,67;2,06
5047;12060;36960410;GENERAL ELECTRIC CO (GE Aerospace);GE;01/12/2017;12;10;10;83,33%;83,33%;31/12/2017;31/12/2017;28/02/2018;0,42;0,05;-0,08;0,05;0,77;4,55
5125;46674;37246010;GENUINE PARTS CO;GPC;01/12/2017;8;8;6;100,00%;75,00%;31/12/2017;31/12/2017;28/02/2018;0,26;0,12;0,18;0,2;0,72;2,62
158354;90162;37247D10;GENWORTH FINANCIAL INC;GNW;01/12/2017;6;5;6;83,33%;100,00%;31/12/2017;31/12/2017;28/02/2018;8,66;0,01;0,06;0,06;0,85;6,71
24856;77274;37555810;GILEAD SCIENCES INC;GILD;01/12/2017;6;4;4;66,67%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,22;0,25;0,24;0,29;0,71;2,44
114628;86868;38141G10;GOLDMAN SACHS GROUP INC;GS;01/12/2017;4;4;1;100,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,71;0,02;0,06;0,04;0,91;10,14
5234;16432;38255010;GOODYEAR TIRE & RUBBER CO;GT;01/12/2017;5;4;2;80,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,61;0,13;0,07;0,14;0,72;2,65
5439;23819;40621610;HALLIBURTON CO;HAL;01/12/2017;5;4;5;80,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,2;0,14;-0,05;0,1;0,67;2,01
61739;82775;41651510;HARTFORD FINANCIAL SERVICES GROUP INC;HIG;01/12/2017;7;7;6;100,00%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,67;0,01;-0,02;0,08;0,94;15,69
5518;52978;41805610;HASBRO INC;HAS;01/12/2017;7;7;5;100,00%;71,43%;31/12/2017;31/12/2017;28/02/2018;0,16;0,19;0,21;0,22;0,65;1,89
5597;16600;42786610;HERSHEY CO (THE);HSY;01/12/2017;9;9;6;100,00%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,04;0,32;0,88;0,41;0,83;5,05
1380;28484;42809H10;HESS CORP (Amerada Hess prior to 05/2006);HES;01/12/2017;5;5;3;100,00%;60,00%;31/12/2017;31/12/2017;28/02/2018;0,73;-0,08;-0,31;-0,27;0,47;0,93
1300;10145;43851610;HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);HON;01/12/2017;7;7;4;100,00%;57,14%;31/12/2017;31/12/2017;28/02/2018;0,18;0,16;0,08;0,23;0,71;2,43
27914;48653;44485910;HUMANA INC;HUM;01/12/2017;6;2;3;33,33%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,29;0,15;0,24;0,24;0,64;1,76
5786;42906;44615010;HUNTINGTON BANCSHARES INC;HBAN;01/12/2017;4;4;4;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,63;0,02;0,12;0,08;0,9;8,63
5878;56573;45230810;ILLINOIS TOOL WORKS INC (ITW);ITW;01/12/2017;7;7;2;100,00%;28,57%;31/12/2017;31/12/2017;28/02/2018;0,08;0,24;0,37;0,27;0,73;2,66
6008;59328;45814010;INTEL CORP;INTC;01/12/2017;5;4;2;80,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,33;0,23;0,14;0,2;0,43;0,76
163610;90993;45866F10;INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);ICE;01/12/2017;4;4;2;100,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,47;0,04;0,13;0,11;0,78;3,62
6066;12490;45920010;INTERNATIONAL BUSINESS MACHINES (IBM) CORP;IBM;01/12/2017;7;6;6;85,71%;85,71%;31/12/2017;31/12/2017;28/02/2018;0,13;0,13;0,31;0,17;0,86;6,12
6078;40272;45950610;INTERNATIONAL FLAVORS & FRAGRANCES INC;IFF;01/12/2017;6;6;6;100,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,14;0,18;0,17;0,21;0,63;1,73
6136;53065;46069010;INTERPUBLIC GROUP OF COMPANIES INC;IPG;01/12/2017;9;7;9;77,78%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,31;0,09;0,25;0,27;0,8;4,64
136725;88352;46120E60;INTUITIVE SURGICAL INC;ISRG;01/12/2017;5;3;2;60,00%;40,00%;31/12/2017;31/12/2017;28/02/2018;0,12;0,19;0,13;0,21;0,18;0,22
6266;22111;47816010;JOHNSON & JOHNSON;JNJ;01/12/2017;4;4;1;100,00%;25,00%;31/12/2017;31/12/2017;28/02/2018;0,18;0,17;0,02;0,21;0,62;1,61
2968;47896;46625H10;JPMORGAN CHASE & CO;JPM;01/12/2017;4;3;4;75,00%;100,00%;31/12/2017;31/12/2017;28/02/2018;0,64;0,02;0,11;0,07;0,9;8,91
121718;86979;48203R10;JUNIPER NETWORKS INC;JNPR;01/12/2017;3;2;2;66,67%;66,67%;31/12/2017;31/12/2017;28/02/2018;0,45;0,12;0,06;0,13;0,52;1,1
6375;26825;48783610;KELLANOVA CO (Kellogg Co prior to 10/2023);K;01/12/2017;7;7;3;100,00%;42,86%;31/12/2017;31/12/2017;28/02/2018;0,11;0,17;0,51;0,22;0,86;6,38
9783;64995;49326710;KEYCORP;KEY;01/12/2017;4;4;2;100,00%;50,00%;31/12/2017;31/12/2017;28/02/2018;0,65;0,02;0,09;0,11;0,89;8,17
9783;64995;49326710;KEYERA CORP;KEY;01/12/2017;4;4;0;100,00%;0,00%;31/12/2017;31/12/2017;28/02/2018;0,65;0,02;0,09;0,11;0,89;8,17
