Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;Ticker Symbol;CUSIP;Fiscal year end;Fiscal quarter end;Date;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
002403;19393;BMY;11012210;31/12/2018;31/12/2018;28/02/2019;0,17;0,17;0,38;0,25;0,60;1,49
002285;19561;BA;09702310;31/12/2018;31/12/2018;28/02/2019;0,01;0,13;4,90;0,93;1,00;344,98
001078;20482;ABT;00282410;31/12/2018;31/12/2018;28/02/2019;0,26;0,11;0,07;0,08;0,54;1,19
006774;21178;LMT;53983010;31/12/2018;31/12/2018;28/02/2019;0,02;0,19;;0,51;0,97;31,15
007881;21207;NEM;65163910;31/12/2018;31/12/2018;28/02/2019;0,60;0,11;0,03;0,06;0,44;0,88
006104;21573;IP;46014610;31/12/2018;31/12/2018;28/02/2019;0,62;0,13;0,18;0,13;0,78;3,56
008539;21776;EXC;30161N10;31/12/2018;31/12/2018;28/02/2019;0,96;0,07;0,05;0,07;0,72;2,81
005742;21792;CNP;15189T10;31/12/2018;31/12/2018;28/02/2019;0,68;0,09;0,04;0,06;0,70;2,35
008530;21936;PFE;71708110;31/12/2018;31/12/2018;28/02/2019;0,27;0,13;0,16;0,14;0,60;1,51
006266;22111;JNJ;47816010;31/12/2018;31/12/2018;28/02/2019;0,20;0,18;0,23;0,23;0,61;1,56
003532;22293;GLW;21935010;31/12/2018;31/12/2018;28/02/2019;0,50;0,11;0,08;0,10;0,50;0,99
008247;22509;PPG;69350610;31/12/2018;31/12/2018;28/02/2019;0,21;0,15;0,24;0,19;0,70;2,44
008455;22517;PPL;69351T10;31/12/2018;31/12/2018;28/02/2019;0,71;0,09;0,13;0,09;0,73;2,72
007435;22592;MMM;88579Y10;31/12/2018;31/12/2018;28/02/2019;0,09;0,25;0,49;0,31;0,73;2,72
007257;22752;MRK;58933Y10;31/12/2018;31/12/2018;28/02/2019;0,14;0,16;0,19;0,16;0,67;2,09
007585;22779;MSI;62007630;31/12/2018;31/12/2018;28/02/2019;;0,21;;0,44;1,14;-8,26
008099;23026;FE;33793210;31/12/2018;31/12/2018;28/02/2019;0,48;0,09;0,14;0,10;0,83;4,83
003439;23229;CMS;12589610;31/12/2018;31/12/2018;28/02/2019;0,45;0,09;0,11;0,07;0,80;4,12
014824;23473;CINF;17206210;31/12/2018;31/12/2018;28/02/2019;0,67;0,02;0,03;0,03;0,64;1,80
011550;23536;WEC;92939U10;31/12/2018;31/12/2018;28/02/2019;0,60;0,07;0,08;0,07;0,71;2,41
010519;23579;TXT;88320310;31/12/2018;31/12/2018;28/02/2019;0,49;0,10;0,22;0,12;0,64;1,75
008810;23712;PEG;74457310;31/12/2018;31/12/2018;28/02/2019;0,77;0,08;0,07;0,08;0,68;2,15
005439;23819;HAL;40621610;31/12/2018;31/12/2018;28/02/2019;0,41;0,17;0,18;0,14;0,63;1,73
135484;23887;FTR;35906A30;31/12/2018;31/12/2018;28/02/2019;10,79;0,14;-0,21;0,08;0,93;13,79
007977;23931;XEL;98389B10;31/12/2018;31/12/2018;28/02/2019;0,65;0,08;0,08;0,07;0,73;2,76
007366;24010;ETR;29364G10;31/12/2018;31/12/2018;28/02/2019;0,81;0,06;0,07;0,04;0,81;4,33
001440;24109;AEP;02553710;31/12/2018;31/12/2018;28/02/2019;0,71;0,08;0,07;0,06;0,72;2,60
004517;24205;NEE;65339F10;31/12/2018;31/12/2018;28/02/2019;0,50;0,08;0,18;0,06;0,63;1,93
004430;24328;EQT;26884L10;31/12/2018;31/12/2018;28/02/2019;2,66;0,09;-0,17;0,03;0,47;0,89
008606;24459;PBI;72447910;31/12/2018;31/12/2018;28/02/2019;0,48;0,09;0,44;0,10;0,96;23,94
028192;24643;ARNC;03965L10;31/12/2018;31/12/2018;28/02/2019;0,69;0,11;0,12;0,12;0,70;2,35
007985;24766;NOC;66680710;31/12/2018;31/12/2018;28/02/2019;0,20;0,13;0,42;0,17;0,78;3,60
008972;24942;RTN;75511150;31/12/2018;31/12/2018;28/02/2019;0,27;0,16;0,27;0,29;0,63;1,74
010860;24985;AEE;02360810;31/12/2018;31/12/2018;28/02/2019;0,65;0,09;0,08;0,08;0,71;2,50
003231;25081;CMA;20034010;31/12/2018;31/12/2018;28/02/2019;0,68;0,03;0,16;0,15;0,89;8,43
008151;25232;OKE;68268010;31/12/2018;31/12/2018;28/02/2019;0,31;0,13;0,19;0,12;0,64;1,77
011465;25419;WHR;96332010;31/12/2018;31/12/2018;28/02/2019;0,34;0,10;-0,06;0,15;0,83;6,61
004839;25785;F;34537086;31/12/2018;31/12/2018;28/02/2019;1,20;0,07;0,10;0,04;0,86;6,14
004058;25953;DOV;26000310;31/12/2018;31/12/2018;28/02/2019;0,30;0,12;0,15;0,13;0,67;2,02
003424;26607;BH;08986R30;31/12/2018;31/12/2018;28/02/2019;9,32;0,01;0,03;0,00;0,45;0,80
006781;26710;L;54042410;31/12/2018;31/12/2018;28/02/2019;1,36;0,03;0,03;0,04;0,73;3,07
006375;26825;K;48783610;31/12/2018;31/12/2018;28/02/2019;0,17;0,14;0,45;0,17;0,82;5,62
003107;27422;CLF;18589910;31/12/2018;31/12/2018;28/02/2019;0,19;0,23;;0,30;0,88;7,32
009299;27633;R;78354910;31/12/2018;31/12/2018;28/02/2019;1,65;0,16;0,07;0,07;0,78;3,48
002086;27887;BAX;07181310;31/12/2018;31/12/2018;28/02/2019;0,24;0,16;0,19;0,15;0,50;1,00
004093;27959;DUK;26441C20;31/12/2018;31/12/2018;28/02/2019;0,83;0,06;0,05;0,05;0,70;2,32
011636;27983;XRX;98412160;31/12/2018;31/12/2018;28/02/2019;1,12;0,11;0,07;0,12;0,65;1,86
001075;27991;PNW;72348410;31/12/2018;31/12/2018;28/02/2019;0,76;0,08;0,07;0,08;0,70;2,36
007620;28345;MUR;62671710;31/12/2018;31/12/2018;28/02/2019;1,23;0,16;0,09;0,07;0,53;1,21
001380;28484;HES;42809H10;31/12/2018;31/12/2018;28/02/2019;0,80;0,11;-0,03;0,04;0,49;1,03
003158;30648;COHU;19257610;31/12/2018;31/12/2018;28/02/2019;0,89;0,08;-0,07;0,06;0,52;1,08
004066;30681;OMC;68191910;31/12/2018;31/12/2018;28/02/2019;0,18;0,10;0,44;0,28;0,86;8,35
004108;30940;FLS;34354P10;31/12/2018;31/12/2018;28/02/2019;0,36;0,10;0,07;0,11;0,64;1,80
007085;34032;MAS;57459910;31/12/2018;31/12/2018;28/02/2019;;0,26;;0,43;0,99;-47,96
004640;34746;FITB;31677310;31/12/2018;31/12/2018;28/02/2019;1,02;0,02;0,14;0,10;0,89;7,99
008030;34817;NUE;67034610;31/12/2018;31/12/2018;28/02/2019;0,64;0,24;0,25;0,25;0,43;0,79
008068;34833;OXY;67459910;31/12/2018;31/12/2018;28/02/2019;0,48;0,20;0,19;0,15;0,51;1,06
004674;35044;RF;7591EP10;31/12/2018;31/12/2018;28/02/2019;1,04;0,02;0,11;0,11;0,88;7,33
004699;35554;MTB;55261F10;31/12/2018;31/12/2018;28/02/2019;0,72;0,03;0,13;0,14;0,87;6,77
004737;36397;FHN;32051710;31/12/2018;31/12/2018;28/02/2019;1,05;0,03;0,13;0,14;0,88;8,03
009667;36468;SHW;82434810;31/12/2018;31/12/2018;28/02/2019;0,13;0,16;0,22;0,19;0,81;4,13
011506;38156;WMB;96945710;31/12/2018;31/12/2018;28/02/2019;0,61;0,08;-0,01;0,06;0,65;2,00
004040;38682;RRD;25786720;31/12/2018;31/12/2018;28/02/2019;;0,11;;0,14;1,07;-14,94
008007;38703;WFC;94974610;31/12/2018;31/12/2018;28/02/2019;0,86;0,02;0,12;0,09;0,90;8,59
007974;38762;NI;65473P10;31/12/2018;31/12/2018;28/02/2019;0,66;0,07;-0,01;0,07;0,74;2,79
001678;39490;APA;03741110;31/12/2018;31/12/2018;28/02/2019;0,76;0,19;0,01;0,10;0,59;1,79
007116;39538;MAT;57708110;31/12/2018;31/12/2018;28/02/2019;0,21;0,04;-0,52;-0,01;0,87;6,98
006078;40272;IFF;45950610;31/12/2018;31/12/2018;28/02/2019;0,47;0,10;0,08;0,10;0,52;1,12
