Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
GOODYEAR TIRE & RUBBER CO;5234;16432;38255010;GT;31/12/2019;6;5;2;0,8333;0,3333;1,23;0,09;-0,07;0,08;0,74;2,91;USD;17185;770;824;1604;3927;-311;14745;A
HALLIBURTON CO;5439;23819;40621610;HAL;31/12/2019;6;3;5;0,5;0,8333;0,37;0,14;-0,13;0,1;0,68;2,17;USD;25377;1530;2058;3683;3910;-1131;22408;A
HARTFORD FINANCIAL SERVICES;61739;82775;41651510;HIG;31/12/2019;6;5;6;0,8333;1;0,73;0,05;0,15;0,14;0,77;3,35;USD;70817;;;;;;;A
HARTFORD FINANCIAL SERVICES;61739;82775;41651510;HIG;31/12/2019;6;5;6;0,8333;1;0,73;0,05;0,15;0,14;0,77;3,35;USD;70817;105;2740;3191;3191;2085;20480;A
HASBRO INC;5518;52978;41805610;HAS;31/12/2019;6;6;5;1;0,8333;0,21;0,12;0,22;0,13;0,66;1,96;USD;8855,63;133,64;669,83;850,62;2545,77;520,45;4720,23;A
HERSHEY CO;5597;16600;42786610;HSY;31/12/2019;7;7;3;1;0,4286;0,06;0,25;0,65;0,28;0,79;3,68;USD;8140,4;318,19;1716,58;1981,37;3889,24;1149,69;7986,25;A
HESS CORP;1380;28484;42809H10;HES;31/12/2019;6;6;3;1;0,5;0,45;0,13;-0,04;0,04;0,55;1,38;USD;21782;2829;637;2776;3389;-408;6495;A
HONEYWELL INTERNATIONAL INC;1300;10145;43851610;HON;31/12/2019;7;6;4;0,8571;0,5714;0,16;0,15;0,31;0,21;0,68;2,16;USD;58679;839;7397;8485;13734;6143;36709;A
HUMANA INC;27914;48653;44485910;HUM;31/12/2019;3;1;2;0,3333;0,6667;0,26;0,14;0,24;0,19;0,59;1,42;USD;29074;;;;;;;A
HUMANA INC;27914;48653;44485910;HUM;31/12/2019;3;1;2;0,3333;0,6667;0,26;0,14;0,24;0,19;0,59;1,42;USD;29074;736;3239;3814;11148;2707;64888;A
HUNTINGTON BANCSHARES;5786;42906;44615010;HBAN;31/12/2019;3;2;3;0,6667;1;0,7;0,02;0,14;0,09;0,89;8,24;USD;109002;;;;;;;A
HUNTINGTON BANCSHARES;5786;42906;44615010;HBAN;31/12/2019;3;2;3;0,6667;1;0,7;0,02;0,14;0,09;0,89;8,24;USD;109002;107;2003;2389;4365;1411;5640;A
ILLINOIS TOOL WORKS;5878;56573;45230810;ITW;31/12/2019;5;5;2;1;0,4;0,06;0,26;0,66;0,32;0,8;3,98;USD;15068;326;3402;3828;6189;2521;14109;A
INTEL CORP;6008;59328;45814010;INTC;31/12/2019;4;3;2;0,75;0,5;0,31;0,25;0,27;0,22;0,43;0,76;USD;136524;16213;22428;33254;52766;21048;71965;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2019;4;3;2;0,75;0,5;0,38;0,04;0,1;0,11;0,82;4,47;USD;94493;;;;;;;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2019;4;3;2;0,75;0,5;0,38;0,04;0,1;0,11;0,82;4,47;USD;94493;305;2727;3358;4092;1933;6547;A
INTL BUSINESS MACHINES CORP;6066;12490;45920010;IBM;31/12/2019;7;6;7;0,8571;1;0,22;0,12;0,41;0,14;0,86;6,3;USD;152186;2286;10849;16908;42404;9431;77147;A
INTL FLAVORS & FRAGRANCES;6078;40272;45950610;IFF;31/12/2019;4;4;4;1;1;0,5;0,08;0,07;0,07;0,52;1,12;USD;13287,41;235,98;784,13;1105,19;2248,21;455,87;5140,08;A
INTERPUBLIC GROUP OF COS;6136;53065;46069010;IPG;31/12/2019;10;8;10;0,8;1;0,34;0,08;0,23;0,16;0,83;5,32;USD;17751,9;198,5;1119,9;1398,4;1492,2;656;10221,3;A
INTUITIVE SURGICAL INC;136725;88352;46120E60;ISRG;31/12/2019;5;2;2;0,4;0,4;0,12;0,18;0,18;0,18;0,15;0,18;USD;9733,2;425,6;1382,2;1581,9;3309,9;1379,3;4478,5;A
JOHNSON & JOHNSON;6266;22111;47816010;JNJ;31/12/2019;4;3;1;0,75;0,25;0,17;0,18;0,23;0,24;0,62;1,65;USD;157728;3498;21121;28130;61663;15119;82059;A
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2019;4;4;4;1;1;0,56;0,03;0,15;0,08;0,9;9,28;USD;2687379;;;;;;;A
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2019;4;4;4;1;1;0,56;0,03;0,15;0,08;0,9;9,28;USD;2687379;0;63197;71565;110042;36431;142422;A
JUNIPER NETWORKS INC;121718;86979;48203R10;JNPR;31/12/2019;5;5;4;1;0,8;0,56;0,08;0,07;0,07;0,48;0,92;USD;8837,7;109,6;496;714,7;2831,6;345;4445,4;A
KELLANOVA;6375;26825;48783610;K;31/12/2019;5;5;2;1;0,4;0,14;0,13;0,29;0,15;0,81;5,19;USD;17564;586;1757;2241;5058;960;13578;A
KEYCORP;9783;64995;49326710;KEY;31/12/2019;4;3;2;0,75;0,5;0,77;0,02;0,12;0,11;0,88;7,51;USD;144988;;;;;;;A
KEYCORP;9783;64995;49326710;KEY;31/12/2019;4;3;2;0,75;0,5;0,77;0,02;0,12;0,11;0,88;7,51;USD;144988;85;3157;3157;5923;1717;7694;A
KEYCORP;9783;64995;49326710;KEY;31/12/2019;3;3;0;1;0;0,77;0,02;0,12;0,11;0,88;7,51;USD;144988;;;;;;;A
KEYCORP;9783;64995;49326710;KEY;31/12/2019;3;3;0;1;0;0,77;0,02;0,12;0,11;0,88;7,51;USD;144988;85;3157;3157;5923;1717;7694;A
KIMBERLY-CLARK CORP;6435;17750;49436810;KMB;31/12/2019;9;6;9;0,6667;1;;0,28;;0,43;0,99;-456,36;USD;15283;1209;3296;4213;7368;2157;18450;A
KINDER MORGAN INC;6310;12558;49456B10;KMI;31/12/2019;5;5;4;1;0,8;0,7;0,08;0,06;0,06;0,53;1,16;USD;74157;2270;3928;6339;6339;2190;13209;A
LABCORP HOLDINGS INC;14960;12062;50540R40;LH;31/12/2019;18;10;12;0,5556;0,6667;0,51;0,12;0,1;0,11;0,58;1,38;USD;18046,4;400,2;1467,6;2032,3;3574;823,8;11554,8;A
LEGGETT & PLATT INC;6649;60943;52466010;LEG;31/12/2019;11;9;9;0,8182;0,8182;0,23;0,17;0,24;0,18;0,73;2,67;USD;4816,4;143,1;523;703,8;1172,6;333,8;4752,5;A
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2019;5;5;0;1;0;;0,2;;0,36;1,06;-16,18;USD;10642;248;1650;2044;4134;868;7887;A
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2019;5;3;1;0,6;0,2;1,91;0;0,05;0,06;0,94;16;USD;334761;;;;;;;A
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2019;5;3;1;0,6;0,2;1,91;0;0,05;0,06;0,94;16;USD;334761;0;1419;1486;1486;886;17236;A
LOEWS CORP;6781;26710;54042410;L;31/12/2019;8;7;0;0,875;0;1,33;0,03;0,05;0,05;0,73;3,15;USD;82243;;;;;;;A
LOEWS CORP;6781;26710;54042410;L;31/12/2019;8;7;0;0,875;0;1,33;0,03;0,05;0,05;0,73;3,15;USD;82243;1041;1510;2453;2453;932;14701;A
LOCKHEED MARTIN CORP;6774;21178;53983010;LMT;31/12/2019;7;7;6;1;0,8571;0,03;0,21;2,66;0,52;0,93;14,19;USD;47528;1484;8427;9616;9616;6230;59812;A
LOEWS CORP;6781;26710;54042410;L;31/12/2019;6;0;2;0;0,3333;1,33;0,03;0,05;0,05;0,73;3,15;USD;82243;;;;;;;A
LOEWS CORP;6781;26710;54042410;L;31/12/2019;6;0;2;0;0,3333;1,33;0,03;0,05;0,05;0,73;3,15;USD;82243;1041;1510;2453;2453;932;14701;A
M & T BANK CORP;4699;35554;55261F10;MTB;31/12/2019;5;5;3;1;0,6;0,65;0,03;0,13;0,14;0,87;6,63;USD;119872,76;;;;;;;A
M & T BANK CORP;4699;35554;55261F10;MTB;31/12/2019;5;5;3;1;0,6;0,65;0,03;0,13;0,14;0,87;6,63;USD;119872,76;178,05;3489,75;3791,07;6015,94;1929,15;6941,27;A
MARATHON PETROLEUM CORP;186989;12872;56585A10;MPC;31/12/2019;8;8;4;1;0,5;1,03;0,1;0,07;0,1;0,56;1,65;USD;98556;5374;6091;9729;12955;2637;123949;A
MARRIOTT INTL INC;28930;85913;57190320;MAR;31/12/2019;6;5;5;0,8333;0,8333;0,02;0,1;0,69;0,17;0,97;34,63;USD;25051;653;2052;2400;2400;1273;20972;A
MARSH & MCLENNAN COS;7065;45751;57174810;MMC;31/12/2019;7;7;5;1;0,7143;0,15;0,15;0,21;0,19;0,75;3;USD;31357;421;3342;3989;3989;1742;16652;A
MASCO CORP;7085;34032;57459910;MAS;31/12/2019;9;8;8;0,8889;0,8889;;0,24;;0,4;1,01;-21,63;USD;5027;162;1110;1240;2510;933;6707;A
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2019;6;6;2;1;0,3333;0,02;0,38;1,42;0,72;0,8;3,94;USD;29236;;;;;;;A
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2019;6;6;2;1;0,3333;0,02;0,38;1,42;0,72;0,8;3,94;USD;29236;422;9664;10186;10186;8118;16883;A
MATTEL INC;7116;39538;57708110;MAT;31/12/2019;6;5;6;0,8333;1;0,12;0,07;-0,34;0,04;0,91;9,83;USD;5325,23;116,35;136,13;380,65;2231,26;-213,51;4510,37;A
MERCK & CO;7257;22752;58933Y10;MRK;31/12/2019;5;4;2;0,8;0,4;0,12;0,22;0,35;0,28;0,69;2,25;USD;84397;3473;14526;17972;37165;9843;46840;A
METLIFE INC;133768;87842;59156R10;MET;31/12/2019;9;8;6;0,8889;0,6667;1,54;0,01;0,09;0,1;0,91;9,69;USD;740463;;;;;;;A
METLIFE INC;133768;87842;59156R10;MET;31/12/2019;9;8;6;0,8889;0,6667;1,54;0,01;0,09;0,1;0,91;9,69;USD;740463;0;8144;8900;13891;5899;69744;A
3M CO;7435;22592;88579Y10;MMM;31/12/2019;3;3;0;1;0;0,1;0,21;0,45;0,25;0,77;3,43;USD;44659;1699;7068;8661;16993;4570;32136;A
MOLSON COORS BEVERAGE CO;3505;59248;60871R20;TAP;31/12/2019;4;3;2;0,75;0,5;1,34;0,08;0,02;0,06;0,53;1,13;USD;28859,8;593,8;1500,9;2328,2;4810;241,7;10579,4;A
MONSTER BEVERAGE CORP;24316;88031;61174X10;MNST;31/12/2019;6;2;3;0,3333;0,5;0,12;0,31;0,28;0,36;0,19;0,23;USD;5150,35;101,66;1418,44;1479,17;2579,31;1107,84;4200,82;A
MOODY'S CORP;139665;48506;61536910;MCO;31/12/2019;15;14;14;0,9333;0,9333;0,02;0,23;2,08;0,32;0,92;15,41;USD;10265;69;2091;2291;3442;1422;4829;A
MORGAN STANLEY;12124;69032;61744644;MS;31/12/2019;4;4;3;1;0,75;0,9;0,03;0,13;0,05;0,91;9,97;USD;895429;;;;;;;A
MORGAN STANLEY;12124;69032;61744644;MS;31/12/2019;4;4;3;1;0,75;0,9;0,03;0,13;0,05;0,91;9,97;USD;895429;1826;21820;24463;24463;9042;53823;A
MOSAIC CO;162129;90386;61945C10;MOS;31/12/2019;12;11;6;0,9167;0,5;1,25;0,07;-0,1;0,03;0,51;1,08;USD;19298,5;1272,2;452,2;1358,2;1860,3;-1067,4;8906,3;A
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2019;4;4;4;1;1;;0,2;;0,36;1,06;-16,18;USD;10642;248;1650;2044;4134;868;7887;A
MURPHY OIL CORP;7620;28345;62671710;MUR;31/12/2019;5;2;2;0,4;0,4;1,38;0,15;0,02;0,06;0,5;1,08;USD;11718,5;2556,59;470,61;1686,93;1986,8;1149,73;2816,26;A
NASDAQ INC;149337;90601;63110310;NDAQ;31/12/2019;7;4;5;0,5714;0,7143;0,35;0,09;0,13;0,12;0,6;1,47;USD;13924;;;;;;;A
NASDAQ INC;149337;90601;63110310;NDAQ;31/12/2019;7;4;5;0,5714;0,7143;0,35;0,09;0,13;0,12;0,6;1,47;USD;13924;127;1117;1307;1307;774;4262;A
NETFLIX INC;147579;89393;64110L10;NFLX;31/12/2019;3;0;1;0;0,3333;0,05;0,09;0,29;0,13;0,78;3,48;USD;33975,71;253,04;2604,25;2707,83;7819,81;1866,92;20156,45;A
NEWELL BRANDS INC;7875;60986;65122910;NWL;31/12/2019;6;5;4;0,8333;0,6667;0,69;0,08;0,03;0,07;0,68;2,14;USD;15642;264,9;844,4;1290,4;3701,1;106,6;9714,9;A
NEWMONT CORP;7881;21207;65163910;NEM;31/12/2019;14;14;12;1;0,8571;0,68;0,12;0,16;0,07;0,44;0,82;USD;39974;1463;1541;3781;4509;2805;9740;A
NEXTERA ENERGY INC;4517;24205;65339F10;NEE;31/12/2019;6;6;2;1;0,3333;0,38;0,09;0,09;0,07;0,64;2,05;USD;117691;5875;5622;9838;9838;3769;19204;A
NISOURCE INC;7974;38762;65473P10;NI;31/12/2019;6;6;4;1;0,6667;0,62;0,08;0,06;0,07;0,74;2,79;USD;22659,8;1802,4;1071,6;1789;1789;383,1;5208,9;A
NOBLE ENERGY INC;7912;61815;65504410;NBL;31/12/2019;6;3;2;0,5;0,3333;0,75;0,02;-0,15;-0,11;0,56;1,37;USD;20647;2524;-1756;441;1059;-1512;3904;I
NORFOLK SOUTHERN CORP;7923;64311;65584410;NSC;31/12/2019;6;5;6;0,8333;1;0,44;0,14;0,12;0,14;0,6;1,5;USD;37923;2019;3957;5095;5095;2722;11296;A
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2019;6;5;5;0,8333;0,8333;0,46;0,03;0,15;0,14;0,92;11,34;USD;136828,4;;;;;;;A
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2019;6;5;5;0,8333;0,8333;0,46;0,03;0,15;0,14;0,92;11,34;USD;136828,4;158;3201,6;3660,5;6087,6;1492,2;6895,1;A
NORTHROP GRUMMAN CORP;7985;24766;66680710;NOC;31/12/2019;5;5;3;1;0,6;0,15;0,13;0,26;0,17;0,79;3,66;USD;41089;1264;3969;4987;8277;2248;33841;A
NOV INC;63892;84032;63707110;NOV;31/12/2019;4;3;4;0,75;1;0,82;0;-0,55;-0,03;0,4;0,68;USD;13149;233;-458;75;1378;-6095;8479;A
NRG ENERGY INC;135990;90071;62937750;NRG;31/12/2019;4;4;3;1;0,75;0,17;0,15;;0,2;0,87;6,55;USD;12531;228;1326;1699;1699;4438;9821;A
NUCOR CORP;8030;34817;67034610;NUE;31/12/2019;7;5;1;0,7143;0,1429;0,64;0,15;0,12;0,13;0,41;0,73;USD;18344,67;1477,29;1934,14;2668,79;3413,74;1271,14;22588,86;A
O'REILLY AUTOMOTIVE INC;28180;79103;67103H10;ORLY;31/12/2019;6;3;1;0,5;0,1667;0,02;0,23;2,81;0,38;0,96;25,97;USD;10717,16;628,06;1920,73;2191,6;5665,57;1391,04;10149,99;A
O-I GLASS INC;8215;77157;67098H10;OI;31/12/2019;7;7;5;1;0,7143;0,31;0,12;-0,54;0,11;0,94;19,37;USD;9610;426;675;1119;1624;-400;6703;A
OCCIDENTAL PETROLEUM CORP;8068;34833;67459910;OXY;31/12/2019;8;7;7;0,875;0,875;0,93;0,13;-0,02;0,08;0,69;2,19;USD;109330;6355;3913;9894;11022;-667;20393;A
OMNICOM GROUP INC;4066;30681;68191910;OMC;31/12/2019;5;4;5;0,8;1;0,19;0,09;0,43;0,25;0,87;8,13;USD;26783,4;102,2;2122,3;2353,8;2759,7;1339,1;14953,7;A
ONEOK INC;8151;25232;68268010;OKE;31/12/2019;4;3;4;0,75;1;0,22;0,12;0,19;0,11;0,71;2,5;USD;21812,12;3848,35;1916,93;2393,46;2393,46;1278,58;10164,37;A
PACCAR INC;8253;60506;69371810;PCAR;31/12/2019;4;4;4;1;1;0,38;0,16;0,24;0,16;0,66;1,92;USD;28361,1;1970,8;3205,4;4282,7;5323,2;2387,9;25599,7;A
PEABODY ENERGY CORP;142460;16689;70455110;BTU;31/12/2019;4;4;3;1;0,75;2,99;0,1;-0,07;0;0,59;1,48;USD;6542,8;287,8;21,2;680,6;825,6;-211,3;4623,4;A
PPL CORP;8455;22517;69351T10;PPL;31/12/2019;5;5;3;1;0,6;0,59;0,09;0,11;0,08;0,72;2,52;USD;45680;3083;2845;4044;4044;1746;7769;A
PEOPLE'S UNITED FINL INC;16245;12073;71270410;PBCT;31/12/2019;10;7;9;0,7;0,9;1,04;0,02;0,07;0,07;0,86;6,37;USD;58589,8;;;;;;;I
PEOPLE'S UNITED FINL INC;16245;12073;71270410;PBCT;31/12/2019;10;7;9;0,7;0,9;1,04;0,02;0,07;0,07;0,86;6,37;USD;58589,8;67,7;901,2;975,4;1807,5;520,4;2304,6;I
PEPSICO INC;8479;13856;71344810;PEP;31/12/2019;5;5;4;1;0,8;0,1;0,17;0,4;0,22;0,81;4,31;USD;78547;4232;10714;13146;39610;7314;67161;A
PFIZER INC;8530;21936;71708110;PFE;31/12/2019;5;5;4;1;0,8;0,32;0,12;0,24;0,13;0,62;1,65;USD;167489;2176;14247;20257;43021;16273;51750;A
PG&E CORP;8264;13688;69331C10;PCG;31/12/2019;9;9;6;1;0,6667;0,95;0,08;-0,71;0,14;0,94;14,81;USD;85196;6313;2879;6113;6113;-7642;17129;A
PHILIP MORRIS INTERNATIONAL;179621;92602;71817210;PM;31/12/2019;6;5;1;0,8333;0,1667;;0,3;;0,59;1,22;-4,53;USD;42875;852;11566;12530;20190;7185;29805;A
PINNACLE WEST CAPITAL CORP;1075;27991;72348410;PNW;31/12/2019;6;2;2;0,3333;0,3333;0,75;0,07;0,07;0,06;0,7;2,38;USD;18479,25;1209,98;671,96;1262,89;1262,89;538,32;3471,21;A
PIONEER NATURAL RESOURCES CO;14359;75241;72378710;PXD;31/12/2019;16;16;10;1;0,625;0,54;0,19;0,06;0,12;0,36;0,57;USD;19067;3220;1738;3487;3889;756;9671;I
PITNEY BOWES INC;8606;24459;72447910;PBI;31/12/2019;7;4;5;0,5714;0,7143;0,82;0,07;0,07;0,07;0,95;18,11;USD;5466,9;137,25;227,74;386,88;1442,13;194,61;3205,13;A
PNC FINANCIAL SVCS GROUP INC;8245;60442;69347510;PNC;31/12/2019;7;6;6;0,8571;0,8571;0,69;0,02;0,11;0,08;0,88;7,32;USD;410295;;;;;;;A
PNC FINANCIAL SVCS GROUP INC;8245;60442;69347510;PNC;31/12/2019;7;6;6;0,8571;0,8571;0,69;0,02;0,11;0,08;0,88;7,32;USD;410295;0;8048;9363;17054;5369;21624;A
PPG INDUSTRIES INC;8247;22509;69350610;PPG;31/12/2019;6;5;6;0,8333;1;0,18;0,15;0,23;0,19;0,69;2,33;USD;17708;413;1954;2465;6501;1243;15154;A
PPL CORP;8455;22517;69351T10;PPL;31/12/2019;10;10;9;1;0,9;0,59;0,09;0,11;0,08;0,72;2,52;USD;45680;3083;2845;4044;4044;1746;7769;A
PRINCIPAL FINANCIAL GRP INC;145701;89195;74251V10;PFG;31/12/2019;6;5;1;0,8333;0,1667;1,08;0,01;0,1;0,1;0,95;17,86;USD;276087,8;;;;;;;A
PRINCIPAL FINANCIAL GRP INC;145701;89195;74251V10;PFG;31/12/2019;6;5;1;0,8333;0,1667;1,08;0,01;0,1;0,1;0,95;17,86;USD;276087,8;132,4;1646,8;1873,6;1873,6;1394,2;15999,6;A
PROGRESSIVE CORP-OHIO;13341;64390;74331510;PGR;31/12/2019;5;2;5;0,4;1;0,31;0,11;0,34;0,33;0,75;3;USD;54895,3;;;;;;;A
PROGRESSIVE CORP-OHIO;13341;64390;74331510;PGR;31/12/2019;5;2;5;0,4;1;0,31;0,11;0,34;0,33;0,75;3;USD;54895,3;363,5;5350;5656,1;5656,1;3970,3;38997,7;A
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2019;3;2;3;0,6667;1;1,69;0,01;0,07;0,08;0,93;13,2;USD;896552;;;;;;;A
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2019;3;2;3;0,6667;1;1,69;0,01;0,07;0,08;0,93;13,2;USD;896552;0;6709;7169;18539;4186;64845;A
PUBLIC SERVICE ENTRP GRP INC;8810;23712;74457310;PEG;31/12/2019;8;8;6;1;0,75;0,72;0,07;0,08;0,06;0,68;2,16;USD;47730;3166;1959;3207;3207;1693;10076;A
PULTEGROUP INC;8823;54148;74586710;PHM;31/12/2019;6;6;5;1;0,8333;0,52;0,13;0,2;0,16;0,49;0,96;USD;10715,6;58,12;1348,35;1402,35;2424,07;1016,7;10212,96;A
QEP RESOURCES INC;154357;93422;74733V10;QEP;31/12/2019;6;6;6;1;1;2,74;0,13;-0,03;0,04;0,51;1,06;USD;5477,8;566,2;202;742;854,5;-97,3;1206,2;I
QUANTA SERVICES INC;66446;85792;74762E10;PWR;31/12/2019;3;3;3;1;1;0,74;0,13;0,1;0,13;0,51;1,06;USD;8331,68;261,76;686,14;966,34;1897,56;402,04;12160,95;A
DONNELLEY (R R) & SONS CO;4040;38682;25786720;RRD;31/12/2019;7;7;7;1;1;;0,12;;0,14;1,11;-9,64;USD;3330,1;138,8;246;415,2;1190,9;-93,2;6276,2;I
RANGE RESOURCES CORP;6788;50017;75281A10;RRC;31/12/2019;5;5;5;1;1;2,07;-0,02;-0,47;-0,29;0,64;1,82;USD;6612,4;748,43;-1985,08;-200,9;-2,59;-1716,3;2826,48;A
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2019;7;7;6;1;0,8571;0,93;0,02;0,11;0,11;0,87;6,75;USD;126240;;;;;;;A
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2019;7;7;6;1;0,8571;0,93;0,02;0,11;0,11;0,87;6,75;USD;126240;178;2912;2912;5474;1582;6755;A
REPUBLIC SERVICES INC;112168;86228;76075910;RSG;31/12/2019;5;4;3;0,8;0,6;0,28;0,13;0,13;0,11;0,64;1,79;USD;22683,8;1207,1;1767,6;2874,9;3950,8;1073,3;10299,4;A
ROBERT HALF INC;2312;52230;77032310;RHI;31/12/2019;3;3;2;1;0,6667;0,16;0,33;0,41;0,5;0,51;1,02;USD;2311,41;59,46;620,39;686,02;2594,78;454,43;6074,43;A
ROPER TECHNOLOGIES INC;24925;77338;77669610;ROP;31/12/2019;5;5;3;1;0,6;0,29;0,12;0,18;0,11;0,48;0,91;USD;18108,9;52,7;1504,4;1918,3;3841;1767,9;5366,8;A
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2019;6;4;6;0,6667;1;1,26;0,16;-0,01;0,03;0,83;4,85;USD;14475,33;3735,17;341,15;2228,08;3135,53;-24,41;8925,8;A
SEALED AIR CORP;9555;85926;81211K10;SEE;31/12/2019;5;4;2;0,8;0,4;;0,17;;0,22;1,03;-30,38;USD;5765,2;189,7;743;893,9;1686,8;263;4791,1;A
SEMPRA ENERGY;8272;86136;81685110;SRE;31/12/2019;7;7;2;1;0,2857;0,46;0,07;0,1;0,06;0,67;2,2;USD;65665;3708;2627;4196;4196;2198;10829;A
SHERWIN-WILLIAMS CO;9667;36468;82434810;SHW;31/12/2019;5;5;4;1;0,8;0,09;0,15;0,31;0,18;0,8;3,97;USD;20496,2;328,9;2448,4;3023,3;8298,2;1541,3;17900,8;A
SLM CORP;20430;66325;78442P10;SLM;31/12/2019;8;8;4;1;0,5;0,78;0,03;0,21;0,12;0,9;8,87;USD;32686,48;;;;;;;A
SLM CORP;20430;66325;78442P10;SLM;31/12/2019;8;8;4;1;0,5;0,78;0,03;0,21;0,12;0,9;8,87;USD;32686,48;0;885,89;900,56;900,56;578,28;2362,13;A
SNAP-ON INC;9778;60206;83303410;SNA;31/12/2019;5;5;5;1;1;0,38;0,19;0,21;0,21;0,4;0,66;USD;5693,5;99,4;950,7;1043,1;2182,3;693,5;4067,7;A
SOUTHERN CO;9850;18411;84258710;SO;31/12/2019;4;4;1;1;0,25;0,56;0,07;0,13;0,07;0,73;3,12;USD;118700;7555;5359;8397;8397;4754;21419;A
SOUTHWEST AIRLINES;9882;58683;84474110;LUV;31/12/2019;5;3;5;0,6;1;0,44;0,16;0,19;0,23;0,62;1,63;USD;25895;1027;3081;4300;7326;2300;22428;A
SOUTHWESTERN ENERGY CO;9904;63765;84546710;SWN;31/12/2019;6;3;5;0,5;0,8333;2,48;0,12;0,32;0,06;0,52;1,07;USD;6717;1099;303;774;774;891;3038;A
STANLEY BLACK & DECKER INC;10016;43350;85450210;SWK;31/12/2019;5;4;3;0,8;0,6;0,33;0,12;0,12;0,15;0,56;1,25;USD;20596,6;424,7;1756,3;2316,5;5218;955,8;14442,2;A
STERICYCLE INC;63527;83906;85891210;SRCL;31/12/2019;4;4;2;1;0,5;0,45;0,07;-0,13;0,04;0,64;1,76;USD;6437;194,2;199,4;472,2;1277,3;-346,8;3308,9;A
STRYKER CORP;10115;73139;86366710;SYK;31/12/2019;4;4;3;1;0,75;0,16;0,15;0,17;0,15;0,58;1,36;USD;30167;649;3444;4222;10121;2083;14884;A
PRICE (T. ROWE) GROUP;12138;10138;74144T10;TROW;31/12/2019;7;7;5;1;0,7143;0,25;0,3;0,32;0,36;0,12;0,16;USD;9330,4;;;;;;;A
PRICE (T. ROWE) GROUP;12138;10138;74144T10;TROW;31/12/2019;7;7;5;1;0,7143;0,25;0,3;0,32;0,36;0,12;0,16;USD;9330,4;204,6;2387;2577,8;2577,8;2131,3;5617,9;A
AT&T INC;9899;66093;00206R10;T;31/12/2019;7;6;2;0,8571;0,2857;0,86;0,11;0,06;0,08;0,63;1,9;USD;551669;19635;31069;59286;97124;13903;181265;A
TENET HEALTHCARE CORP;7750;52337;88033G40;THC;31/12/2019;6;6;4;1;0,6667;;0,11;;0,11;0,91;-57,58;USD;23351;670;1679;2529;2529;-232;18479;A
TERADATA CORP;178310;92293;88076W10;TDC;31/12/2019;6;5;3;0,8333;0,5;0,09;0,1;-0,05;0,06;0,87;6,85;USD;2057;54;61;211;1096;-20;1899;A
TERADYNE INC;10453;51369;88077010;TER;31/12/2019;3;1;3;0,3333;1;0,13;0,24;0,31;0,28;0,47;0,88;USD;2787,01;134,64;540,22;651,2;1411,11;467,47;2294,97;A
TEXAS INSTRUMENTS INC;10499;15579;88250810;TXN;31/12/2019;10;10;4;1;0,4;0,08;0,38;0,56;0,39;0,51;1,02;USD;18018;847;5687;6737;9926;5017;14383;A
CIGNA GROUP (THE);2547;64186;12552310;CI;31/12/2019;5;3;4;0,6;0,8;0,72;0,08;0,1;0,11;0,71;2,43;USD;155774;;;;;;;A
CIGNA GROUP (THE);2547;64186;12552310;CI;31/12/2019;5;3;4;0,6;0,8;0,72;0,08;0,1;0,11;0,71;2,43;USD;155774;1050;9020;12637;25880;5104;153699;A
TRAVELERS COS INC;62689;59459;89417E10;TRV;31/12/2019;6;5;4;0,8333;0,6667;0,75;0,04;0,11;0,1;0,76;3,24;USD;110122;;;;;;;A
TRAVELERS COS INC;62689;59459;89417E10;TRV;31/12/2019;6;5;4;0,8333;0,6667;0,75;0,04;0,11;0,1;0,76;3,24;USD;110122;0;3231;3994;7596;2622;31330;A
