Company Name;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;Audit Committee Members;Audit Committee Independent;Audit Committee Financial Expert;% of Independence Audit Committee;% of Expert Audit Committee;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity;ISO Currency Code;Assets - Total;Capital Expenditures;Earnings Before Interest and Taxes;Earnings Before Interest;Gross Profit (Loss);Net Income (Loss);Sales/Turnover (Net);Active/Inactive Status Marker
BIOGEN INC;24468;76841;09062X10;BIIB;31/12/2019;6;4;5;0,6667;0,8333;0,31;0,3;0,38;0,39;0,51;1,04;USD;27234,3;514,5;7503,4;7968;12613,1;5888,5;14377,9;A
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2019;7;5;6;0,7143;0,8571;0,48;0,04;0,12;0,15;0,79;3,99;USD;168622;;;;;;;A
BLACKROCK INC;124434;87267;09247X10;BLK;31/12/2019;7;5;6;0,7143;0,8571;0,48;0,04;0,12;0,15;0,79;3,99;USD;168622;254;5604;5883;5883;4476;14539;A
BOEING CO;2285;19561;09702310;BA;31/12/2019;8;7;4;0,875;0,5;;0,06;;0,35;1,06;-16,47;USD;133625;1834;5952;7850;14978;-636;84818;A
BORGWARNER INC;28742;79545;09972410;BWA;31/12/2019;5;3;3;0,6;0,6;0,54;0,17;0,16;0,19;0,5;1,03;USD;9702;481;1228;1667;2540;746;10168;A
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2019;5;5;5;1;1;0,23;0,12;0,4;0,1;0,55;1,2;USD;30565;461;2070;3080;8016;4700;10735;A
BRISTOL-MYERS SQUIBB CO;2403;19393;11012210;BMY;31/12/2019;6;6;6;1;1;0,4;0,1;0,1;0,11;0,6;1,52;USD;129944;836;6738;8547;19475;3439;26145;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2019;3;3;0;1;0;0,38;0,04;0,1;0,11;0,82;4,47;USD;94493;;;;;;;A
INTERCONTINENTAL EXCHANGE;163610;90993;45866F10;ICE;31/12/2019;3;3;0;1;0;0,38;0,04;0,1;0,11;0,82;4,47;USD;94493;305;2727;3358;4092;1933;6547;A
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2019;5;5;2;1;0,4;1,13;0,03;0,11;0,08;0,85;5,72;USD;390365;;;;;;;A
